เนื้อที่ปลูก(ไร่),_id,ปีการเพาะปลูก,อำเภอ
" 61,899.82 ",1,2563/2564,   เมืองชัยภูมิ
" 79,547.68 ",2,2563/2564,   บ้านเขว้า
" 9,407.89 ",3,2563/2564,   คอนสวรรค์
" 3,448.01 ",4,2563/2564,   เกษตรสมบูรณ์
" 41,993.21 ",5,2563/2564,   หนองบัวแดง
" 95,718.76 ",6,2563/2564,   จัตุรัส
" 70,125.54 ",7,2563/2564,   บำเหน็จณรงค์
" 150,292.45 ",8,2563/2564,   หนองบัวระเหว
" 203,975.01 ",9,2563/2564,   เทพสถิต
" 3,831.56 ",10,2563/2564,   ภูเขียว
" 1,907.35 ",11,2563/2564,   บ้านแท่น
" 20,421.17 ",12,2563/2564,   แก้งคร้อ
" 3,004.96 ",13,2563/2564,   คอนสาร
" 26,458.89 ",14,2563/2564,   ภักดีชุมพล
" 38,609.92 ",15,2563/2564,   เนินสง่า
" 87,961.00 ",16,2563/2564,   ซับใหญ่
" 61,701.00 ",17,2564/2565,   เมืองชัยภูมิ
" 79,654.00 ",18,2564/2565,   บ้านเขว้า
" 8,756.00 ",19,2564/2565,   คอนสวรรค์
" 3,427.00 ",20,2564/2565,   เกษตรสมบูรณ์
" 41,993.00 ",21,2564/2565,   หนองบัวแดง
" 96,200.00 ",22,2564/2565,   จัตุรัส
" 70,237.00 ",23,2564/2565,   บำเหน็จณรงค์
" 149,683.00 ",24,2564/2565,   หนองบัวระเหว
" 204,148.00 ",25,2564/2565,   เทพสถิต
" 3,852.00 ",26,2564/2565,   ภูเขียว
" 1,907.00 ",27,2564/2565,   บ้านแท่น
" 20,412.00 ",28,2564/2565,   แก้งคร้อ
" 3,039.00 ",29,2564/2565,   คอนสาร
" 26,781.00 ",30,2564/2565,   ภักดีชุมพล
" 34,650.00 ",31,2564/2565,   เนินสง่า
" 88,148.00 ",32,2564/2565,   ซับใหญ่
" 66,280.00 ",33,2565/2566,   เมืองชัยภูมิ
" 80,279.00 ",34,2565/2566,   บ้านเขว้า
" 6,826.00 ",35,2565/2566,   คอนสวรรค์
" 4,278.00 ",36,2565/2566,   เกษตรสมบูรณ์
" 43,706.00 ",37,2565/2566,   หนองบัวแดง
" 87,532.00 ",38,2565/2566,   จัตุรัส
" 67,450.00 ",39,2565/2566,   บำเหน็จณรงค์
" 153,000.31 ",40,2565/2566,   หนองบัวระเหว
" 148,581.00 ",41,2565/2566,   เทพสถิต
" 3,993.00 ",42,2565/2566,   ภูเขียว
" 1,938.00 ",43,2565/2566,   บ้านแท่น
" 19,010.00 ",44,2565/2566,   แก้งคร้อ
" 2,969.00 ",45,2565/2566,   คอนสาร
" 30,134.00 ",46,2565/2566,   ภักดีชุมพล
" 36,000.00 ",47,2565/2566,   เนินสง่า
" 86,402.00 ",48,2565/2566,   ซับใหญ่
" 73,591.00 ",49,2566/2567,   เมืองชัยภูมิ
" 96,617.50 ",50,2566/2567,   บ้านเขว้า
" 3,384.75 ",51,2566/2567,   คอนสวรรค์
" 2,693.00 ",52,2566/2567,   เกษตรสมบูรณ์
" 44,567.00 ",53,2566/2567,   หนองบัวแดง
" 62,891.00 ",54,2566/2567,   จัตุรัส
" 65,837.00 ",55,2566/2567,   บำเหน็จณรงค์
" 153,285.00 ",56,2566/2567,   หนองบัวระเหว
" 156,095.93 ",57,2566/2567,   เทพสถิต
 -   ,58,2566/2567,   ภูเขียว
" 1,968.25 ",59,2566/2567,   บ้านแท่น
" 15,851.00 ",60,2566/2567,   แก้งคร้อ
" 2,524.00 ",61,2566/2567,   คอนสาร
" 18,159.43 ",62,2566/2567,   ภักดีชุมพล
" 17,403.00 ",63,2566/2567,   เนินสง่า
" 79,110.00 ",64,2566/2567,   ซับใหญ่
