จำนวน,ชนิดพืช,_id,ปี,อำเภอ
"68,466",ข้าว,1,2568,เมืองตาก
"26,190",ข้าว,2,2568,บ้านตาก
"18,013",ข้าว,3,2568,สามเงา
"41,938",ข้าว,4,2568,แม่ระมาด
"62,490",ข้าว,5,2568,ท่าสองยาง
"46,207",ข้าว,6,2568,แม่สอด
"9,612",ข้าว,7,2568,พบพระ
"40,488.44",ข้าว,8,2568,อุ้มผาง
"16,010.38",ข้าว,9,2568,วังเจ้า
"34,760.86",ข้าวโพดเลี้ยงสัตว์,10,2568,เมืองตาก
"16,618.75",ข้าวโพดเลี้ยงสัตว์,11,2568,บ้านตาก
"31,406.52",ข้าวโพดเลี้ยงสัตว์,12,2568,สามเงา
"111,148.93",ข้าวโพดเลี้ยงสัตว์,13,2568,แม่ระมาด
"47,719.98",ข้าวโพดเลี้ยงสัตว์,14,2568,ท่าสองยาง
"99,385.48",ข้าวโพดเลี้ยงสัตว์,15,2568,แม่สอด
"41,708.63",ข้าวโพดเลี้ยงสัตว์,16,2568,พบพระ
"83,396.48",ข้าวโพดเลี้ยงสัตว์,17,2568,อุ้มผาง
"21,676.26",ข้าวโพดเลี้ยงสัตว์,18,2568,วังเจ้า
"26,873.78",มันสำปะหลัง,19,2568,เมืองตาก
"3,436.78",มันสำปะหลัง,20,2568,บ้านตาก
"4,301.49",มันสำปะหลัง,21,2568,สามเงา
"18,597.28",มันสำปะหลัง,22,2568,แม่ระมาด
"6,540.17",มันสำปะหลัง,23,2568,ท่าสองยาง
"11,866.79",มันสำปะหลัง,24,2568,แม่สอด
"12,256.80",มันสำปะหลัง,25,2568,พบพระ
"12,513.89",มันสำปะหลัง,26,2568,อุ้มผาง
"23,437.99",มันสำปะหลัง,27,2568,วังเจ้า
657.8,อ้อยโรงงาน,28,2568,เมืองตาก
"1,804.87",อ้อยโรงงาน,29,2568,สามเงา
"18,331.74",อ้อยโรงงาน,30,2568,แม่ระมาด
10,อ้อยโรงงาน,31,2568,ท่าสองยาง
"25,795.10",อ้อยโรงงาน,32,2568,แม่สอด
219.63,อ้อยโรงงาน,33,2568,พบพระ
"4,516.25",อ้อยโรงงาน,34,2568,วังเจ้า
90.5,กาแฟ,35,2568,เมืองตาก
20,กาแฟ,36,2568,บ้านตาก
4,กาแฟ,37,2568,สามเงา
23.75,กาแฟ,38,2568,แม่ระมาด
39.18,กาแฟ,39,2568,ท่าสองยาง
"1,679.60",กาแฟ,40,2568,แม่สอด
160.88,กาแฟ,41,2568,พบพระ
"2,303.18",กาแฟ,42,2568,อุ้มผาง
8.25,ยางพารา,43,2568,บ้านตาก
640.5,ยางพารา,44,2568,แม่ระมาด
499.02,ยางพารา,45,2568,ท่าสองยาง
"1,143.12",ยางพารา,46,2568,แม่สอด
396.54,ยางพารา,47,2568,พบพระ
"1,865.49",ยางพารา,48,2568,อุ้มผาง
524.25,ยางพารา,49,2568,วังเจ้า
"2,274.02",ลำไย,50,2568,เมืองตาก
"1,671.37",ลำไย,51,2568,บ้านตาก
"4,981.03",ลำไย,52,2568,สามเงา
10.25,ลำไย,53,2568,แม่ระมาด
1.5,ลำไย,54,2568,ท่าสองยาง
49.1,ลำไย,55,2568,แม่สอด
7,ลำไย,56,2568,พบพระ
4.25,ลำไย,57,2568,อุ้มผาง
"14,842.63",ลำไย,58,2568,วังเจ้า
24.25,อะโวคาโด,59,2568,เมืองตาก
37.75,อะโวคาโด,60,2568,แม่ระมาด
16.05,อะโวคาโด,61,2568,ท่าสองยาง
188.53,อะโวคาโด,62,2568,แม่สอด
"3,886.95",อะโวคาโด,63,2568,พบพระ
137.25,อะโวคาโด,64,2568,อุ้มผาง
17.83,อะโวคาโด,65,2568,วังเจ้า
22.25,ทุเรียน,66,2568,เมืองตาก
33.29,ทุเรียน,67,2568,บ้านตาก
55.62,ทุเรียน,68,2568,สามเงา
185.28,ทุเรียน,69,2568,แม่ระมาด
42.84,ทุเรียน,70,2568,ท่าสองยาง
380.6,ทุเรียน,71,2568,แม่สอด
"2,592.62",ทุเรียน,72,2568,พบพระ
774.2,ทุเรียน,73,2568,อุ้มผาง
152.5,ทุเรียน,74,2568,วังเจ้า
10.5,กล้วยหอมทอง,75,2568,เมืองตาก
10.38,กล้วยหอมทอง,76,2568,สามเงา
4,กล้วยหอมทอง,77,2568,แม่ระมาด
58.25,กล้วยหอมทอง,78,2568,แม่สอด
777.39,กล้วยหอมทอง,79,2568,พบพระ
2.5,กล้วยหอมทอง,80,2568,อุ้มผาง
1,กล้วยหอมทอง,81,2568,วังเจ้า
