Province,Item,Unit,_id,Amphone,year,Source,Value
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,1,อำเภอเมืองสิงห์บุรี,2561,สำนักงานเกษตรจังหวัดสิงห์บุรี,"37,347"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,2,อำเภอบางระจัน,2561,สำนักงานเกษตรจังหวัดสิงห์บุรี,"61,449"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,3,อำเภอค่ายบางระจัน,2561,สำนักงานเกษตรจังหวัดสิงห์บุรี,"36,505"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,4,อำเภอพรหมบุรี,2561,สำนักงานเกษตรจังหวัดสิงห์บุรี,"16,206"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,5,อำเภอท่าช้าง,2561,สำนักงานเกษตรจังหวัดสิงห์บุรี,"12,454"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,6,อำเภออินทร์บุรี,2561,สำนักงานเกษตรจังหวัดสิงห์บุรี,"99,483"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,7,อำเภอเมืองสิงห์บุรี,2562,สำนักงานเกษตรจังหวัดสิงห์บุรี,"37,347"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,8,อำเภอบางระจัน,2562,สำนักงานเกษตรจังหวัดสิงห์บุรี,"61,449"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,9,อำเภอค่ายบางระจัน,2562,สำนักงานเกษตรจังหวัดสิงห์บุรี,"36,505"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,10,อำเภอพรหมบุรี,2562,สำนักงานเกษตรจังหวัดสิงห์บุรี,"16,206"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,11,อำเภอท่าช้าง,2562,สำนักงานเกษตรจังหวัดสิงห์บุรี,"12,454"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,12,อำเภออินทร์บุรี,2562,สำนักงานเกษตรจังหวัดสิงห์บุรี,"99,483"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,13,อำเภอเมืองสิงห์บุรี,2563,สำนักงานเกษตรจังหวัดสิงห์บุรี,"36,457"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,14,อำเภอบางระจัน,2563,สำนักงานเกษตรจังหวัดสิงห์บุรี,"60,709"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,15,อำเภอค่ายบางระจัน,2563,สำนักงานเกษตรจังหวัดสิงห์บุรี,"32,784"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,16,อำเภอพรหมบุรี,2563,สำนักงานเกษตรจังหวัดสิงห์บุรี,"17,387"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,17,อำเภอท่าช้าง,2563,สำนักงานเกษตรจังหวัดสิงห์บุรี,"12,878"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,18,อำเภออินทร์บุรี,2563,สำนักงานเกษตรจังหวัดสิงห์บุรี,"113,455"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,19,อำเภอเมืองสิงห์บุรี,2564,สำนักงานเกษตรจังหวัดสิงห์บุรี,"15,267"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,20,อำเภอบางระจัน,2564,สำนักงานเกษตรจังหวัดสิงห์บุรี,"27,106"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,21,อำเภอค่ายบางระจัน,2564,สำนักงานเกษตรจังหวัดสิงห์บุรี,"18,238"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,22,อำเภอพรหมบุรี,2564,สำนักงานเกษตรจังหวัดสิงห์บุรี,"3,040"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,23,อำเภอท่าช้าง,2564,สำนักงานเกษตรจังหวัดสิงห์บุรี,"10,650"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,24,อำเภออินทร์บุรี,2564,สำนักงานเกษตรจังหวัดสิงห์บุรี,"37,646"
จังหวัดสิงห์บุรี,เนื้อที่เก็บเกี่ยวข้าวนาปรัง,ไร่,25,อำเภอเมืองสิงห์บุรี,2565,สำนักงานเกษตรจังหวัดสิงห์บุรี,"30,539"
