ประเภท,ที่มา,_id,ปี,ประเภทของพืชไร่,งบประมาณ,รายการข้อมูล,หน่วย
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,1,2564,ข้าวโพดเลี้ยงสัตว์," 44,266.50 ",พืชไร่,ไร่
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,2,2564,มันสำปะหลังโรงงาน," 605,512.00 ",พืชไร่,ไร่
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,3,2564,อ้อยโรงงาน," 18,522.75 ",พืชไร่,ไร่
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,4,2564,มันเทศ," 1,273.00 ",พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,5,2564,ข้าวโพดเลี้ยงสัตว์," 44,252.00 ",พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,6,2564,มันสำปะหลังโรงงาน," 605,512.00 ",พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,7,2564,อ้อยโรงงาน," 18,522.75 ",พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,8,2564,มันเทศ, 857.00 ,พืชไร่,ไร่
ผลผลิต,สำนักงานเกษตรจังหวัดอุบลราชธานี,9,2564,ข้าวโพดเลี้ยงสัตว์," 36,463.65 ",พืชไร่,ตัน
ผลผลิต,สำนักงานเกษตรจังหวัดอุบลราชธานี,10,2564,มันสำปะหลังโรงงาน," 2,325,771.59 ",พืชไร่,ตัน
ผลผลิต,สำนักงานเกษตรจังหวัดอุบลราชธานี,11,2564,อ้อยโรงงาน," 163,000.20 ",พืชไร่,ตัน
ผลผลิต,สำนักงานเกษตรจังหวัดอุบลราชธานี,12,2564,มันเทศ," 2,205.90 ",พืชไร่,ตัน
ผลผลิตเฉลี่ยต่อไร่,สำนักงานเกษตรจังหวัดอุบลราชธานี,13,2564,ข้าวโพดเลี้ยงสัตว์, 824.00 ,พืชไร่,กิโลกรัม
ผลผลิตเฉลี่ยต่อไร่,สำนักงานเกษตรจังหวัดอุบลราชธานี,14,2564,มันสำปะหลังโรงงาน," 3,841.00 ",พืชไร่,กิโลกรัม
ผลผลิตเฉลี่ยต่อไร่,สำนักงานเกษตรจังหวัดอุบลราชธานี,15,2564,อ้อยโรงงาน," 8,800.00 ",พืชไร่,กิโลกรัม
ผลผลิตเฉลี่ยต่อไร่,สำนักงานเกษตรจังหวัดอุบลราชธานี,16,2564,มันเทศ," 2,573.98 ",พืชไร่,กิโลกรัม
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,17,2565,ข้าวโพดเลี้ยงสัตว์," 44,993.25 ",พืชไร่,ไร่
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,18,2565,มันสำปะหลังโรงงาน," 542,235.00 ",พืชไร่,ไร่
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,19,2565,อ้อยโรงงาน," 3,997.00 ",พืชไร่,ไร่
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,20,2565,มันเทศ," 2,536.00 ",พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,21,2565,ข้าวโพดเลี้ยงสัตว์," 44,646.25 ",พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,22,2565,มันสำปะหลังโรงงาน," 529,497.00 ",พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,23,2565,อ้อยโรงงาน," 3,916.00 ",พืชไร่,ไร่
