_id,ปี,พื้นที่เสียหาย,หน่วยนับ,อำเภอ,รายการ,จังหวัด
1,2565, -   ,ไร่,เมือง,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
2,2565, -   ,ไร่,ชานุมาน,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
3,2565, -   ,ไร่,ปทุมราชวงศา,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
4,2565, -   ,ไร่,พนา,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
5,2565, -   ,ไร่,เสนางคนิคม,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
6,2565, -   ,ไร่,หัวตะพาน,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
7,2565, -   ,ไร่,ลืออำนาจ,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
8,2566,"1,778",ไร่,เมือง,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
9,2566,3,ไร่,ชานุมาน,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
10,2566, -   ,ไร่,ปทุมราชวงศา,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
11,2566,985,ไร่,พนา,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
12,2566,797,ไร่,เสนางคนิคม,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
13,2566,"11,437",ไร่,หัวตะพาน,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
14,2566,"11,437",ไร่,ลืออำนาจ,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
15,2567,"6,858",ไร่,เมือง,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
16,2567,"1,025",ไร่,ชานุมาน,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
17,2567,"2,250",ไร่,ปทุมราชวงศา,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
18,2567,"2,238",ไร่,พนา,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
19,2567,"1,592",ไร่,เสนางคนิคม,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
20,2567,"4,205",ไร่,หัวตะพาน,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
21,2567,"2,287",ไร่,ลืออำนาจ,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
22,2568,"2,088",ไร่,เมือง,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
23,2568,179,ไร่,ชานุมาน,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
24,2568,0,ไร่,ปทุมราชวงศา,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
25,2568,"3,109",ไร่,พนา,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
26,2568,"2,009",ไร่,เสนางคนิคม,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
27,2568,"10,832",ไร่,หัวตะพาน,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
28,2568,"8,379",ไร่,ลืออำนาจ,เนื้อที่เพาะปลูกข้าวเสียหาย,อำนาจเจริญ
