ที่มา,เก็บเกี่ยว,_id,ปี,ชนิด,เพาะปลูก,หน่วย
สำนักงานเกษตรจังหวัดสมุทรปราการ,650,1,2562,กระเฉด,668,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,785",2,2562,ข่า,0,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,983",3,2562,ตะไคร้,"2,135",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,638,4,2563,กระเฉด,645,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,210",5,2563,ข่า,"1,440",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,821",6,2563,ตะไคร้,"2,239",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,640,7,2564,กระเฉด,645,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,720,8,2564,ข่า,741,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,642",9,2564,ตะไคร้,"1,785",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,453,10,2565,กระเฉด,453,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,515,11,2565,ข่า,515,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,237,12,2565,ตะไคร้,237,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,429,13,2566,กระเฉด,436,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,050",14,2566,ข่า,"1,066",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,670,15,2566,ตะไคร้,679,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,240,16,2567,กระเฉด,258,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,390,17,2567,ข่า,405,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,420,18,2567,ตะไคร้,433,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,319,19,2568,กระเฉด,326,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,156,20,2568,ข่า,171,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,245,21,2568,ตะไคร้,258,ไร่
