ที่มา,ประเภทข้าว,_id,ปี,เก็บเกี่ยว,เพาะปลูก,อำเภอ,หน่วย
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,1,2562,"17,714","17,783",รวม,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,2,2562,0,0,เมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,3,2562,"14,943","15,000",บางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,4,2562,0,0,บางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,5,2562,0,0,พระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,6,2562,0,0,พระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,7,2562,"2,771","2,783",บางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,8,2562,"17,714","17,783",รวม,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,9,2562,0,0,เมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,10,2562,"14,943","15,000",บางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,11,2562,0,0,บางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,12,2562,0,0,พระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,13,2562,0,0,พระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,14,2562,"2,771","2,783",บางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,15,2562,0,0,รวม,ไร่
