ค่าข้อมูล,ที่มา,_id,ปี,รายการข้อมูล,จังหวัด,หน่วย
1073181,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,1,2531,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1120451,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,2,2532,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1159008,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,3,2533,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1208676,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,4,2534,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1254644,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,5,2535,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1289635,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,6,2536,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1347748,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,7,2537,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1348200,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,8,2538,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1349490,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,9,2539,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1313478,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,10,2540,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1345823,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,11,2541,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1358573,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,12,2542,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1355968,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,13,2543,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1353229,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,14,2544,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
