จำนวน,ที่มา,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
"65,678",สำนักงานเกษตรจังหวัดพิจิตร,1,2564,เมืองพิจิตร,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"7,740",สำนักงานเกษตรจังหวัดพิจิตร,2,2564,วังทรายพูน,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"75,323",สำนักงานเกษตรจังหวัดพิจิตร,3,2564,โพธิ์ประทับช้าง,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"39,660",สำนักงานเกษตรจังหวัดพิจิตร,4,2564,ตะพานหิน,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"27,357",สำนักงานเกษตรจังหวัดพิจิตร,5,2564,บางมูลนาก,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"120,502",สำนักงานเกษตรจังหวัดพิจิตร,6,2564,โพทะเล,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"58,085",สำนักงานเกษตรจังหวัดพิจิตร,7,2564,สามง่าม,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
875,สำนักงานเกษตรจังหวัดพิจิตร,8,2564,ทับคล้อ,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"4,589",สำนักงานเกษตรจังหวัดพิจิตร,9,2564,สากเหล็ก,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"53,081",สำนักงานเกษตรจังหวัดพิจิตร,10,2564,บึงนาราง,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"3,759",สำนักงานเกษตรจังหวัดพิจิตร,11,2564,ดงเจริญ,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"24,497",สำนักงานเกษตรจังหวัดพิจิตร,12,2564,วชิรบารมี,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"89,124",สำนักงานเกษตรจังหวัดพิจิตร,13,2565,เมืองพิจิตร,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"4,165",สำนักงานเกษตรจังหวัดพิจิตร,14,2565,วังทรายพูน,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"64,623",สำนักงานเกษตรจังหวัดพิจิตร,15,2565,โพธิ์ประทับช้าง,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"51,481",สำนักงานเกษตรจังหวัดพิจิตร,16,2565,ตะพานหิน,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"65,360",สำนักงานเกษตรจังหวัดพิจิตร,17,2565,บางมูลนาก,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"96,940",สำนักงานเกษตรจังหวัดพิจิตร,18,2565,โพทะเล,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"58,515",สำนักงานเกษตรจังหวัดพิจิตร,19,2565,สามง่าม,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"3,130",สำนักงานเกษตรจังหวัดพิจิตร,20,2565,ทับคล้อ,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"5,652",สำนักงานเกษตรจังหวัดพิจิตร,21,2565,สากเหล็ก,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"32,927",สำนักงานเกษตรจังหวัดพิจิตร,22,2565,บึงนาราง,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"1,509",สำนักงานเกษตรจังหวัดพิจิตร,23,2565,ดงเจริญ,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"22,605",สำนักงานเกษตรจังหวัดพิจิตร,24,2565,วชิรบารมี,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"83,706",สำนักงานเกษตรจังหวัดพิจิตร,25,2566,เมืองพิจิตร,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"6,380",สำนักงานเกษตรจังหวัดพิจิตร,26,2566,วังทรายพูน,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"69,408",สำนักงานเกษตรจังหวัดพิจิตร,27,2566,โพธิ์ประทับช้าง,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"37,637",สำนักงานเกษตรจังหวัดพิจิตร,28,2566,ตะพานหิน,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"59,409",สำนักงานเกษตรจังหวัดพิจิตร,29,2566,บางมูลนาก,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"92,910",สำนักงานเกษตรจังหวัดพิจิตร,30,2566,โพทะเล,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"65,040",สำนักงานเกษตรจังหวัดพิจิตร,31,2566,สามง่าม,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"3,542",สำนักงานเกษตรจังหวัดพิจิตร,32,2566,ทับคล้อ,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"5,420",สำนักงานเกษตรจังหวัดพิจิตร,33,2566,สากเหล็ก,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"25,666",สำนักงานเกษตรจังหวัดพิจิตร,34,2566,บึงนาราง,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"1,341",สำนักงานเกษตรจังหวัดพิจิตร,35,2566,ดงเจริญ,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"20,394",สำนักงานเกษตรจังหวัดพิจิตร,36,2566,วชิรบารมี,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"108,938",สำนักงานเกษตรจังหวัดพิจิตร,37,2567,เมืองพิจิตร,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"3,979",สำนักงานเกษตรจังหวัดพิจิตร,38,2567,วังทรายพูน,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"84,900",สำนักงานเกษตรจังหวัดพิจิตร,39,2567,โพธิ์ประทับช้าง,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"57,629",สำนักงานเกษตรจังหวัดพิจิตร,40,2567,ตะพานหิน,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"60,362",สำนักงานเกษตรจังหวัดพิจิตร,41,2567,บางมูลนาก,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"85,370",สำนักงานเกษตรจังหวัดพิจิตร,42,2567,โพทะเล,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"59,800",สำนักงานเกษตรจังหวัดพิจิตร,43,2567,สามง่าม,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"1,020",สำนักงานเกษตรจังหวัดพิจิตร,44,2567,ทับคล้อ,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"5,670",สำนักงานเกษตรจังหวัดพิจิตร,45,2567,สากเหล็ก,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"35,713",สำนักงานเกษตรจังหวัดพิจิตร,46,2567,บึงนาราง,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
564,สำนักงานเกษตรจังหวัดพิจิตร,47,2567,ดงเจริญ,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"31,837",สำนักงานเกษตรจังหวัดพิจิตร,48,2567,วชิรบารมี,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"117,107",สำนักงานเกษตรจังหวัดพิจิตร,49,2568,เมืองพิจิตร,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"5,980",สำนักงานเกษตรจังหวัดพิจิตร,50,2568,วังทรายพูน,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"90,816",สำนักงานเกษตรจังหวัดพิจิตร,51,2568,โพธิ์ประทับช้าง,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"62,583",สำนักงานเกษตรจังหวัดพิจิตร,52,2568,ตะพานหิน,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"69,152",สำนักงานเกษตรจังหวัดพิจิตร,53,2568,บางมูลนาก,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"89,862",สำนักงานเกษตรจังหวัดพิจิตร,54,2568,โพทะเล,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"60,724",สำนักงานเกษตรจังหวัดพิจิตร,55,2568,สามง่าม,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"1,716",สำนักงานเกษตรจังหวัดพิจิตร,56,2568,ทับคล้อ,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"5,508",สำนักงานเกษตรจังหวัดพิจิตร,57,2568,สากเหล็ก,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"41,184",สำนักงานเกษตรจังหวัดพิจิตร,58,2568,บึงนาราง,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
656,สำนักงานเกษตรจังหวัดพิจิตร,59,2568,ดงเจริญ,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
"35,470",สำนักงานเกษตรจังหวัดพิจิตร,60,2568,วชิรบารมี,เนื้อที่เพาะปลูกข้าวนาปรัง,พิจิตร,ไร่
