plant (Rai),_id,Year,Amp
115306,1,2561/62,เมืองหนองคาย
105378,2,2561/62,ท่าบ่อ
184172,3,2561/62,โพนพิสัย
30807,4,2561/62,ศรีเชียงใหม่
14099,5,2561/62,สังคม
43742,6,2561/62,สระใคร
60164,7,2561/62,เฝ้าไร่
47108,8,2561/62,รัตนวาปี
16574,9,2561/62,โพธิ์ตาก
123983,10,2562/63,เมืองหนองคาย
115973,11,2562/63,ท่าบ่อ
197808,12,2562/63,โพนพิสัย
32827,13,2562/63,ศรีเชียงใหม่
14326,14,2562/63,สังคม
48702,15,2562/63,สระใคร
60456,16,2562/63,เฝ้าไร่
48026,17,2562/63,รัตนวาปี
16547,18,2562/63,โพธิ์ตาก
135381,19,2563/64,เมืองหนองคาย
120277,20,2563/64,ท่าบ่อ
207983,21,2563/64,โพนพิสัย
36088,22,2563/64,ศรีเชียงใหม่
13999,23,2563/64,สังคม
51933,24,2563/64,สระใคร
66372,25,2563/64,เฝ้าไร่
50927.18204488778,26,2563/64,รัตนวาปี
17848,27,2563/64,โพธิ์ตาก
128633,28,2564/65,เมืองหนองคาย
122763,29,2564/65,ท่าบ่อ
210064,30,2564/65,โพนพิสัย
33605,31,2564/65,ศรีเชียงใหม่
13786,32,2564/65,สังคม
52708,33,2564/65,สระใคร
67222,34,2564/65,เฝ้าไร่
50379,35,2564/65,รัตนวาปี
16267,36,2564/65,โพธิ์ตาก
132364,37,2565/66,เมืองหนองคาย
122121,38,2565/66,ท่าบ่อ
200325,39,2565/66,โพนพิสัย
32420,40,2565/66,ศรีเชียงใหม่
13377,41,2565/66,สังคม
52353,42,2565/66,สระใคร
67019,43,2565/66,เฝ้าไร่
50579,44,2565/66,รัตนวาปี
17066,45,2565/66,โพธิ์ตาก
108237,46,2566/67,เมืองหนองคาย
91060,47,2566/67,ท่าบ่อ
186993,48,2566/67,โพนพิสัย
21059,49,2566/67,ศรีเชียงใหม่
12200,50,2566/67,สังคม
53270,51,2566/67,สระใคร
62092,52,2566/67,เฝ้าไร่
72881,53,2566/67,รัตนวาปี
11582,54,2566/67,โพธิ์ตาก
102831,55,2567/68,เมืองหนองคาย
107440,56,2567/68,ท่าบ่อ
190492,57,2567/68,โพนพิสัย
24400,58,2567/68,ศรีเชียงใหม่
9920,59,2567/68,สังคม
50000,60,2567/68,สระใคร
64730,61,2567/68,เฝ้าไร่
47140,62,2567/68,รัตนวาปี
11428,63,2567/68,โพธิ์ตาก
95464.38,64,2568/69,เมืองหนองคาย
84197.66,65,2568/69,ท่าบ่อ
164888.82,66,2568/69,โพนพิสัย
19375.72,67,2568/69,ศรีเชียงใหม่
9203.3,68,2568/69,สังคม
50583.02,69,2568/69,สระใคร
59142.67,70,2568/69,เฝ้าไร่
45244.61,71,2568/69,รัตนวาปี
11439.81,72,2568/69,โพธิ์ตาก
