จำนวน,_id,ปี,อำเภอ,หน่วย
1536,1,2560,  เมืองฉะเชิงเทรา,ไร่
1245,2,2561,  เมืองฉะเชิงเทรา,ไร่
1245,3,2562,  เมืองฉะเชิงเทรา,ไร่
1943,4,2563,  เมืองฉะเชิงเทรา,ไร่
1868,5,2564,  เมืองฉะเชิงเทรา,ไร่
1601.75,6,2565,  เมืองฉะเชิงเทรา,ไร่
1075,7,2566,  เมืองฉะเชิงเทรา,ไร่
8808,8,2560,  บางคล้า,ไร่
8858,9,2561,  บางคล้า,ไร่
8858,10,2562,  บางคล้า,ไร่
7677,11,2563,  บางคล้า,ไร่
7677,12,2564,  บางคล้า,ไร่
7431.25,13,2565,  บางคล้า,ไร่
8309,14,2566,  บางคล้า,ไร่
1400,15,2560,  บางน้ำเปรี้ยว,ไร่
1400,16,2561,  บางน้ำเปรี้ยว,ไร่
1400,17,2562,  บางน้ำเปรี้ยว,ไร่
1790,18,2563,  บางน้ำเปรี้ยว,ไร่
1790,19,2564,  บางน้ำเปรี้ยว,ไร่
1790,20,2565,  บางน้ำเปรี้ยว,ไร่
1316,21,2566,  บางน้ำเปรี้ยว,ไร่
418,22,2560,  บางปะกง,ไร่
418,23,2561,  บางปะกง,ไร่
251,24,2562,  บางปะกง,ไร่
21,25,2563,  บางปะกง,ไร่
21,26,2564,  บางปะกง,ไร่
32.25,27,2565,  บางปะกง,ไร่
29,28,2566,  บางปะกง,ไร่
485,29,2560,  บ้านโพธิ์,ไร่
485,30,2561,  บ้านโพธิ์,ไร่
485,31,2562,  บ้านโพธิ์,ไร่
485,32,2563,  บ้านโพธิ์,ไร่
191,33,2564,  บ้านโพธิ์,ไร่
180,34,2565,  บ้านโพธิ์,ไร่
109,35,2566,  บ้านโพธิ์,ไร่
4029,36,2560,  พนมสารคาม,ไร่
4029,37,2561,  พนมสารคาม,ไร่
2965,38,2562,  พนมสารคาม,ไร่
2965,39,2563,  พนมสารคาม,ไร่
2965,40,2564,  พนมสารคาม,ไร่
3020,41,2565,  พนมสารคาม,ไร่
3305,42,2566,  พนมสารคาม,ไร่
2851,43,2560,  ราชสาส์น,ไร่
2506,44,2561,  ราชสาส์น,ไร่
2438,45,2562,  ราชสาส์น,ไร่
2438,46,2563,  ราชสาส์น,ไร่
2466,47,2564,  ราชสาส์น,ไร่
2438,48,2565,  ราชสาส์น,ไร่
2677,49,2566,  ราชสาส์น,ไร่
1885,50,2560,  สนามชัยเขต,ไร่
1885,51,2561,  สนามชัยเขต,ไร่
1885,52,2562,  สนามชัยเขต,ไร่
1407,53,2563,  สนามชัยเขต,ไร่
1407,54,2564,  สนามชัยเขต,ไร่
1407,55,2565,  สนามชัยเขต,ไร่
1297,56,2566,  สนามชัยเขต,ไร่
3003,57,2560,  แปลงยาว,ไร่
3003,58,2561,  แปลงยาว,ไร่
2105,59,2562,  แปลงยาว,ไร่
1423,60,2563,  แปลงยาว,ไร่
1017,61,2564,  แปลงยาว,ไร่
970,62,2565,  แปลงยาว,ไร่
826,63,2566,  แปลงยาว,ไร่
500,64,2560,  ท่าตะเกียบ,ไร่
500,65,2561,  ท่าตะเกียบ,ไร่
624,66,2562,  ท่าตะเกียบ,ไร่
586,67,2563,  ท่าตะเกียบ,ไร่
587,68,2564,  ท่าตะเกียบ,ไร่
586.75,69,2566,  ท่าตะเกียบ,ไร่
586.75,70,2565,  ท่าตะเกียบ,ไร่
2827,71,2560,  คลองเขื่อน,ไร่
2881,72,2561,  คลองเขื่อน,ไร่
3280,73,2562,  คลองเขื่อน,ไร่
2556,74,2563,  คลองเขื่อน,ไร่
1797,75,2564,  คลองเขื่อน,ไร่
1797.25,76,2565,  คลองเขื่อน,ไร่
1742.7,77,2566,  คลองเขื่อน,ไร่
"1,157.44",78,2567,  เมืองฉะเชิงเทรา,ไร่
"7,776.86",79,2567,  บางคล้า,ไร่
315.72,80,2567,  บางน้ำเปรี้ยว,ไร่
40.25,81,2567,  บางปะกง,ไร่
84.5,82,2567,  บ้านโพธิ์,ไร่
"2,319.75",83,2567,  พนมสารคาม,ไร่
"1,599.00",84,2567,  ราชสาส์น,ไร่
"1,282.45",85,2567,  สนามชัยเขต,ไร่
"1,123.75",86,2567,  แปลงยาว,ไร่
200.27,87,2567,  ท่าตะเกียบ,ไร่
"1,530.50",88,2567,  คลองเขื่อน,ไร่
944,89,2568,  เมืองฉะเชิงเทรา,ไร่
7786.5,90,2568,  บางคล้า,ไร่
315,91,2568,  บางน้ำเปรี้ยว,ไร่
11,92,2568,  บางปะกง,ไร่
84.5,93,2568,  บ้านโพธิ์,ไร่
2341,94,2568,  พนมสารคาม,ไร่
1599,95,2568,  ราชสาส์น,ไร่
1170,96,2568,  สนามชัยเขต,ไร่
1123.75,97,2568,  แปลงยาว,ไร่
187,98,2568,  ท่าตะเกียบ,ไร่
1528,99,2568,  คลองเขื่อน,ไร่
