พื้นที่เขตชลประทาน,จังหวัด/อำเภอ,_id,ลำดับ,หน่วย
7259.74,ฉะเชิงเทรา,1,รวมทั้งจังหวัด,ไร่
1157.72,       เมืองฉะเชิงเทรา,2,      1,ไร่
3698.47,       บางคล้า,3,      2,ไร่
86.39,       บางน้ำเปรี้ยว,4,      3,ไร่
32.5,       บางปะกง,5,      4,ไร่
34.5,       บ้านโพธิ์,6,      5,ไร่
295.1,       พนมสารคาม,7,      6,ไร่
968.11,       ราชสาส์น,8,      7,ไร่
23,       สนามชัยเขต,9,      8,ไร่
172.6,       แปลงยาว,10,      9,ไร่
31.2,       ท่าตะเกียบ,11,      10,ไร่
760.15,       คลองเขื่อน,12,      11,ไร่
