ค่าข้อมูล,ที่มา,_id,ชื่อชุดข้อมูล,ปี,หน่วยวัด,พืช
687.11,สำนักงานเกษตรจังหวัดเพชรบูรณ์,1,ผลผลิตทางการเกษตรด้านพืช,2564,กิโลกรัม/ไร่,ข้าวนาปี
667.53,สำนักงานเกษตรจังหวัดเพชรบูรณ์,2,ผลผลิตทางการเกษตรด้านพืช,2564,กิโลกรัม/ไร่,ข้าวนาปรัง
801.69,สำนักงานเกษตรจังหวัดเพชรบูรณ์,3,ผลผลิตทางการเกษตรด้านพืช,2564,กิโลกรัม/ไร่,ข้าวโพดเลี้ยงสัตว์
9559.61,สำนักงานเกษตรจังหวัดเพชรบูรณ์,4,ผลผลิตทางการเกษตรด้านพืช,2564,กิโลกรัม/ไร่,อ้อย
485,สำนักงานเกษตรจังหวัดเพชรบูรณ์,5,ผลผลิตทางการเกษตรด้านพืช,2564,กิโลกรัม/ไร่,มะขามหวาน
689.81,สำนักงานเกษตรจังหวัดเพชรบูรณ์,6,ผลผลิตทางการเกษตรด้านพืช,2565,กิโลกรัม/ไร่,ข้าวนาปี
710.11,สำนักงานเกษตรจังหวัดเพชรบูรณ์,7,ผลผลิตทางการเกษตรด้านพืช,2565,กิโลกรัม/ไร่,ข้าวนาปรัง
845.01,สำนักงานเกษตรจังหวัดเพชรบูรณ์,8,ผลผลิตทางการเกษตรด้านพืช,2565,กิโลกรัม/ไร่,ข้าวโพดเลี้ยงสัตว์
11225.97,สำนักงานเกษตรจังหวัดเพชรบูรณ์,9,ผลผลิตทางการเกษตรด้านพืช,2565,กิโลกรัม/ไร่,อ้อย
679,สำนักงานเกษตรจังหวัดเพชรบูรณ์,10,ผลผลิตทางการเกษตรด้านพืช,2565,กิโลกรัม/ไร่,มะขามหวาน
568,สำนักงานเกษตรจังหวัดเพชรบูรณ์,11,ผลผลิตทางการเกษตรด้านพืช,2566,กิโลกรัม/ไร่,ข้าวนาปี
677,สำนักงานเกษตรจังหวัดเพชรบูรณ์,12,ผลผลิตทางการเกษตรด้านพืช,2566,กิโลกรัม/ไร่,ข้าวนาปรัง
729,สำนักงานเกษตรจังหวัดเพชรบูรณ์,13,ผลผลิตทางการเกษตรด้านพืช,2566,กิโลกรัม/ไร่,ข้าวโพดเลี้ยงสัตว์
10495,สำนักงานเกษตรจังหวัดเพชรบูรณ์,14,ผลผลิตทางการเกษตรด้านพืช,2566,กิโลกรัม/ไร่,อ้อย
495,สำนักงานเกษตรจังหวัดเพชรบูรณ์,15,ผลผลิตทางการเกษตรด้านพืช,2566,กิโลกรัม/ไร่,มะขามหวาน
632,สำนักงานเกษตรจังหวัดเพชรบูรณ์,16,ผลผลิตทางการเกษตรด้านพืช,2567,กิโลกรัม/ไร่,ข้าวนาปี
541,สำนักงานเกษตรจังหวัดเพชรบูรณ์,17,ผลผลิตทางการเกษตรด้านพืช,2567,กิโลกรัม/ไร่,ข้าวนาปรัง
907,สำนักงานเกษตรจังหวัดเพชรบูรณ์,18,ผลผลิตทางการเกษตรด้านพืช,2567,กิโลกรัม/ไร่,ข้าวโพดเลี้ยงสัตว์
10326,สำนักงานเกษตรจังหวัดเพชรบูรณ์,19,ผลผลิตทางการเกษตรด้านพืช,2567,กิโลกรัม/ไร่,อ้อย
434,สำนักงานเกษตรจังหวัดเพชรบูรณ์,20,ผลผลิตทางการเกษตรด้านพืช,2567,กิโลกรัม/ไร่,มะขามหวาน
