_id,ปี,หน่วยนับ,พื้นที่แปลงใหญ่,อำเภอ
1,2559,ไร่,0,เมืองหนองคาย
2,2559,ไร่,0,ท่าบ่อ
3,2559,ไร่,850,โพนพิสัย
4,2559,ไร่,0,ศรีเชียงใหม่
5,2559,ไร่,0,สังคม
6,2559,ไร่,1641,สระใคร
7,2559,ไร่,0,เฝ้าไร่
8,2559,ไร่,0,รัตนวาปี
9,2559,ไร่,2580,โพธิ์ตาก
10,2560,ไร่,0,เมืองหนองคาย
11,2560,ไร่,0,ท่าบ่อ
12,2560,ไร่,0,โพนพิสัย
13,2560,ไร่,50,ศรีเชียงใหม่
14,2560,ไร่,0,สังคม
15,2560,ไร่,230,สระใคร
16,2560,ไร่,0,เฝ้าไร่
17,2560,ไร่,0,รัตนวาปี
18,2560,ไร่,298,โพธิ์ตาก
19,2561,ไร่,377,เมืองหนองคาย
20,2561,ไร่,1277,ท่าบ่อ
21,2561,ไร่,735,โพนพิสัย
22,2561,ไร่,873,ศรีเชียงใหม่
23,2561,ไร่,0,สังคม
24,2561,ไร่,0,สระใคร
25,2561,ไร่,664,เฝ้าไร่
26,2561,ไร่,0,รัตนวาปี
27,2561,ไร่,344,โพธิ์ตาก
28,2562,ไร่,36,เมืองหนองคาย
29,2562,ไร่,0,ท่าบ่อ
30,2562,ไร่,0,โพนพิสัย
31,2562,ไร่,0,ศรีเชียงใหม่
32,2562,ไร่,194,สังคม
33,2562,ไร่,0,สระใคร
34,2562,ไร่,0,เฝ้าไร่
35,2562,ไร่,410,รัตนวาปี
36,2562,ไร่,337,โพธิ์ตาก
37,2563,ไร่,0,เมืองหนองคาย
38,2563,ไร่,2042,ท่าบ่อ
39,2563,ไร่,3351,โพนพิสัย
40,2563,ไร่,50,ศรีเชียงใหม่
41,2563,ไร่,0,สังคม
42,2563,ไร่,628,สระใคร
43,2563,ไร่,0,เฝ้าไร่
44,2563,ไร่,310,รัตนวาปี
45,2563,ไร่,0,โพธิ์ตาก
46,2564,ไร่,381,เมืองหนองคาย
47,2564,ไร่,2042,ท่าบ่อ
48,2564,ไร่,539,โพนพิสัย
49,2564,ไร่,593,ศรีเชียงใหม่
50,2564,ไร่,0,สังคม
51,2564,ไร่,628,สระใคร
52,2564,ไร่,1119,เฝ้าไร่
53,2564,ไร่,1712.25,รัตนวาปี
54,2564,ไร่,0,โพธิ์ตาก
55,2565,ไร่,0,เมืองหนองคาย
56,2565,ไร่,0,ท่าบ่อ
57,2565,ไร่,0,โพนพิสัย
58,2565,ไร่,75,ศรีเชียงใหม่
59,2565,ไร่,360.46,สังคม
60,2565,ไร่,0,สระใคร
61,2565,ไร่,8,เฝ้าไร่
62,2565,ไร่,500,รัตนวาปี
63,2565,ไร่,649,โพธิ์ตาก
64,2566,ไร่,0,เมืองหนองคาย
65,2566,ไร่,0,ท่าบ่อ
66,2566,ไร่,0,โพนพิสัย
67,2566,ไร่,0,ศรีเชียงใหม่
68,2566,ไร่,328,สังคม
69,2566,ไร่,0,สระใคร
70,2566,ไร่,435,เฝ้าไร่
71,2566,ไร่,0,รัตนวาปี
72,2566,ไร่,0,โพธิ์ตาก
73,2567,ไร่,163,เมืองหนองคาย
74,2567,ไร่,767.8,ท่าบ่อ
75,2567,ไร่,650,โพนพิสัย
76,2567,ไร่,0,ศรีเชียงใหม่
77,2567,ไร่,980.75,สังคม
78,2567,ไร่,0,สระใคร
79,2567,ไร่,790,เฝ้าไร่
80,2567,ไร่,0,รัตนวาปี
81,2567,ไร่,11.25,โพธิ์ตาก
82,2568,ไร่,167,เมืองหนองคาย
83,2568,ไร่,767.8,ท่าบ่อ
84,2568,ไร่,1090,โพนพิสัย
85,2568,ไร่,11.25,ศรีเชียงใหม่
86,2568,ไร่,1064.75,สังคม
87,2568,ไร่,421,สระใคร
88,2568,ไร่,790,เฝ้าไร่
89,2568,ไร่,0,รัตนวาปี
90,2568,ไร่,11.25,โพธิ์ตาก
