_id,ปี,ไร่,ชนิดข้าว,จังหวัด
1,2563," 16,954.97 ",ข้าวเจ้า,เมืองแม่ฮ่องสอน
2,2563," 11,450.73 ",ข้าวเจ้า,ขุนยวม
3,2563," 8,288.02 ",ข้าวเจ้า,ปาย
4,2563," 28,803.21 ",ข้าวเจ้า,แม่สะเรียง
5,2563," 19,953.73 ",ข้าวเจ้า,แม่ลาน้อย
6,2563," 12,332.46 ",ข้าวเจ้า,สบเมย
7,2563," 23,261.46 ",ข้าวเจ้า,ปางมะผ้า
8,2563, 88.47 ,ข้าวเหนียว,เมืองแม่ฮ่องสอน
9,2563, 66.50 ,ข้าวเหนียว,ขุนยวม
10,2563," 4,899.76 ",ข้าวเหนียว,ปาย
11,2563," 1,092.58 ",ข้าวเหนียว,แม่สะเรียง
12,2563, 39.63 ,ข้าวเหนียว,แม่ลาน้อย
13,2563, 466.36 ,ข้าวเหนียว,สบเมย
14,2563, 321.79 ,ข้าวเหนียว,ปางมะผ้า
15,2563," 12,049.95 ",ข้าวไร่,เมืองแม่ฮ่องสอน
16,2563," 8,248.24 ",ข้าวไร่,ขุนยวม
17,2563," 10,935.12 ",ข้าวไร่,ปาย
18,2563," 12,995.84 ",ข้าวไร่,แม่สะเรียง
19,2563," 16,326.21 ",ข้าวไร่,แม่ลาน้อย
20,2563," 36,738.22 ",ข้าวไร่,สบเมย
21,2563," 6,006.48 ",ข้าวไร่,ปางมะผ้า
22,2564," 16,176.85 ",ข้าวเจ้า,เมืองแม่ฮ่องสอน
23,2564," 11,141.95 ",ข้าวเจ้า,ขุนยวม
24,2564," 7,778.98 ",ข้าวเจ้า,ปาย
25,2564," 29,385.02 ",ข้าวเจ้า,แม่สะเรียง
26,2564," 19,307.44 ",ข้าวเจ้า,แม่ลาน้อย
27,2564," 12,590.81 ",ข้าวเจ้า,สบเมย
28,2564," 6,538.51 ",ข้าวเจ้า,ปางมะผ้า
29,2564, 41.72 ,ข้าวเหนียว,เมืองแม่ฮ่องสอน
30,2564, 48.13 ,ข้าวเหนียว,ขุนยวม
31,2564," 4,223.52 ",ข้าวเหนียว,ปาย
32,2564, 437.31 ,ข้าวเหนียว,แม่สะเรียง
33,2564, 78.98 ,ข้าวเหนียว,แม่ลาน้อย
34,2564, 376.43 ,ข้าวเหนียว,สบเมย
35,2564, 240.12 ,ข้าวเหนียว,ปางมะผ้า
36,2564," 12,575.87 ",ข้าวไร่,เมืองแม่ฮ่องสอน
37,2564," 7,621.78 ",ข้าวไร่,ขุนยวม
38,2564," 8,877.65 ",ข้าวไร่,ปาย
39,2564," 13,092.28 ",ข้าวไร่,แม่สะเรียง
40,2564," 15,255.83 ",ข้าวไร่,แม่ลาน้อย
41,2564," 34,786.95 ",ข้าวไร่,สบเมย
42,2564," 15,091.03 ",ข้าวไร่,ปางมะผ้า
43,2565," 13,108.85 ",ข้าวเจ้า,เมืองแม่ฮ่องสอน
44,2565," 10,825.52 ",ข้าวเจ้า,ขุนยวม
45,2565," 6,672.79 ",ข้าวเจ้า,ปาย
46,2565," 29,155.47 ",ข้าวเจ้า,แม่สะเรียง
47,2565," 18,181.21 ",ข้าวเจ้า,แม่ลาน้อย
48,2565," 14,787.68 ",ข้าวเจ้า,สบเมย
49,2565," 7,237.02 ",ข้าวเจ้า,ปางมะผ้า
50,2565, 22.97 ,ข้าวเหนียว,เมืองแม่ฮ่องสอน
51,2565, 21.53 ,ข้าวเหนียว,ขุนยวม
52,2565," 3,414.36 ",ข้าวเหนียว,ปาย
53,2565, 242.21 ,ข้าวเหนียว,แม่สะเรียง
54,2565, 61.53 ,ข้าวเหนียว,แม่ลาน้อย
55,2565, 354.41 ,ข้าวเหนียว,สบเมย
56,2565, 331.50 ,ข้าวเหนียว,ปางมะผ้า
57,2565," 7,751.25 ",ข้าวไร่,เมืองแม่ฮ่องสอน
58,2565," 7,866.06 ",ข้าวไร่,ขุนยวม
59,2565," 9,194.35 ",ข้าวไร่,ปาย
60,2565," 12,870.72 ",ข้าวไร่,แม่สะเรียง
61,2565," 22,177.32 ",ข้าวไร่,แม่ลาน้อย
62,2565," 38,247.95 ",ข้าวไร่,สบเมย
63,2565," 7,227.16 ",ข้าวไร่,ปางมะผ้า
64,2566," 12,609.76 ",ข้าวเจ้า,เมืองแม่ฮ่องสอน
65,2566," 9,410.23 ",ข้าวเจ้า,ขุนยวม
66,2566," 4,882.55 ",ข้าวเจ้า,ปาย
67,2566," 27,688.83 ",ข้าวเจ้า,แม่สะเรียง
68,2566," 16,952.00 ",ข้าวเจ้า,แม่ลาน้อย
69,2566," 15,409.59 ",ข้าวเจ้า,สบเมย
70,2566," 7,228.11 ",ข้าวเจ้า,ปางมะผ้า
71,2566, 17.00 ,ข้าวเหนียว,เมืองแม่ฮ่องสอน
72,2566, 18.25 ,ข้าวเหนียว,ขุนยวม
73,2566," 3,077.77 ",ข้าวเหนียว,ปาย
74,2566, 288.65 ,ข้าวเหนียว,แม่สะเรียง
75,2566, 35.49 ,ข้าวเหนียว,แม่ลาน้อย
76,2566, 242.86 ,ข้าวเหนียว,สบเมย
77,2566, 118.25 ,ข้าวเหนียว,ปางมะผ้า
78,2566," 7,201.12 ",ข้าวไร่,เมืองแม่ฮ่องสอน
79,2566," 6,243.05 ",ข้าวไร่,ขุนยวม
80,2566," 7,451.10 ",ข้าวไร่,ปาย
81,2566," 15,096.52 ",ข้าวไร่,แม่สะเรียง
82,2566," 19,981.22 ",ข้าวไร่,แม่ลาน้อย
83,2566," 41,988.82 ",ข้าวไร่,สบเมย
84,2566," 3,930.65 ",ข้าวไร่,ปางมะผ้า
85,2567," 12,632.48 ",ข้าวเจ้า,เมืองแม่ฮ่องสอน
86,2567," 9,148.02 ",ข้าวเจ้า,ขุนยวม
87,2567," 4,299.53 ",ข้าวเจ้า,ปาย
88,2567," 26,601.69 ",ข้าวเจ้า,แม่สะเรียง
89,2567," 16,651.73 ",ข้าวเจ้า,แม่ลาน้อย
90,2567," 18,614.93 ",ข้าวเจ้า,สบเมย
91,2567," 6,079.55 ",ข้าวเจ้า,ปางมะผ้า
92,2567, 27.89 ,ข้าวเหนียว,เมืองแม่ฮ่องสอน
93,2567, 8.50 ,ข้าวเหนียว,ขุนยวม
94,2567," 2,948.14 ",ข้าวเหนียว,ปาย
95,2567, 218.00 ,ข้าวเหนียว,แม่สะเรียง
96,2567, 26.49 ,ข้าวเหนียว,แม่ลาน้อย
