Province,Dataset_name,Item,Unit,Dataset_Group,_id,Vlue,Year,หน่วยงานเจ้าของข้อมูล,Source
ปทุมธานี,ตะไคร้,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,1,8524,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ตะไคร้,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,2,8314,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ตะไคร้,ผลผลิต,ตัน,เกษตรและประมง,3,9419,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ตะไคร้,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,4,1133,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะระจีน,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,5,578,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะระจีน,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,6,578,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะระจีน,ผลผลิต,ตัน,เกษตรและประมง,7,591,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะระจีน,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,8,1023,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข้าวโพดหวาน,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,9,2324,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข้าวโพดหวาน,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,10,2276,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข้าวโพดหวาน,ผลผลิต,ตัน,เกษตรและประมง,11,2530,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข้าวโพดหวาน,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,12,1112,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ถั่วฝักยาว,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,13,1703,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ถั่วฝักยาว,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,14,1689,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ถั่วฝักยาว,ผลผลิต,ตัน,เกษตรและประมง,15,1716,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ถั่วฝักยาว,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,16,1016,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักบุ้งจีน,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,17,494,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักบุ้งจีน,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,18,494,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักบุ้งจีน,ผลผลิต,ตัน,เกษตรและประมง,19,647,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักบุ้งจีน,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,20,1310,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,บวบ,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,21,651,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,บวบ,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,22,651,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,บวบ,ผลผลิต,ตัน,เกษตรและประมง,23,641,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,บวบ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,24,986,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,คะน้า,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,25,373,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
