ค่าข้อมูล,ที่มา,_id,ปี,ชนิด,รายการ,จังหวัด,หน่วย
827,สำนักงานเกษตรจังหวัดมหาสารคาม,1,2565,กล้วยน้ำว้า,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
61,สำนักงานเกษตรจังหวัดมหาสารคาม,2,2565,กล้วยหอม,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
10,สำนักงานเกษตรจังหวัดมหาสารคาม,3,2565,ขนุน,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
15,สำนักงานเกษตรจังหวัดมหาสารคาม,4,2565,ทุเรียน,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
43,สำนักงานเกษตรจังหวัดมหาสารคาม,5,2565,น้อยหน่า,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
4,สำนักงานเกษตรจังหวัดมหาสารคาม,6,2565,ฝรั่ง,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
9,สำนักงานเกษตรจังหวัดมหาสารคาม,7,2565,พุทรา,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
11,สำนักงานเกษตรจังหวัดมหาสารคาม,8,2565,มะขาม ,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
374,สำนักงานเกษตรจังหวัดมหาสารคาม,9,2565,มะนาว,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
2709,สำนักงานเกษตรจังหวัดมหาสารคาม,10,2565,มะม่วง,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
3,สำนักงานเกษตรจังหวัดมหาสารคาม,11,2565,มะยงชิด,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
10,สำนักงานเกษตรจังหวัดมหาสารคาม,12,2565,มะละกอ,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
11,สำนักงานเกษตรจังหวัดมหาสารคาม,13,2565,ลำไย,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
80,สำนักงานเกษตรจังหวัดมหาสารคาม,14,2565,โกโก้,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
1276,สำนักงานเกษตรจังหวัดมหาสารคาม,15,2565,หม่อน,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
363,สำนักงานเกษตรจังหวัดมหาสารคาม,16,2565,อินทผาลัม,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
513,สำนักงานเกษตรจังหวัดมหาสารคาม,17,2565,มะพร้าวอ่อน,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
800,สำนักงานเกษตรจังหวัดมหาสารคาม,18,2566,กล้วยน้ำว้า,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
38,สำนักงานเกษตรจังหวัดมหาสารคาม,19,2566,กล้วยหอม,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
10,สำนักงานเกษตรจังหวัดมหาสารคาม,20,2566,ขนุน,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
3,สำนักงานเกษตรจังหวัดมหาสารคาม,21,2566,ทุเรียน,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
43,สำนักงานเกษตรจังหวัดมหาสารคาม,22,2566,น้อยหน่า,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
13,สำนักงานเกษตรจังหวัดมหาสารคาม,23,2566,ฝรั่ง,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
9,สำนักงานเกษตรจังหวัดมหาสารคาม,24,2566,พุทรา,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
21,สำนักงานเกษตรจังหวัดมหาสารคาม,25,2566,มะขาม ,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
301,สำนักงานเกษตรจังหวัดมหาสารคาม,26,2566,มะนาว,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
1886,สำนักงานเกษตรจังหวัดมหาสารคาม,27,2566,มะม่วง,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
