_id,ปี,เนื้อที่,อำเภอ
1,2563," 1,277.36 ",เมืองตาก
2,2563, 304.06 ,บ้านตาก
3,2563," 1,099.52 ",สามเงา
4,2563, 600.70 ,แม่ระมาด
5,2563, 365.29 ,ท่าสองยาง
6,2563," 1,001.84 ",แม่สอด
7,2563," 2,323.05 ",พบพระ
8,2563," 2,375.05 ",อุ้มผาง
9,2563, 473.00 ,วังเจ้า
10,2564, 801.93 ,เมืองตาก
11,2564, 125.44 ,บ้านตาก
12,2564, 514.68 ,สามเงา
13,2564, 623.72 ,แม่ระมาด
14,2564, 82.10 ,ท่าสองยาง
15,2564, 619.78 ,แม่สอด
16,2564, 851.17 ,พบพระ
17,2564," 1,556.18 ",อุ้มผาง
18,2564, 308.25 ,วังเจ้า
19,2565, 612.88 ,เมืองตาก
20,2565, 111.86 ,บ้านตาก
21,2565, 681.34 ,สามเงา
22,2565, 444.47 ,แม่ระมาด
23,2565, 79.72 ,ท่าสองยาง
24,2565, 831.22 ,แม่สอด
25,2565, 839.15 ,พบพระ
26,2565," 1,507.06 ",อุ้มผาง
27,2565, 258.75 ,วังเจ้า
28,2566,554.99,เมืองตาก
29,2566,113.43,บ้านตาก
30,2566,"1,260.87",สามเงา
31,2566,375.35,แม่ระมาด
32,2566,64.93,ท่าสองยาง
33,2566,756.42,แม่สอด
34,2566,605.74,พบพระ
35,2566,"1,525.78",อุ้มผาง
36,2566,226.00,วังเจ้า
37,2567,529.23,เมืองตาก
38,2567,85.67,บ้านตาก
39,2567,"1,720.91",สามเงา
40,2567,283.99,แม่ระมาด
41,2567,101.85,ท่าสองยาง
42,2567,486.98,แม่สอด
43,2567,986.77,พบพระ
44,2567,"1,215.01",อุ้มผาง
45,2567,281.25,วังเจ้า
