_id,ปี,อำเภอ,ข้าวนาปี
1,2567,เมืองตาก," 72,225.75 "
2,2566,เมืองตาก," 81,684.00 "
3,2565,เมืองตาก," 80,092.00 "
4,2564,เมืองตาก," 71,795.37 "
5,2563,เมืองตาก," 76,100.72 "
6,2562,เมืองตาก," 70,352.00 "
7,2561,เมืองตาก," 67,823.60 "
8,2567,บ้านตาก," 25,015.89 "
9,2566,บ้านตาก," 23,669.00 "
10,2565,บ้านตาก," 24,362.44 "
11,2564,บ้านตาก," 23,086.03 "
12,2563,บ้านตาก," 23,356.66 "
13,2562,บ้านตาก," 23,153.00 "
14,2561,บ้านตาก," 22,429.59 "
15,2567,สามเงา," 18,678.20 "
16,2566,สามเงา," 18,480.00 "
17,2565,สามเงา," 19,013.98 "
18,2564,สามเงา," 16,485.86 "
19,2563,สามเงา," 17,570.55 "
20,2562,สามเงา," 17,314.00 "
21,2561,สามเงา," 15,871.20 "
22,2567,แม่ระมาด," 45,333.28 "
23,2566,แม่ระมาด," 60,913.00 "
24,2565,แม่ระมาด," 44,770.88 "
25,2564,แม่ระมาด," 26,080.62 "
26,2563,แม่ระมาด," 48,714.56 "
27,2562,แม่ระมาด," 46,304.63 "
28,2561,แม่ระมาด," 28,165.01 "
29,2567,ท่าสองยาง," 64,912.65 "
30,2566,ท่าสองยาง," 65,885.00 "
31,2565,ท่าสองยาง," 59,858.85 "
32,2564,ท่าสองยาง," 24,923.19 "
33,2563,ท่าสองยาง," 54,826.23 "
34,2562,ท่าสองยาง," 69,476.88 "
35,2561,ท่าสองยาง," 32,273.41 "
36,2567,แม่สอด," 47,236.14 "
37,2566,แม่สอด," 52,932.00 "
38,2565,แม่สอด," 50,613.59 "
39,2564,แม่สอด," 37,613.94 "
40,2563,แม่สอด," 51,548.53 "
41,2562,แม่สอด," 49,785.33 "
42,2561,แม่สอด," 39,605.60 "
43,2567,พบพระ," 15,133.27 "
44,2566,พบพระ," 14,345.00 "
45,2565,พบพระ," 14,641.70 "
46,2564,พบพระ," 6,984.31 "
47,2563,พบพระ," 15,320.52 "
48,2562,พบพระ," 13,879.64 "
49,2561,พบพระ," 5,692.71 "
50,2567,อุ้มผาง," 51,592.05 "
51,2566,อุ้มผาง," 41,668.00 "
52,2565,อุ้มผาง," 50,482.52 "
53,2564,อุ้มผาง," 20,667.47 "
54,2563,อุ้มผาง," 44,768.82 "
55,2562,อุ้มผาง," 35,351.35 "
56,2561,อุ้มผาง," 26,165.09 "
57,2567,วังเจ้า," 15,115.92 "
58,2566,วังเจ้า," 16,251.00 "
59,2565,วังเจ้า," 14,442.13 "
60,2564,วังเจ้า," 14,002.63 "
61,2563,วังเจ้า," 13,461.42 "
62,2562,วังเจ้า," 11,447.24 "
63,2561,วังเจ้า," 10,454.90 "
