_id,ปี,เนื้อที่,อำเภอ
1,2560," 4,635.00 ",เมืองตาก
2,2560, 315.00 ,บ้านตาก
3,2560, 500.00 ,สามเงา
4,2560,,แม่ระมาด
5,2560,,ท่าสองยาง
6,2560,,แม่สอด
7,2560,,พบพระ
8,2560, 18.00 ,อุ้มผาง
9,2560," 1,015.00 ",วังเจ้า
10,2561," 2,647.00 ",เมืองตาก
11,2561, 10.00 ,บ้านตาก
12,2561, 40.00 ,สามเงา
13,2561," 12,273.90 ",แม่ระมาด
14,2561," 30,719.00 ",ท่าสองยาง
15,2561," 9,098.19 ",แม่สอด
16,2561," 6,943.60 ",พบพระ
17,2561," 2,141.11 ",อุ้มผาง
18,2561, 209.50 ,วังเจ้า
19,2562,,เมืองตาก
20,2562,,บ้านตาก
21,2562,,สามเงา
22,2562," 12,450.00 ",แม่ระมาด
23,2562,,ท่าสองยาง
24,2562," 13,000.00 ",แม่สอด
25,2562," 7,495.00 ",พบพระ
26,2562, 400.00 ,อุ้มผาง
27,2562,,วังเจ้า
28,2563," 8,343.95 ",เมืองตาก
29,2563," 4,369.12 ",บ้านตาก
30,2563," 1,154.20 ",สามเงา
31,2563,,แม่ระมาด
32,2563,,ท่าสองยาง
33,2563, 53.23 ,แม่สอด
34,2563,,พบพระ
35,2563, 57.42 ,อุ้มผาง
36,2563, 64.25 ,วังเจ้า
37,2564," 7,686.42 ",เมืองตาก
38,2564," 3,352.23 ",บ้านตาก
39,2564, 988.29 ,สามเงา
40,2564, 2.50 ,แม่ระมาด
41,2564, 6.83 ,ท่าสองยาง
42,2564, 44.30 ,แม่สอด
43,2564, 35.68 ,พบพระ
44,2564,,อุ้มผาง
45,2564, 142.25 ,วังเจ้า
46,2565," 6,623.97 ",เมืองตาก
47,2565," 4,008.01 ",บ้านตาก
48,2565, 804.59 ,สามเงา
49,2565,,แม่ระมาด
50,2565, 7.00 ,ท่าสองยาง
51,2565, 16.42 ,แม่สอด
52,2565,,พบพระ
53,2565,,อุ้มผาง
54,2565, 64.50 ,วังเจ้า
55,2566,"3,669.10",เมืองตาก
56,2566,"4,550.03",บ้านตาก
57,2566,"1,556.45",สามเงา
58,2566,11.00,แม่ระมาด
59,2566,,ท่าสองยาง
60,2566,4.78,แม่สอด
61,2566,,พบพระ
62,2566,,อุ้มผาง
63,2566,190.75,วังเจ้า
64,2567,582.11,เมืองตาก
65,2567,"3,513.03",บ้านตาก
66,2567,"1,885.22",สามเงา
67,2567,20.50,แม่ระมาด
68,2567,35.12,ท่าสองยาง
69,2567,36.12,แม่สอด
70,2567,,พบพระ
71,2567,,อุ้มผาง
72,2567,509.50,วังเจ้า
