จำนวน,ประเภท,ที่มา,_id,ปี,ชนิดพืช,หน่วยนับ,อำเภอ,รายการ,จังหวัด
" 3,182.00 ",พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,1,2569,ทุเรียน,ไร่,ครบุรี,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
" 7,405.73 ",พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,2,2569,ทุเรียน,ไร่,เสิงสาง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 10.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,3,2569,ทุเรียน,ไร่,โชคชัย,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 22.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,4,2569,ทุเรียน,ไร่,ขามสะแกแสง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 137.50 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,5,2569,ทุเรียน,ไร่,ปักธงชัย,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 18.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,6,2569,ทุเรียน,ไร่,ห้วยแถลง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 12.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,7,2569,ทุเรียน,ไร่,ชุมพวง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 121.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,8,2569,ทุเรียน,ไร่,สูงเนิน,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
" 3,947.50 ",พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,9,2569,ทุเรียน,ไร่,ปากช่อง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
" 1,387.25 ",พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,10,2569,ทุเรียน,ไร่,หนองบุญมาก,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 614.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,11,2569,ทุเรียน,ไร่,วังน้ำเขียว,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
" 1,683.00 ",พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,12,2568,ทุเรียน,ไร่,ครบุรี,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
" 2,883.00 ",พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,13,2568,ทุเรียน,ไร่,เสิงสาง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 10.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,14,2568,ทุเรียน,ไร่,โชคชัย,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 32.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,15,2568,ทุเรียน,ไร่,ขามสะแกแสง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 135.50 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,16,2568,ทุเรียน,ไร่,ปักธงชัย,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 18.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,17,2568,ทุเรียน,ไร่,ห้วยแถลง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 10.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,18,2568,ทุเรียน,ไร่,ชุมพวง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 71.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,19,2568,ทุเรียน,ไร่,สูงเนิน,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
" 3,036.00 ",พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,20,2568,ทุเรียน,ไร่,ปากช่อง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 781.50 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,21,2568,ทุเรียน,ไร่,หนองบุญมาก,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 160.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,22,2568,ทุเรียน,ไร่,วังน้ำเขียว,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 135.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,23,2567,ทุเรียน,ไร่,ครบุรี,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
" 2,836.00 ",พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,24,2567,ทุเรียน,ไร่,เสิงสาง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 10.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,25,2567,ทุเรียน,ไร่,โชคชัย,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 72.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,26,2567,ทุเรียน,ไร่,ขามสะแกแสง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 20.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,27,2567,ทุเรียน,ไร่,ชุมพวง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 28.75 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,28,2567,ทุเรียน,ไร่,สูงเนิน,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
" 2,707.00 ",พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,29,2567,ทุเรียน,ไร่,ปากช่อง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 771.50 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,30,2567,ทุเรียน,ไร่,หนองบุญมาก,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
 10.00 ,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,31,2567,ทุเรียน,ไร่,วังน้ำเขียว,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
