จำนวน,ประเภท,ที่มา,_id,ปี,ชนิดพืช,หน่วยนับ,อำเภอ,รายการข้อมูล
"78,578.06",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,1,2569,ข้าวนาปี,ไร่,เมืองนครราชสีมา,เนื้อที่เพาะข้าวนาปี
"62,993.62",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,2,2569,ข้าวนาปี,ไร่,ครบุรี,เนื้อที่เพาะข้าวนาปี
"35,938.47",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,3,2569,ข้าวนาปี,ไร่,เสิงสาง,เนื้อที่เพาะข้าวนาปี
"229,137.36",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,4,2569,ข้าวนาปี,ไร่,คง,เนื้อที่เพาะข้าวนาปี
"40,593.45",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,5,2569,ข้าวนาปี,ไร่,บ้านเหลื่อม,เนื้อที่เพาะข้าวนาปี
"90,121.61",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,6,2569,ข้าวนาปี,ไร่,จักราช,เนื้อที่เพาะข้าวนาปี
"99,478.29",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,7,2569,ข้าวนาปี,ไร่,โชคชัย,เนื้อที่เพาะข้าวนาปี
"194,249.90",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,8,2569,ข้าวนาปี,ไร่,ด่านขุนทด,เนื้อที่เพาะข้าวนาปี
"159,201.56",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,9,2569,ข้าวนาปี,ไร่,โนนไทย,เนื้อที่เพาะข้าวนาปี
"270,841.18",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,10,2569,ข้าวนาปี,ไร่,โนนสูง,เนื้อที่เพาะข้าวนาปี
"72,774.95",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,11,2569,ข้าวนาปี,ไร่,ขามสะแกแสง,เนื้อที่เพาะข้าวนาปี
"186,182.78",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,12,2569,ข้าวนาปี,ไร่,บัวใหญ่,เนื้อที่เพาะข้าวนาปี
"239,804.43",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,13,2569,ข้าวนาปี,ไร่,ประทาย,เนื้อที่เพาะข้าวนาปี
"126,902.92",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,14,2569,ข้าวนาปี,ไร่,ปักธงชัย,เนื้อที่เพาะข้าวนาปี
"250,445.42",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,15,2569,ข้าวนาปี,ไร่,พิมาย,เนื้อที่เพาะข้าวนาปี
"143,005.45",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,16,2569,ข้าวนาปี,ไร่,ห้วยแถลง,เนื้อที่เพาะข้าวนาปี
"185,078.28",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,17,2569,ข้าวนาปี,ไร่,ชุมพวง,เนื้อที่เพาะข้าวนาปี
"70,875.90",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,18,2569,ข้าวนาปี,ไร่,สูงเนิน,เนื้อที่เพาะข้าวนาปี
"32,304.23",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,19,2569,ข้าวนาปี,ไร่,ขามทะเลสอ,เนื้อที่เพาะข้าวนาปี
"62,271.57",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,20,2569,ข้าวนาปี,ไร่,สีคิ้ว,เนื้อที่เพาะข้าวนาปี
"2,999.43",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,21,2569,ข้าวนาปี,ไร่,ปากช่อง,เนื้อที่เพาะข้าวนาปี
"56,033.53",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,22,2569,ข้าวนาปี,ไร่,หนองบุญมาก,เนื้อที่เพาะข้าวนาปี
"76,687.75",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,23,2569,ข้าวนาปี,ไร่,แก้งสนามนาง,เนื้อที่เพาะข้าวนาปี
"65,490.97",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,24,2569,ข้าวนาปี,ไร่,โนนแดง,เนื้อที่เพาะข้าวนาปี
"13,574.63",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,25,2569,ข้าวนาปี,ไร่,วังน้ำเขียว,เนื้อที่เพาะข้าวนาปี
"26,966.33",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,26,2569,ข้าวนาปี,ไร่,เทพารักษ์,เนื้อที่เพาะข้าวนาปี
"110,860.69",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,27,2569,ข้าวนาปี,ไร่,เมืองยาง,เนื้อที่เพาะข้าวนาปี
"69,934.32",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,28,2569,ข้าวนาปี,ไร่,พระทองคำ,เนื้อที่เพาะข้าวนาปี
"65,036.87",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,29,2569,ข้าวนาปี,ไร่,ลำทะเมนชัย,เนื้อที่เพาะข้าวนาปี
"55,866.86",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,30,2569,ข้าวนาปี,ไร่,บัวลาย,เนื้อที่เพาะข้าวนาปี
"73,106.34",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,31,2569,ข้าวนาปี,ไร่,สีดา,เนื้อที่เพาะข้าวนาปี
"32,315.86",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,32,2569,ข้าวนาปี,ไร่,เฉลิมพระเกียรติ,เนื้อที่เพาะข้าวนาปี
"81,755.82",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,33,2568,ข้าวนาปี,ไร่,เมืองนครราชสีมา,เนื้อที่เพาะข้าวนาปี
"63,105.82",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,34,2568,ข้าวนาปี,ไร่,ครบุรี,เนื้อที่เพาะข้าวนาปี
"35,624.98",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,35,2568,ข้าวนาปี,ไร่,เสิงสาง,เนื้อที่เพาะข้าวนาปี
"231,180.13",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,36,2568,ข้าวนาปี,ไร่,คง,เนื้อที่เพาะข้าวนาปี
"50,340.71",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,37,2568,ข้าวนาปี,ไร่,บ้านเหลื่อม,เนื้อที่เพาะข้าวนาปี
"95,151.46",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,38,2568,ข้าวนาปี,ไร่,จักราช,เนื้อที่เพาะข้าวนาปี
