ที่มา,_id,ปี,เนื้อที่ยืนต้น,รายการ,หน่วย
สำนักงานเกษตรจังหวัดกระบี่,1,2556,989246,เนื้อที่เพาะปลูกปาล์มน้ำมันในจังหวัดกระบี่,ไร่
สำนักงานเกษตรจังหวัดกระบี่,2,2557,984694,เนื้อที่เพาะปลูกปาล์มน้ำมันในจังหวัดกระบี่,ไร่
สำนักงานเกษตรจังหวัดกระบี่,3,2558,1062983,เนื้อที่เพาะปลูกปาล์มน้ำมันในจังหวัดกระบี่,ไร่
สำนักงานเกษตรจังหวัดกระบี่,4,2559,1093082,เนื้อที่เพาะปลูกปาล์มน้ำมันในจังหวัดกระบี่,ไร่
สำนักงานเกษตรจังหวัดกระบี่,5,2560,1058185,เนื้อที่เพาะปลูกปาล์มน้ำมันในจังหวัดกระบี่,ไร่
สำนักงานเกษตรจังหวัดกระบี่,6,2561,1086190,เนื้อที่เพาะปลูกปาล์มน้ำมันในจังหวัดกระบี่,ไร่
สำนักงานเกษตรจังหวัดกระบี่,7,2562,1106941,เนื้อที่เพาะปลูกปาล์มน้ำมันในจังหวัดกระบี่,ไร่
สำนักงานเกษตรจังหวัดกระบี่,8,2563,1170815,เนื้อที่เพาะปลูกปาล์มน้ำมันในจังหวัดกระบี่,ไร่
สำนักงานเกษตรจังหวัดกระบี่,9,2564,1183117,เนื้อที่เพาะปลูกปาล์มน้ำมันในจังหวัดกระบี่,ไร่
สำนักงานเกษตรจังหวัดกระบี่,10,2565,1197809,เนื้อที่เพาะปลูกปาล์มน้ำมันในจังหวัดกระบี่,ไร่
สำนักงานเกษตรจังหวัดกระบี่,11,2566,1208594,เนื้อที่เพาะปลูกปาล์มน้ำมันในจังหวัดกระบี่,ไร่
สำนักงานเกษตรจังหวัดกระบี่,12,2567,1211834,เนื้อที่เพาะปลูกปาล์มน้ำมันในจังหวัดกระบี่,ไร่
