จำนวน,ชนิดของพืชไร่,_id,ปี,รายการ
" 139,202.50 ",ข้าวโพดเลี้ยงสัตว์,1,2565,เนื้อที่เพาะปลูก (ไร่)
" 135,369.00 ",ข้าวโพดเลี้ยงสัตว์,2,2565,เนื้อที่เก็บเกี่ยว (ไร่)
" 98,819.37 ",ข้าวโพดเลี้ยงสัตว์,3,2565,ผลผลิต (ตัน)
 730.00 ,ข้าวโพดเลี้ยงสัตว์,4,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
 180.00 ,ทานตะวัน,5,2565,เนื้อที่เพาะปลูก (ไร่)
 180.00 ,ทานตะวัน,6,2565,เนื้อที่เก็บเกี่ยว (ไร่)
 50.40 ,ทานตะวัน,7,2565,ผลผลิต (ตัน)
 280.00 ,ทานตะวัน,8,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
 829.00 ,มันแกว,9,2565,เนื้อที่เพาะปลูก (ไร่)
 769.00 ,มันแกว,10,2565,เนื้อที่เก็บเกี่ยว (ไร่)
" 1,840.99 ",มันแกว,11,2565,ผลผลิต (ตัน)
" 2,394.00 ",มันแกว,12,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
" 48,629.70 ",มันสำปะหลังโรงงาน,13,2565,เนื้อที่เพาะปลูก (ไร่)
" 47,352.95 ",มันสำปะหลังโรงงาน,14,2565,เนื้อที่เก็บเกี่ยว (ไร่)
" 169,997.09 ",มันสำปะหลังโรงงาน,15,2565,ผลผลิต (ตัน)
" 3,590.00 ",มันสำปะหลังโรงงาน,16,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
" 55,261.25 ",อ้อยโรงงาน,17,2565,เนื้อที่เพาะปลูก (ไร่)
" 55,237.25 ",อ้อยโรงงาน,18,2565,เนื้อที่เก็บเกี่ยว (ไร่)
" 444,770.34 ",อ้อยโรงงาน,19,2565,ผลผลิต (ตัน)
" 8,052.00 ",อ้อยโรงงาน,20,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
" 12,633.00 ",ถั่วเขียวผิวมัน,21,2565,เนื้อที่เพาะปลูก (ไร่)
" 7,316.00 ",ถั่วเขียวผิวมัน,22,2565,เนื้อที่เก็บเกี่ยว (ไร่)
" 1,353.46 ",ถั่วเขียวผิวมัน,23,2565,ผลผลิต (ตัน)
 185.00 ,ถั่วเขียวผิวมัน,24,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
 22.50 ,ถั่วลิสง,25,2565,เนื้อที่เพาะปลูก (ไร่)
 22.50 ,ถั่วลิสง,26,2565,เนื้อที่เก็บเกี่ยว (ไร่)
 6.75 ,ถั่วลิสง,27,2565,ผลผลิต (ตัน)
 300.00 ,ถั่วลิสง,28,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
" 22,135.00 ",หญ้าเลี้ยงสัตว์,29,2565,เนื้อที่เพาะปลูก (ไร่)
" 22,062.00 ",หญ้าเลี้ยงสัตว์,30,2565,เนื้อที่เก็บเกี่ยว (ไร่)
" 69,495.30 ",หญ้าเลี้ยงสัตว์,31,2565,ผลผลิต (ตัน)
" 3,150.00 ",หญ้าเลี้ยงสัตว์,32,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
" 170,440.00 ",ข้าวโพดเลี้ยงสัตว์,33,2566,เนื้อที่เพาะปลูก (ไร่)
" 167,723.00 ",ข้าวโพดเลี้ยงสัตว์,34,2566,เนื้อที่เก็บเกี่ยว (ไร่)
" 165,867.98 ",ข้าวโพดเลี้ยงสัตว์,35,2566,ผลผลิต (ตัน)
 973.18 ,ข้าวโพดเลี้ยงสัตว์,36,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
" 26,378.50 ",ถั่วเขียวผิวมัน,37,2566,เนื้อที่เพาะปลูก (ไร่)
" 26,378.50 ",ถั่วเขียวผิวมัน,38,2566,เนื้อที่เก็บเกี่ยว (ไร่)
" 4,760.99 ",ถั่วเขียวผิวมัน,39,2566,ผลผลิต (ตัน)
 180.49 ,ถั่วเขียวผิวมัน,40,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
 35.00 ,ถั่วลิสง,41,2566,เนื้อที่เพาะปลูก (ไร่)
 35.00 ,ถั่วลิสง,42,2566,เนื้อที่เก็บเกี่ยว (ไร่)
" 7,000.00 ",ถั่วลิสง,43,2566,ผลผลิต (ตัน)
 200.00 ,ถั่วลิสง,44,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
 430.00 ,ทานตะวัน,45,2566,เนื้อที่เพาะปลูก (ไร่)
 430.00 ,ทานตะวัน,46,2566,เนื้อที่เก็บเกี่ยว (ไร่)
" 43,000.00 ",ทานตะวัน,47,2566,ผลผลิต (ตัน)
 100.00 ,ทานตะวัน,48,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
 659.00 ,มันแกว,49,2566,เนื้อที่เพาะปลูก (ไร่)
 659.00 ,มันแกว,50,2566,เนื้อที่เก็บเกี่ยว (ไร่)
" 1,498.00 ",มันแกว,51,2566,ผลผลิต (ตัน)
" 2,370.25 ",มันแกว,52,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
" 47,428.50 ",มันสำปะหลังโรงงาน,53,2566,เนื้อที่เพาะปลูก (ไร่)
" 47,218.50 ",มันสำปะหลังโรงงาน,54,2566,เนื้อที่เก็บเกี่ยว (ไร่)
" 192,248.92 ",มันสำปะหลังโรงงาน,55,2566,ผลผลิต (ตัน)
" 4,053.45 ",มันสำปะหลังโรงงาน,56,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
" 12,721.19 ",หญ้าเลี้ยงสัตว์,57,2566,เนื้อที่เพาะปลูก (ไร่)
" 12,721.19 ",หญ้าเลี้ยงสัตว์,58,2566,เนื้อที่เก็บเกี่ยว (ไร่)
" 13,522.62 ",หญ้าเลี้ยงสัตว์,59,2566,ผลผลิต (ตัน)
" 1,063.00 ",หญ้าเลี้ยงสัตว์,60,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
" 50,480.50 ",อ้อยโรงงาน,61,2566,เนื้อที่เพาะปลูก (ไร่)
" 49,215.50 ",อ้อยโรงงาน,62,2566,เนื้อที่เก็บเกี่ยว (ไร่)
" 540,549.98 ",อ้อยโรงงาน,63,2566,ผลผลิต (ตัน)
" 10,708.09 ",อ้อยโรงงาน,64,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
