จำนวน,_id,ปี,รายการ,ชนิดของพืชผัก
188,1,2565,เนื้อที่เพาะปลูก (ไร่),ข้าวโพดรับประทานผักสด
182,2,2565,เนื้อที่เก็บเกี่ยว (ไร่),ข้าวโพดรับประทานผักสด
215.852,3,2565,ผลผลิต (ตัน),ข้าวโพดรับประทานผักสด
1186,4,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),ข้าวโพดรับประทานผักสด
583,5,2565,เนื้อที่เพาะปลูก (ไร่),ข้าวโพดหวาน
583,6,2565,เนื้อที่เก็บเกี่ยว (ไร่),ข้าวโพดหวาน
408.1,7,2565,ผลผลิต (ตัน),ข้าวโพดหวาน
700,8,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),ข้าวโพดหวาน
281,9,2565,เนื้อที่เพาะปลูก (ไร่),ชะอม
279,10,2565,เนื้อที่เก็บเกี่ยว (ไร่),ชะอม
73.935,11,2565,ผลผลิต (ตัน),ชะอม
265,12,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),ชะอม
67.5,13,2565,เนื้อที่เพาะปลูก (ไร่),แตงกวา
67.5,14,2565,เนื้อที่เก็บเกี่ยว (ไร่),แตงกวา
138.375,15,2565,ผลผลิต (ตัน),แตงกวา
2050,16,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),แตงกวา
265.75,17,2565,เนื้อที่เพาะปลูก (ไร่),ถั่วฝักยาว
265.75,18,2565,เนื้อที่เก็บเกี่ยว (ไร่),ถั่วฝักยาว
318.9,19,2565,ผลผลิต (ตัน),ถั่วฝักยาว
1200,20,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),ถั่วฝักยาว
73,21,2565,เนื้อที่เพาะปลูก (ไร่),ถั่วพู
73,22,2565,เนื้อที่เก็บเกี่ยว (ไร่),ถั่วพู
50.005,23,2565,ผลผลิต (ตัน),ถั่วพู
685,24,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),ถั่วพู
265.5,25,2565,เนื้อที่เพาะปลูก (ไร่),บวบ
265.5,26,2565,เนื้อที่เก็บเกี่ยว (ไร่),บวบ
172.575,27,2565,ผลผลิต (ตัน),บวบ
650,28,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),บวบ
200,29,2565,เนื้อที่เพาะปลูก (ไร่),ผักชี
200,30,2565,เนื้อที่เก็บเกี่ยว (ไร่),ผักชี
217,31,2565,ผลผลิต (ตัน),ผักชี
1085,32,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),ผักชี
146,33,2565,เนื้อที่เพาะปลูก (ไร่),พริกขี้หนูเม็ดเล็ก
146,34,2565,เนื้อที่เก็บเกี่ยว (ไร่),พริกขี้หนูเม็ดเล็ก
94.9,35,2565,ผลผลิต (ตัน),พริกขี้หนูเม็ดเล็ก
650,36,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),พริกขี้หนูเม็ดเล็ก
174,37,2565,เนื้อที่เพาะปลูก (ไร่),คะน้า
174,38,2565,เนื้อที่เก็บเกี่ยว (ไร่),คะน้า
62.64,39,2565,ผลผลิต (ตัน),คะน้า
360,40,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.),คะน้า
16,41,2565,เนื้อที่เพาะปลูก (ไร่),พริกใหญ่
16,42,2565,เนื้อที่เก็บเกี่ยว (ไร่),พริกใหญ่
