จำนวน,_id,ปี,รายการ,ชนิดของพืชผัก
85,1,2561,เนื้อที่เพาะปลูก (ไร่),ข้าวโพดรับประทานฝักสด
85,2,2561,เนื้อที่เก็บเกี่ยว (ไร่),ข้าวโพดรับประทานฝักสด
68,3,2561,ผลผลิต (ตัน),ข้าวโพดรับประทานฝักสด
800,4,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.),ข้าวโพดรับประทานฝักสด
328,5,2561,เนื้อที่เพาะปลูก (ไร่),ข้าวโพดหวาน
318,6,2561,เนื้อที่เก็บเกี่ยว (ไร่),ข้าวโพดหวาน
267.27,7,2561,ผลผลิต (ตัน),ข้าวโพดหวาน
840,8,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.),ข้าวโพดหวาน
346,9,2561,เนื้อที่เพาะปลูก (ไร่),ชะอม
346,10,2561,เนื้อที่เก็บเกี่ยว (ไร่),ชะอม
111,11,2561,ผลผลิต (ตัน),ชะอม
53,12,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.),ชะอม
442,13,2561,เนื้อที่เพาะปลูก (ไร่),แตงกวา
442,14,2561,เนื้อที่เก็บเกี่ยว (ไร่),แตงกวา
472.94,15,2561,ผลผลิต (ตัน),แตงกวา
1070,16,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.),แตงกวา
569,17,2561,เนื้อที่เพาะปลูก (ไร่),ถั่วฝักยาว
569,18,2561,เนื้อที่เก็บเกี่ยว (ไร่),ถั่วฝักยาว
246.95,19,2561,ผลผลิต (ตัน),ถั่วฝักยาว
434,20,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.),ถั่วฝักยาว
47,21,2561,เนื้อที่เพาะปลูก (ไร่),ถั่วพู
42,22,2561,เนื้อที่เก็บเกี่ยว (ไร่),ถั่วพู
17,23,2561,ผลผลิต (ตัน),ถั่วพู
404,24,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.),ถั่วพู
192,25,2561,เนื้อที่เพาะปลูก (ไร่),บวบ
138,26,2561,เนื้อที่เก็บเกี่ยว (ไร่),บวบ
117.3,27,2561,ผลผลิต (ตัน),บวบ
850,28,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.),บวบ
337,29,2561,เนื้อที่เพาะปลูก (ไร่),ผักชี
312,30,2561,เนื้อที่เก็บเกี่ยว (ไร่),ผักชี
110,31,2561,ผลผลิต (ตัน),ผักชี
352,32,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.),ผักชี
58.25,33,2561,เนื้อที่เพาะปลูก (ไร่),พริกขี้หนูเม็ดเล็ก
58.25,34,2561,เนื้อที่เก็บเกี่ยว (ไร่),พริกขี้หนูเม็ดเล็ก
34.16,35,2561,ผลผลิต (ตัน),พริกขี้หนูเม็ดเล็ก
293,36,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.),พริกขี้หนูเม็ดเล็ก
84,37,2561,เนื้อที่เพาะปลูก (ไร่),คะน้า
74,38,2561,เนื้อที่เก็บเกี่ยว (ไร่),คะน้า
116.6,39,2561,ผลผลิต (ตัน),คะน้า
1575,40,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.),คะน้า
11,41,2561,เนื้อที่เพาะปลูก (ไร่),พริกใหญ่
11,42,2561,เนื้อที่เก็บเกี่ยว (ไร่),พริกใหญ่
1.8,43,2561,ผลผลิต (ตัน),พริกใหญ่
90.5,44,2561,ผลผลิตเฉลี่ยต่อไร่ (กก.),พริกใหญ่
145,45,2562,เนื้อที่เพาะปลูก (ไร่),ข้าวโพดรับประทานฝักสด
145,46,2562,เนื้อที่เก็บเกี่ยว (ไร่),ข้าวโพดรับประทานฝักสด
176.9,47,2562,ผลผลิต (ตัน),ข้าวโพดรับประทานฝักสด
1220,48,2562,ผลผลิตเฉลี่ยต่อไร่ (กก.),ข้าวโพดรับประทานฝักสด
96,49,2562,เนื้อที่เพาะปลูก (ไร่),ข้าวโพดหวาน
96,50,2562,เนื้อที่เก็บเกี่ยว (ไร่),ข้าวโพดหวาน
149.47,51,2562,ผลผลิต (ตัน),ข้าวโพดหวาน
