จำนวน,_id,ปี,ชนิดของพืชไม้ผล,รายการ
6914,1,2561,กล้วยหอม,เนื้อที่เพาะปลูก (ไร่)
2487,2,2561,กล้วยหอม,เนื้อที่เก็บเกี่ยว (ไร่)
18144.64,3,2561,กล้วยหอม,ผลผลิต (ตัน)
7295.79,4,2561,กล้วยหอม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
4098,5,2561,กล้วยน้ำว้า,เนื้อที่เพาะปลูก (ไร่)
1075,6,2561,กล้วยน้ำว้า,เนื้อที่เก็บเกี่ยว (ไร่)
1261.28,7,2561,กล้วยน้ำว้า,ผลผลิต (ตัน)
"1,173.28",8,2561,กล้วยน้ำว้า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
861,9,2561,น้อยหน่า,เนื้อที่เพาะปลูก (ไร่)
567,10,2561,น้อยหน่า,เนื้อที่เก็บเกี่ยว (ไร่)
810,11,2561,น้อยหน่า,ผลผลิต (ตัน)
1428,12,2561,น้อยหน่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
7522.25,13,2561,มะม่วง,เนื้อที่เพาะปลูก (ไร่)
2411,14,2561,มะม่วง,เนื้อที่เก็บเกี่ยว (ไร่)
2454.07,15,2561,มะม่วง,ผลผลิต (ตัน)
1017.8,16,2561,มะม่วง,ผลผลิตเฉลี่ยต่อไร่ (กก.)
250,17,2561,มะขาม,เนื้อที่เพาะปลูก (ไร่)
87,18,2561,มะขาม,เนื้อที่เก็บเกี่ยว (ไร่)
1452.13,19,2561,มะขาม,ผลผลิต (ตัน)
16691,20,2561,มะขาม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
411,21,2561,องุ่น,เนื้อที่เพาะปลูก (ไร่)
350,22,2561,องุ่น,เนื้อที่เก็บเกี่ยว (ไร่)
498.2,23,2561,องุ่น,ผลผลิต (ตัน)
1423,24,2561,องุ่น,ผลผลิตเฉลี่ยต่อไร่ (กก.)
7196,25,2561,ปาล์มน้ำมัน,เนื้อที่เพาะปลูก (ไร่)
6921,26,2561,ปาล์มน้ำมัน,เนื้อที่เก็บเกี่ยว (ไร่)
22571,27,2561,ปาล์มน้ำมัน,ผลผลิต (ตัน)
3261,28,2561,ปาล์มน้ำมัน,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2539,29,2561,ยางพารา,เนื้อที่เพาะปลูก (ไร่)
1748,30,2561,ยางพารา,เนื้อที่เก็บเกี่ยว (ไร่)
241,31,2561,ยางพารา,ผลผลิต (ตัน)
138,32,2561,ยางพารา,ผลผลิตเฉลี่ยต่อไร่ (กก.)
"2,043.00",33,2561,ยูคาลิปตัส,เนื้อที่เพาะปลูก (ไร่)
10,34,2561,ยูคาลิปตัส,เนื้อที่เก็บเกี่ยว (ไร่)
80,35,2561,ยูคาลิปตัส,ผลผลิต (ตัน)
8,36,2561,ยูคาลิปตัส,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2821,37,2561,ผักหวานป่า,เนื้อที่เพาะปลูก (ไร่)
2685,38,2561,ผักหวานป่า,เนื้อที่เก็บเกี่ยว (ไร่)
11275.21,39,2561,ผักหวานป่า,ผลผลิต (ตัน)
4199,40,2561,ผักหวานป่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
5757,41,2562,กล้วยหอม,เนื้อที่เพาะปลูก (ไร่)
3219,42,2562,กล้วยหอม,เนื้อที่เก็บเกี่ยว (ไร่)
4896.1,43,2562,กล้วยหอม,ผลผลิต (ตัน)
1521,44,2562,กล้วยหอม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
4267,45,2562,กล้วยน้ำว้า,เนื้อที่เพาะปลูก (ไร่)
2376,46,2562,กล้วยน้ำว้า,เนื้อที่เก็บเกี่ยว (ไร่)
969.41,47,2562,กล้วยน้ำว้า,ผลผลิต (ตัน)
408,48,2562,กล้วยน้ำว้า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
1456,49,2562,น้อยหน่า,เนื้อที่เพาะปลูก (ไร่)
1044,50,2562,น้อยหน่า,เนื้อที่เก็บเกี่ยว (ไร่)
718.27,51,2562,น้อยหน่า,ผลผลิต (ตัน)
688,52,2562,น้อยหน่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
7880,53,2562,มะม่วง,เนื้อที่เพาะปลูก (ไร่)
