เจ้าของข้อมูล,เนื้อที่เสียหาย,_id,ปี,ตำบล,อำเภอ,หน่วย
สำนักงานเกษตรจังหวัดอ่างทอง,0,1,2560,ตลาดหลวง,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,2,2560,บางแก้ว,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,80,3,2560,ศาลาแดง,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,4,2560,ป่างิ้ว,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,5,2560,บ้านแห,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,6,2560,ตลาดกรวด,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,7,2560,มหาดไทย,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,8,2560,บ้านอิฐ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,9,2560,หัวไผ่,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,10,2560,จำปาหล่อ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,11,2560,โพสะ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,12,2560,บ้านรี,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,13,2560,คลองวัว,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,14,2560,ย่านซื่อ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,15,2560,จรเข้ร้อง,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,16,2560,ไชยภูมิ,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,17,2560,ชัยฤทธิ์,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,18,2560,เทวราช,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,19,2560,ราชสถิตย์,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,20,2560,ไชโย,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,21,2560,หลักฟ้า,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,22,2560,ชะไว,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,23,2560,ตรีณรงค์,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,24,2560,บางปลากด,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,25,2560,ป่าโมก,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,129,26,2560,สายทอง,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,145,27,2560,โรงช้าง,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,28,2560,บางเสด็จ,ป่าโมก,ไร่
