เจ้าของข้อมูล,ผลผลิตเฉลี่ย,_id,ปี,ตำบล,อำเภอ,หน่วย
สำนักงานเกษตรจังหวัดอ่างทอง,800,1,2560,ตลาดหลวง,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,750,2,2560,บางแก้ว,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,827.59,3,2560,ศาลาแดง,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,735.57,4,2560,ป่างิ้ว,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,752.69,5,2560,บ้านแห,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,718.21,6,2560,ตลาดกรวด,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,710.6,7,2560,มหาดไทย,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,808.82,8,2560,บ้านอิฐ,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,700,9,2560,หัวไผ่,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,784.6,10,2560,จำปาหล่อ,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,775.27,11,2560,โพสะ,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,393.33,12,2560,บ้านรี,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,547.46,13,2560,คลองวัว,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,736.5,14,2560,ย่านซื่อ,เมืองอ่างทอง,กิโลกรัม/ไร่
