เจ้าของข้อมูล,_id,ปี,ตำบล,อำเภอ,ราคาขาย,หน่วย
สำนักงานเกษตรจังหวัดอ่างทอง,1,2560,ตลาดหลวง,เมืองอ่างทอง,7,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,2,2560,บางแก้ว,เมืองอ่างทอง,7,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,3,2560,ศาลาแดง,เมืองอ่างทอง,7.34,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,4,2560,ป่างิ้ว,เมืองอ่างทอง,7.15,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,5,2560,บ้านแห,เมืองอ่างทอง,7,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,6,2560,ตลาดกรวด,เมืองอ่างทอง,7,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,7,2560,มหาดไทย,เมืองอ่างทอง,6.91,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,8,2560,บ้านอิฐ,เมืองอ่างทอง,7.33,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,9,2560,หัวไผ่,เมืองอ่างทอง,6.91,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,10,2560,จำปาหล่อ,เมืองอ่างทอง,6.92,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,11,2560,โพสะ,เมืองอ่างทอง,7.54,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,12,2560,บ้านรี,เมืองอ่างทอง,19.43,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,13,2560,คลองวัว,เมืองอ่างทอง,6.8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,14,2560,ย่านซื่อ,เมืองอ่างทอง,7,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,15,2560,จรเข้ร้อง,ไชโย,7.1,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,16,2560,ไชยภูมิ,ไชโย,8.9,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,17,2560,ชัยฤทธิ์,ไชโย,6.62,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,18,2560,เทวราช,ไชโย,8.02,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,19,2560,ราชสถิตย์,ไชโย,8.02,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,20,2560,ไชโย,ไชโย,7.47,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,21,2560,หลักฟ้า,ไชโย,9.19,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,22,2560,ชะไว,ไชโย,7.82,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,23,2560,ตรีณรงค์,ไชโย,7.56,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,24,2560,บางปลากด,ป่าโมก,7,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,25,2560,ป่าโมก,ป่าโมก,7,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,26,2560,สายทอง,ป่าโมก,6.89,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,27,2560,โรงช้าง,ป่าโมก,7,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,28,2560,บางเสด็จ,ป่าโมก,7,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,29,2560,นรสิงห์,ป่าโมก,7,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,30,2560,เอกราช,ป่าโมก,7,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,31,2560,โผงเผง,ป่าโมก,7,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,32,2560,อ่างแก้ว,โพธิ์ทอง,7.1,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,33,2560,อินทประมูล,โพธิ์ทอง,6.69,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,34,2560,บางพลับ,โพธิ์ทอง,6.67,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,35,2560,หนองแม่ไก่,โพธิ์ทอง,7.33,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,36,2560,รำมะสัก,โพธิ์ทอง,7.01,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,37,2560,บางระกำ,โพธิ์ทอง,6.81,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,38,2560,โพธิ์รังนก,โพธิ์ทอง,6.57,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,39,2560,องครักษ์,โพธิ์ทอง,6.75,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,40,2560,โคกพุทรา,โพธิ์ทอง,6.5,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,41,2560,ยางช้าย,โพธิ์ทอง,7.25,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,42,2560,บ่อแร่,โพธิ์ทอง,7.22,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,43,2560,ทางพระ,โพธิ์ทอง,6.5,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,44,2560,สามง่าม,โพธิ์ทอง,6.74,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,45,2560,บางเจ้าฉ่า,โพธิ์ทอง,6.62,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,46,2560,คำหยาด,โพธิ์ทอง,6.93,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,47,2560,แสวงหา,แสวงหา,6.74,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,48,2560,ศรีพราน,แสวงหา,6.59,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,49,2560,บ้านพราน,แสวงหา,6.55,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,50,2560,วังน้ำเย็น,แสวงหา,7.03,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,51,2560,สีบัวทอง,แสวงหา,7.04,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,52,2560,ห้วยไผ่,แสวงหา,6.65,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,53,2560,จำลอง,แสวงหา,6.75,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,54,2560,ไผ่จำศิล,วิเศษชัยชาญ,6.47,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,55,2560,ศาลเจ้าโรงทอง,วิเศษชัยชาญ,6.42,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,56,2560,ไผ่ดำพัฒนา,วิเศษชัยชาญ,6.56,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,57,2560,สาวร้องไห้,วิเศษชัยชาญ,6.65,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,58,2560,ท่าช้าง,วิเศษชัยชาญ,6.55,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,59,2560,ยี่ล้น,วิเศษชัยชาญ,6.49,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,60,2560,บางจัก,วิเศษชัยชาญ,6.43,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,61,2560,ห้วยคันแหลน,วิเศษชัยชาญ,6.59,บาท
