จำนวน,ที่มา,ชนิดของพืชไร่,_id,ปี,จำแนก,หน่วย
448730.0,สำนักงานเกษตรจังหวัดสระแก้ว,มันสำปะหลัง,1,2559,เนื้อที่เพาะปลูก ,ไร่
99254.0,สำนักงานเกษตรจังหวัดสระแก้ว,ข้าวโพดเลี้ยงสัตว์,2,2559,เนื้อที่เพาะปลูก ,ไร่
415345.0,สำนักงานเกษตรจังหวัดสระแก้ว,อ้อยโรงงาน,3,2559,เนื้อที่เพาะปลูก ,ไร่
640.0,สำนักงานเกษตรจังหวัดสระแก้ว,ถั่วเขียวผิวมัน,4,2559,เนื้อที่เพาะปลูก ,ไร่
1049.0,สำนักงานเกษตรจังหวัดสระแก้ว,มันเทศ,5,2559,เนื้อที่เพาะปลูก ,ไร่
431891.0,สำนักงานเกษตรจังหวัดสระแก้ว,มันสำปะหลัง,6,2559,เนื้อที่เก็บเกี่ยว ,ไร่
97533.0,สำนักงานเกษตรจังหวัดสระแก้ว,ข้าวโพดเลี้ยงสัตว์,7,2559,เนื้อที่เก็บเกี่ยว ,ไร่
394577.0,สำนักงานเกษตรจังหวัดสระแก้ว,อ้อยโรงงาน,8,2559,เนื้อที่เก็บเกี่ยว ,ไร่
440.0,สำนักงานเกษตรจังหวัดสระแก้ว,ถั่วเขียวผิวมัน,9,2559,เนื้อที่เก็บเกี่ยว ,ไร่
769.0,สำนักงานเกษตรจังหวัดสระแก้ว,มันเทศ,10,2559,เนื้อที่เก็บเกี่ยว ,ไร่
1378555.0,สำนักงานเกษตรจังหวัดสระแก้ว,มันสำปะหลัง,11,2559,ผลผลิต ,ตัน
63693.0,สำนักงานเกษตรจังหวัดสระแก้ว,ข้าวโพดเลี้ยงสัตว์,12,2559,ผลผลิต ,ตัน
4258669.0,สำนักงานเกษตรจังหวัดสระแก้ว,อ้อยโรงงาน,13,2559,ผลผลิต ,ตัน
110.0,สำนักงานเกษตรจังหวัดสระแก้ว,ถั่วเขียวผิวมัน,14,2559,ผลผลิต ,ตัน
2490.0,สำนักงานเกษตรจังหวัดสระแก้ว,มันเทศ,15,2559,ผลผลิต ,ตัน
3191.9,สำนักงานเกษตรจังหวัดสระแก้ว,มันสำปะหลัง,16,2559,ผลผลิตเฉลี่ยต่อไร่ ,กิโลกรัม 
653.04,สำนักงานเกษตรจังหวัดสระแก้ว,ข้าวโพดเลี้ยงสัตว์,17,2559,ผลผลิตเฉลี่ยต่อไร่ ,กิโลกรัม 
10793.0,สำนักงานเกษตรจังหวัดสระแก้ว,อ้อยโรงงาน,18,2559,ผลผลิตเฉลี่ยต่อไร่ ,กิโลกรัม 
250.0,สำนักงานเกษตรจังหวัดสระแก้ว,ถั่วเขียวผิวมัน,19,2559,ผลผลิตเฉลี่ยต่อไร่ ,กิโลกรัม 
3237.97,สำนักงานเกษตรจังหวัดสระแก้ว,มันเทศ,20,2559,ผลผลิตเฉลี่ยต่อไร่ ,กิโลกรัม 
81793.0,สำนักงานเกษตรจังหวัดสระแก้ว,ข้าวโพดเลี้ยงสัตว์,21,2560,เนื้อที่เพาะปลูก ,ไร่
406477.0,สำนักงานเกษตรจังหวัดสระแก้ว,มันสำปะหลัง,22,2560,เนื้อที่เพาะปลูก ,ไร่
399942.0,สำนักงานเกษตรจังหวัดสระแก้ว,อ้อยโรงงาน,23,2560,เนื้อที่เพาะปลูก ,ไร่
81764.0,สำนักงานเกษตรจังหวัดสระแก้ว,ข้าวโพดเลี้ยงสัตว์,24,2560,เนื้อที่เก็บเกี่ยว ,ไร่
386227.0,สำนักงานเกษตรจังหวัดสระแก้ว,มันสำปะหลัง,25,2560,เนื้อที่เก็บเกี่ยว ,ไร่
254668.0,สำนักงานเกษตรจังหวัดสระแก้ว,อ้อยโรงงาน,26,2560,เนื้อที่เก็บเกี่ยว ,ไร่
64555.0,สำนักงานเกษตรจังหวัดสระแก้ว,ข้าวโพดเลี้ยงสัตว์,27,2560,ผลผลิต,ตัน
1347902.0,สำนักงานเกษตรจังหวัดสระแก้ว,มันสำปะหลัง,28,2560,ผลผลิต,ตัน
2610020.0,สำนักงานเกษตรจังหวัดสระแก้ว,อ้อยโรงงาน,29,2560,ผลผลิต,ตัน
789.53,สำนักงานเกษตรจังหวัดสระแก้ว,ข้าวโพดเลี้ยงสัตว์,30,2560,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม 
3489.92,สำนักงานเกษตรจังหวัดสระแก้ว,มันสำปะหลัง,31,2560,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม 
10248.72,สำนักงานเกษตรจังหวัดสระแก้ว,อ้อยโรงงาน,32,2560,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม 
105410.0,สำนักงานเกษตรจังหวัดสระแก้ว,ข้าวโพดเลี้ยงสัตว์,33,2561,เนื้อที่เพาะปลูก ,ไร่
356997.0,สำนักงานเกษตรจังหวัดสระแก้ว,มันสำปะหลังโรงงาน,34,2561,เนื้อที่เพาะปลูก ,ไร่
395910.0,สำนักงานเกษตรจังหวัดสระแก้ว,อ้อยโรงงาน,35,2561,เนื้อที่เพาะปลูก ,ไร่
105410.0,สำนักงานเกษตรจังหวัดสระแก้ว,ข้าวโพดเลี้ยงสัตว์,36,2561,เนื้อที่เพาะปลูก ,ไร่
356997.0,สำนักงานเกษตรจังหวัดสระแก้ว,มันสำปะหลังโรงงาน,37,2561,เนื้อที่เพาะปลูก ,ไร่
