commod,_id,attribute,year_th,unit,table_id,note,value
ลิ้นจี่,1,เนื้อที่ยืนต้น,2558,พันไร่,4.12,,134
ลิ้นจี่,2,เนื้อที่ให้ผล,2558,พันไร่,4.12,,127
ลิ้นจี่,3,ผลผลิต,2558,พันตัน,4.12,,51
ลิ้นจี่,4,ผลผลิตต่อไร่,2558,กก./ไร่,4.12,,403
ลิ้นจี่,5,ราคาที่เกษตรกรขายได้,2558,บาท/กก.,4.12,,15.77
ลิ้นจี่,6,มูลค่าของผลผลิต,2558,ล้านบาท,4.12,,808
ลิ้นจี่,7,เนื้อที่ยืนต้น,2559,พันไร่,4.12,,123
ลิ้นจี่,8,เนื้อที่ให้ผล,2559,พันไร่,4.12,,120
ลิ้นจี่,9,ผลผลิต,2559,พันตัน,4.12,,31
ลิ้นจี่,10,ผลผลิตต่อไร่,2559,กก./ไร่,4.12,,260
ลิ้นจี่,11,ราคาที่เกษตรกรขายได้,2559,บาท/กก.,4.12,,27.59
ลิ้นจี่,12,มูลค่าของผลผลิต,2559,ล้านบาท,4.12,,863
ลิ้นจี่,13,เนื้อที่ยืนต้น,2560,พันไร่,4.12,,122
ลิ้นจี่,14,เนื้อที่ให้ผล,2560,พันไร่,4.12,,119
ลิ้นจี่,15,ผลผลิต,2560,พันตัน,4.12,,47
ลิ้นจี่,16,ผลผลิตต่อไร่,2560,กก./ไร่,4.12,,391
ลิ้นจี่,17,ราคาที่เกษตรกรขายได้,2560,บาท/กก.,4.12,,20.22
ลิ้นจี่,18,มูลค่าของผลผลิต,2560,ล้านบาท,4.12,,941
ลิ้นจี่,19,เนื้อที่ยืนต้น,2561,พันไร่,4.12,,114
ลิ้นจี่,20,เนื้อที่ให้ผล,2561,พันไร่,4.12,,109
ลิ้นจี่,21,ผลผลิต,2561,พันตัน,4.12,,48
ลิ้นจี่,22,ผลผลิตต่อไร่,2561,กก./ไร่,4.12,,440
ลิ้นจี่,23,ราคาที่เกษตรกรขายได้,2561,บาท/กก.,4.12,,22.15
ลิ้นจี่,24,มูลค่าของผลผลิต,2561,ล้านบาท,4.12,,1064
ลิ้นจี่,25,เนื้อที่ยืนต้น,2562,พันไร่,4.12,,109
ลิ้นจี่,26,เนื้อที่ให้ผล,2562,พันไร่,4.12,,103
ลิ้นจี่,27,ผลผลิต,2562,พันตัน,4.12,,23
ลิ้นจี่,28,ผลผลิตต่อไร่,2562,กก./ไร่,4.12,,225
ลิ้นจี่,29,ราคาที่เกษตรกรขายได้,2562,บาท/กก.,4.12,,40.01
ลิ้นจี่,30,มูลค่าของผลผลิต,2562,ล้านบาท,4.12,,921
ลิ้นจี่,31,เนื้อที่ยืนต้น,2563,พันไร่,4.12,,106
ลิ้นจี่,32,เนื้อที่ให้ผล,2563,พันไร่,4.12,,100
ลิ้นจี่,33,ผลผลิต,2563,พันตัน,4.12,,34
ลิ้นจี่,34,ผลผลิตต่อไร่,2563,กก./ไร่,4.12,,340
ลิ้นจี่,35,ราคาที่เกษตรกรขายได้,2563,บาท/กก.,4.12,,22.78
ลิ้นจี่,36,มูลค่าของผลผลิต,2563,ล้านบาท,4.12,,774
ลิ้นจี่,37,เนื้อที่ยืนต้น,2564,พันไร่,4.12,,102
ลิ้นจี่,38,เนื้อที่ให้ผล,2564,พันไร่,4.12,,99
ลิ้นจี่,39,ผลผลิต,2564,พันตัน,4.12,,36
ลิ้นจี่,40,ผลผลิตต่อไร่,2564,กก./ไร่,4.12,,368
ลิ้นจี่,41,ราคาที่เกษตรกรขายได้,2564,บาท/กก.,4.12,,23.55
ลิ้นจี่,42,มูลค่าของผลผลิต,2564,ล้านบาท,4.12,,853
ลิ้นจี่,43,เนื้อที่ยืนต้น,2565,พันไร่,4.12,,96
ลิ้นจี่,44,เนื้อที่ให้ผล,2565,พันไร่,4.12,,94
ลิ้นจี่,45,ผลผลิต,2565,พันตัน,4.12,,44
ลิ้นจี่,46,ผลผลิตต่อไร่,2565,กก./ไร่,4.12,,465
ลิ้นจี่,47,ราคาที่เกษตรกรขายได้,2565,บาท/กก.,4.12,,17.41
ลิ้นจี่,48,มูลค่าของผลผลิต,2565,ล้านบาท,4.12,,763
ลิ้นจี่,49,เนื้อที่ยืนต้น,2566,พันไร่,4.12,,90
ลิ้นจี่,50,เนื้อที่ให้ผล,2566,พันไร่,4.12,,88
ลิ้นจี่,51,ผลผลิต,2566,พันตัน,4.12,,41
ลิ้นจี่,52,ผลผลิตต่อไร่,2566,กก./ไร่,4.12,,465
ลิ้นจี่,53,ราคาที่เกษตรกรขายได้,2566,บาท/กก.,4.12,,27.84
ลิ้นจี่,54,มูลค่าของผลผลิต,2566,ล้านบาท,4.12,,1137
ลิ้นจี่,55,เนื้อที่ยืนต้น,2567,พันไร่,4.12,p,84
ลิ้นจี่,56,เนื้อที่ให้ผล,2567,พันไร่,4.12,p,83
ลิ้นจี่,57,ผลผลิต,2567,พันตัน,4.12,p,14
ลิ้นจี่,58,ผลผลิตต่อไร่,2567,กก./ไร่,4.12,p,168
ลิ้นจี่,59,ราคาที่เกษตรกรขายได้,2567,บาท/กก.,4.12,,63.85
ลิ้นจี่,60,มูลค่าของผลผลิต,2567,ล้านบาท,4.12,,915
ลองกอง,61,เนื้อที่ยืนต้น,2558,พันไร่,4.14,,355
ลองกอง,62,เนื้อที่ให้ผล,2558,พันไร่,4.14,,328
ลองกอง,63,ผลผลิต,2558,พันตัน,4.14,,124
ลองกอง,64,ผลผลิตต่อไร่,2558,กก./ไร่,4.14,,378
ลองกอง,65,ราคาที่เกษตรกรขายได้,2558,บาท/กก.,4.14,,33.1
ลองกอง,66,มูลค่าของผลผลิต,2558,ล้านบาท,4.14,,4095
ลองกอง,67,เนื้อที่ยืนต้น,2559,พันไร่,4.14,,323
ลองกอง,68,เนื้อที่ให้ผล,2559,พันไร่,4.14,,301
ลองกอง,69,ผลผลิต,2559,พันตัน,4.14,,111
ลองกอง,70,ผลผลิตต่อไร่,2559,กก./ไร่,4.14,,369
ลองกอง,71,ราคาที่เกษตรกรขายได้,2559,บาท/กก.,4.14,,42.91
ลองกอง,72,มูลค่าของผลผลิต,2559,ล้านบาท,4.14,,4763
ลองกอง,73,เนื้อที่ยืนต้น,2560,พันไร่,4.14,,293
ลองกอง,74,เนื้อที่ให้ผล,2560,พันไร่,4.14,,274
ลองกอง,75,ผลผลิต,2560,พันตัน,4.14,,51
ลองกอง,76,ผลผลิตต่อไร่,2560,กก./ไร่,4.14,,184
ลองกอง,77,ราคาที่เกษตรกรขายได้,2560,บาท/กก.,4.14,,39.75
ลองกอง,78,มูลค่าของผลผลิต,2560,ล้านบาท,4.14,,2009
ลองกอง,79,เนื้อที่ยืนต้น,2561,พันไร่,4.14,,269
ลองกอง,80,เนื้อที่ให้ผล,2561,พันไร่,4.14,,254
ลองกอง,81,ผลผลิต,2561,พันตัน,4.14,,75
