_id,ราคาผลผลิต (บาท./กก.),พื้นที่ (ไร่),มูลค่า (บาท),ข้อมูล (ปี),ผลผลิตรวม (ตัน),ครัวเรือนเกษตรกร,ชนิดพืช,ผลผลิตเฉลี่ย (กก./ไร่)
1,9.1,308498,1729316388.8000002,2563,190034.768,13886,ข้าวนาปี,616
2,7.35,312591,1651868921,2564,224744,15249,ข้าวนาปี,719
3,9.2,315908,1970507740.8000002,2565,214185.624,14149,ข้าวนาปี,678
4,8.87,312771,2022449223,2566,228010,15151,ข้าวนาปี,729
5,8.73,317241,2140834267,2567,245227,15211,ข้าวนาปี,773
6,6.18,300466.25,1370378491.65,2568,221744.09,14380,ข้าวนาปี,738
7,8.5,27305,162000565,2563,19058.89,1587,ข้าวนาปรัง,698
8,7.65,183053,200516541,2564,26211,8087,ข้าวนาปรัง,730
9,9.6,133841,971364441.6,2565,101183.796,6523,ข้าวนาปรัง,756
10,9.69,132332,968134295,2566,99910,6780,ข้าวนาปรัง,755
11,6.95,157965,824490419,2567,118631,7107,ข้าวนาปรัง,751
12,6.75,164363.75,824325322.5,2568,122122.27,8168,ข้าวนาปรัง,743
13,6,155860,93516000,2563,155860,6274,ข้าวโพดเลี้ยงสัตว์,1000
14,6,155004,930014940,2564,155002,6662,ข้าวโพดเลี้ยงสัตว์,1000
15,9,134321,1208889000,2565,134321,5108,ข้าวโพดเลี้ยงสัตว์,1000
16,7.07,175702.75,1199984722,2566,169729,8999,ข้าวโพดเลี้ยงสัตว์,966.16
17,6.62,145278,419199668.99999994,2567,144551.61,7305,ข้าวโพดเลี้ยงสัตว์,995
18,6.33,182384,473377672,2568,163233.68,6033,ข้าวโพดเลี้ยงสัตว์,895
19,2.6,39198,454696800,2563,156792,1980,มันสำปะหลัง,4000
20,2.35,60535,669583900,2564,230891,2966,มันสำปะหลัง,3373
21,2.9,54796,579467700,2565,246582,2898,มันสำปะหลัง,4500
22,3.31,77307,739584472.95,2566,314716.797,2112,มันสำปะหลัง,4071
23,1.97,39963,430121769,2567,183030.54,1845,มันสำปะหลัง,4580
24,2.6,45578.2,418259746.85,2568,177982.871,1333,มันสำปะหลัง,3905
25,25,1800,216000000,2563,8640,211,เผือกหอม,4800
26,20,2641,211260000,2564,10563,214,เผือกหอม,2900
27,35,2500,304675000,2565,8705,220,เผือกหอม,3482
28,27,4148,391986000,2566,14518,241,เผือกหอม,3500
29,50,3042,476072999.99999994,2567,9521.46,221,เผือกหอม,3130
30,30,3696,498960000,2568,16632,234,เผือกหอม,4500
31,6.45,4951,73448084.99999999,2563,11387.3,117,ปาล์มน้ำมัน,2300
32,4.45,5235,72575050,2564,16309,124,ปาล์มน้ำมัน,3125
33,9.95,3695,113972275,2565,11454.5,100,ปาล์มน้ำมัน,3100
34,5.78,5775,103977142.5,2566,17989.125,118,ปาล์มน้ำมัน,3115
35,5.27,5647,104218434.38000001,2567,19775.794,115,ปาล์มน้ำมัน,3502
36,5.78,5834,134039067.00000001,2568,23190.15,128,ปาล์มน้ำมัน,3975
37,20,7908,158160000,2563,7908,2380,มะม่วง,1000
38,20,7793,154014200,2564,7793,2445,มะม่วง,1000
39,20,2836,56720000,2565,2836,1496,มะม่วง,1000
40,24,4193,83860000,2566,4193,2978,มะม่วง,1000
41,22.5,8080,161600000,2567,8080,2744,มะม่วง,1000
42,20,9136,182720000,2568,9136,2561,มะม่วง,1000
43,16,2349,82684800,2563,5167.8,198,กล้วยหอม,2200
44,16.5,2523,94928050,2564,5753,201,กล้วยหอม,2280
45,18,6132,249118632.00000003,2565,13839.924,80,กล้วยหอม,2257
46,18,6387.5,255819375,2566,14212.1875,93,กล้วยหอม,2225
47,20,7869,340224084,2567,18901.338,138,กล้วยหอม,2402
48,45,3865,172185750,2568,9565.875,126,กล้วยหอม,2475
