_id,ปี,อำเภอ,เกษตรกรเลี้ยงไก่เนื้อ,หน่วยนับ
1,2565,เมืองนครสวรรค์,28,ราย
2,2565,โกรกพระ,9,ราย
3,2565,ชุมแสง,24,ราย
4,2565,หนองบัว,40,ราย
5,2565,บรรพตพิสัย,10,ราย
6,2565,เก้าเลี้ยว,2,ราย
7,2565,ตาคลี,12,ราย
8,2565,ท่าตะโก,19,ราย
9,2565,ไพศาลี,11,ราย
10,2565,พยุหะคีรี,15,ราย
11,2565,ลาดยาว,23,ราย
12,2565,ตากฟ้า,18,ราย
13,2565,แม่วงก์,6,ราย
14,2565,แม่เปิน,1,ราย
15,2565,ชุมตาบง,1,ราย
16,2566,เมืองนครสวรรค์,49,ราย
17,2566,โกรกพระ,8,ราย
18,2566,ชุมแสง,14,ราย
19,2566,หนองบัว,42,ราย
20,2566,บรรพตพิสัย,9,ราย
21,2566,เก้าเลี้ยว,2,ราย
22,2566,ตาคลี,14,ราย
23,2566,ท่าตะโก,15,ราย
24,2566,ไพศาลี,11,ราย
25,2566,พยุหะคีรี,10,ราย
26,2566,ลาดยาว,22,ราย
27,2566,ตากฟ้า,17,ราย
28,2566,แม่วงก์,5,ราย
29,2566,แม่เปิน,0,ราย
30,2566,ชุมตาบง,1,ราย
31,2567,พยุหะคีรี,11,ราย
32,2567,ลาดยาว,21,ราย
33,2567,ตากฟ้า,15,ราย
34,2567,แม่วงก์,4,ราย
35,2567,แม่เปิน,0,ราย
36,2567,ชุมตาบง,1,ราย
37,2567,เมืองนครสวรรค์,48,ราย
38,2567,โกรกพระ,4,ราย
39,2567,ชุมแสง,13,ราย
40,2567,หนองบัว,40,ราย
41,2567,บรรพตพิสัย,9,ราย
42,2567,เก้าเลี้ยว,3,ราย
43,2567,ตาคลี,11,ราย
44,2567,ท่าตะโก,16,ราย
45,2567,ไพศาลี,11,ราย
