_id,ปี,จำนวน,หน่วยวัด,ประเภท
1,2560,3113,กิโลกรัม,ผลผลิตปาล์มน้ำมัน 
2,2560,4.12625,บาท,ราคาขายเฉลี่ยต่อกิโลกรัม
3,2560,10563.2,บาท,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
4,2561,3086,กิโลกรัม,ผลผลิตปาล์มน้ำมัน 
5,2561,3.157638889,บาท,ราคาขายเฉลี่ยต่อกิโลกรัม
6,2561,8086.713194,บาท,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
7,2562,3123,กิโลกรัม,ผลผลิตปาล์มน้ำมัน 
8,2562,2.818055556,บาท,ราคาขายเฉลี่ยต่อกิโลกรัม
9,2562,7219.858333,บาท,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
10,2563,2980,กิโลกรัม,ผลผลิตปาล์มน้ำมัน 
11,2563,4.654333333,บาท,ราคาขายเฉลี่ยต่อกิโลกรัม
12,2563,11929.05633,บาท,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
13,2564,3074,กิโลกรัม,ผลผลิตปาล์มน้ำมัน 
14,2564,6.84,บาท,ราคาขายเฉลี่ยต่อกิโลกรัม
15,2564,20773,บาท,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
16,2565,3094,กิโลกรัม,ผลผลิตปาล์มน้ำมัน 
17,2565,9.75,บาท,ราคาขายเฉลี่ยต่อกิโลกรัม
18,2565,30362,บาท,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
19,2566,3246,กิโลกรัม,ผลผลิตปาล์มน้ำมัน 
20,2566,5.4,บาท,ราคาขายเฉลี่ยต่อกิโลกรัม
21,2566,17528,บาท,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
22,2567,3215,กิโลกรัม,ผลผลิตปาล์มน้ำมัน 
23,2567,5.98,บาท,ราคาขายเฉลี่ยต่อกิโลกรัม
24,2567,19226,บาท,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
