_id,ผลผลิตข้าวเฉลี่ย,ปี,อำเภอ,หน่วยนับ
1,626,2562,เมืองนครสวรรค์,กิโลกรัม
2,664,2562,โกรกพระ,กิโลกรัม
3,718,2562,ชุมแสง,กิโลกรัม
4,522,2562,หนองบัว,กิโลกรัม
5,715,2562,บรรพตพิสัย,กิโลกรัม
6,651,2562,เก้าเลี้ยว,กิโลกรัม
7,712,2562,ตาคลี,กิโลกรัม
8,755,2562,ท่าตะโก,กิโลกรัม
9,543,2562,ไพศาลี,กิโลกรัม
10,753,2562,พยุหะคีรี,กิโลกรัม
11,820,2562,ลาดยาว,กิโลกรัม
12,589,2562,ตากฟ้า,กิโลกรัม
13,606,2562,แม่วงก์,กิโลกรัม
14,500,2562,แม่เปิน,กิโลกรัม
15,425,2562,ชุมตาบง,กิโลกรัม
16,703,2563,เมืองนครสวรรค์,กิโลกรัม
17,629,2563,โกรกพระ,กิโลกรัม
18,699,2563,ชุมแสง,กิโลกรัม
19,520,2563,หนองบัว,กิโลกรัม
20,791,2563,บรรพตพิสัย,กิโลกรัม
21,651,2563,เก้าเลี้ยว,กิโลกรัม
22,834,2563,ตาคลี,กิโลกรัม
23,571,2563,ท่าตะโก,กิโลกรัม
24,530,2563,ไพศาลี,กิโลกรัม
25,715,2563,พยุหะคีรี,กิโลกรัม
26,850,2563,ลาดยาว,กิโลกรัม
27,524,2563,ตากฟ้า,กิโลกรัม
28,695,2563,แม่วงก์,กิโลกรัม
29,527,2563,แม่เปิน,กิโลกรัม
30,578,2563,ชุมตาบง,กิโลกรัม
31,700,2564,เมืองนครสวรรค์,กิโลกรัม
32,624,2564,โกรกพระ,กิโลกรัม
33,691,2564,ชุมแสง,กิโลกรัม
34,427,2564,หนองบัว,กิโลกรัม
35,759,2564,บรรพตพิสัย,กิโลกรัม
36,670,2564,เก้าเลี้ยว,กิโลกรัม
37,604,2564,ตาคลี,กิโลกรัม
38,506,2564,ท่าตะโก,กิโลกรัม
39,500,2564,ไพศาลี,กิโลกรัม
40,735,2564,พยุหะคีรี,กิโลกรัม
41,842,2564,ลาดยาว,กิโลกรัม
42,510,2564,ตากฟ้า,กิโลกรัม
43,694,2564,แม่วงก์,กิโลกรัม
44,588,2564,แม่เปิน,กิโลกรัม
45,435,2564,ชุมตาบง,กิโลกรัม
46,710.77,2565,เมืองนครสวรรค์,กิโลกรัม
47,744.16,2565,โกรกพระ,กิโลกรัม
48,744.66,2565,ชุมแสง,กิโลกรัม
49,518.03,2565,หนองบัว,กิโลกรัม
50,741.66,2565,บรรพตพิสัย,กิโลกรัม
51,650.53,2565,เก้าเลี้ยว,กิโลกรัม
52,665.16,2565,ตาคลี,กิโลกรัม
53,586.22,2565,ท่าตะโก,กิโลกรัม
54,560.99,2565,ไพศาลี,กิโลกรัม
55,700.41,2565,พยุหะคีรี,กิโลกรัม
56,850,2565,ลาดยาว,กิโลกรัม
57,520.6,2565,ตากฟ้า,กิโลกรัม
58,575.62,2565,แม่วงก์,กิโลกรัม
59,695.52,2565,แม่เปิน,กิโลกรัม
60,761.8,2565,ชุมตาบง,กิโลกรัม
61,751.37,2566,เมืองนครสวรรค์,กิโลกรัม
62,768.75,2566,โกรกพระ,กิโลกรัม
63,732.62,2566,ชุมแสง,กิโลกรัม
64,545.81,2566,หนองบัว,กิโลกรัม
65,739.01,2566,บรรพตพิสัย,กิโลกรัม
66,700.94,2566,เก้าเลี้ยว,กิโลกรัม
67,683.03,2566,ตาคลี,กิโลกรัม
68,700,2566,ท่าตะโก,กิโลกรัม
69,307.21,2566,ไพศาลี,กิโลกรัม
70,789.6,2566,พยุหะคีรี,กิโลกรัม
71,677.66,2566,ลาดยาว,กิโลกรัม
72,563.15,2566,ตากฟ้า,กิโลกรัม
73,664.87,2566,แม่วงก์,กิโลกรัม
74,600,2566,แม่เปิน,กิโลกรัม
75,793.78,2566,ชุมตาบง,กิโลกรัม
76,780.05,2567,เมืองนครสวรรค์,กิโลกรัม
77,802.02,2567,โกรกพระ,กิโลกรัม
78,734.28,2567,ชุมแสง,กิโลกรัม
79,536.45,2567,หนองบัว,กิโลกรัม
80,745.89,2567,บรรพตพิสัย,กิโลกรัม
81,650,2567,เก้าเลี้ยว,กิโลกรัม
82,721.75,2567,ตาคลี,กิโลกรัม
83,577.93,2567,ท่าตะโก,กิโลกรัม
84,513.99,2567,ไพศาลี,กิโลกรัม
85,797.5,2567,พยุหะคีรี,กิโลกรัม
86,693.35,2567,ลาดยาว,กิโลกรัม
87,0,2567,ตากฟ้า,กิโลกรัม
88,652.13,2567,แม่วงก์,กิโลกรัม
89,600,2567,แม่เปิน,กิโลกรัม
90,758.13,2567,ชุมตาบง,กิโลกรัม
