_id,สัปดาห์,เดือน,หน่วย,ประเภท,จำนวนเงิน
1,1,มกราคม,บาท,ราคาต่ำสุด ,4
2,1,มกราคม,บาท,ราคาสูงสุด,5
3,2,มกราคม,บาท,ราคาต่ำสุด ,4
4,2,มกราคม,บาท,ราคาสูงสุด,5
5,3,มกราคม,บาท,ราคาต่ำสุด ,4
6,3,มกราคม,บาท,ราคาสูงสุด,5
7,4,มกราคม,บาท,ราคาต่ำสุด ,3.5
8,4,มกราคม,บาท,ราคาสูงสุด,4.5
9,5,มกราคม,บาท,ราคาต่ำสุด ,4
10,5,มกราคม,บาท,ราคาสูงสุด,4.5
11,1,กุมภาพันธ์,บาท,ราคาต่ำสุด ,4
12,1,กุมภาพันธ์,บาท,ราคาสูงสุด,4.5
13,2,กุมภาพันธ์,บาท,ราคาต่ำสุด ,4
14,2,กุมภาพันธ์,บาท,ราคาสูงสุด,4.5
15,3,กุมภาพันธ์,บาท,ราคาต่ำสุด ,4
16,3,กุมภาพันธ์,บาท,ราคาสูงสุด,4.5
17,4,กุมภาพันธ์,บาท,ราคาต่ำสุด ,4
18,4,กุมภาพันธ์,บาท,ราคาสูงสุด,4.5
19,5,กุมภาพันธ์,บาท,ราคาต่ำสุด ,-
20,5,กุมภาพันธ์,บาท,ราคาสูงสุด,-
21,1,มีนาคม,บาท,ราคาต่ำสุด ,4
22,1,มีนาคม,บาท,ราคาสูงสุด,4.5
23,2,มีนาคม,บาท,ราคาต่ำสุด ,4
24,2,มีนาคม,บาท,ราคาสูงสุด,4.5
25,3,มีนาคม,บาท,ราคาต่ำสุด ,4
26,3,มีนาคม,บาท,ราคาสูงสุด,4.5
27,4,มีนาคม,บาท,ราคาต่ำสุด ,4
28,4,มีนาคม,บาท,ราคาสูงสุด,4.5
29,5,มีนาคม,บาท,ราคาต่ำสุด ,-
30,5,มีนาคม,บาท,ราคาสูงสุด,-
31,1,เมษายน,บาท,ราคาต่ำสุด ,4
32,1,เมษายน,บาท,ราคาสูงสุด,4.5
33,2,เมษายน,บาท,ราคาต่ำสุด ,4
34,2,เมษายน,บาท,ราคาสูงสุด,4.5
35,3,เมษายน,บาท,ราคาต่ำสุด ,4
36,3,เมษายน,บาท,ราคาสูงสุด,4.5
37,4,เมษายน,บาท,ราคาต่ำสุด ,4
38,4,เมษายน,บาท,ราคาสูงสุด,4.5
39,5,เมษายน,บาท,ราคาต่ำสุด ,-
40,5,เมษายน,บาท,ราคาสูงสุด,-
41,1,พฤษภาคม,บาท,ราคาต่ำสุด ,4
42,1,พฤษภาคม,บาท,ราคาสูงสุด,4.5
43,2,พฤษภาคม,บาท,ราคาต่ำสุด ,4
44,2,พฤษภาคม,บาท,ราคาสูงสุด,4.5
45,3,พฤษภาคม,บาท,ราคาต่ำสุด ,4
46,3,พฤษภาคม,บาท,ราคาสูงสุด,4.5
47,4,พฤษภาคม,บาท,ราคาต่ำสุด ,4
