_id,ปี,เดือน,หน่วย,ปริมาณผลผลิตน้ำนมดิบ
1,2568,มกราคม,กิโลกรัม," 11,269,473.00 "
2,2568,กุมภาพันธ์,กิโลกรัม," 10,383,229.00 "
3,2568,มีนาคม,กิโลกรัม," 11,047,822.00 "
4,2568,เมษายน,กิโลกรัม," 10,865,770.00 "
5,2568,พฤษภาคม,กิโลกรัม," 10,905,368.00 "
6,2568,มิถุนายน,กิโลกรัม," 10,219,025.00 "
7,2568,กรกฎาคม,กิโลกรัม," 10,251,952.00 "
8,2568,สิงหาคม,กิโลกรัม," 9,913,747.00 "
9,2568,กันยายน,กิโลกรัม," 9,368,225.00 "
10,2568,ตุลาคม,กิโลกรัม," 978,967.00 "
11,2568,พฤศจิกายน,กิโลกรัม," 10,308,196.00 "
12,2568,ธันวาคม,กิโลกรัม," 11,050,618.00 "
