_id,พ.ศ.,ผลผลิตรวม,"พื้นที่
ให้ผลผลิต",ราคาเฉลี่ย,มูลค่าผลผลิตรวม,พื้นที่เพาะปลูก,ชนิดพืช,ผลผลิตเฉลี่ย
1,2559,3293458,965942,4.59,15116,1043700,ปาล์มน้ำมัน,3338
2,2560,3309166,1058176,3.49,11548,1119597,ปาล์มน้ำมัน,3127
3,2561,3383122,1086190,4.16,14073,1138323,ปาล์มน้ำมัน,3115
4,2562,3504487,1106941,5.37,18819,1151415,ปาล์มน้ำมัน,3166
5,2563,3345467,1122439,7.11,23786,1170815,ปาล์มน้ำมัน,2981
6,2559,164431,698896,50.03,8226,776259,ยางพารา,237
7,2560,135008,528886,43.18,5829,587759,ยางพารา,265
8,2561,131699,491304,57.78,7609,716140,ยางพารา,268
9,2562,146565,586211,42.99,6300,677429,ยางพารา,250
10,2563,134768,564090,44.48,5994,653173,ยางพารา,239
11,,,,,,,ที่มา : สำนักงานเกษตรจังหวัดกระบี่,
