_id,สัปดาห์,เดือน,หน่วย,ประเภท,จำนวนเงิน
1,1,มกราคม,บาท,ราคาต่ำสุด ,30
2,1,มกราคม,บาท,ราคาสูงสุด,33
3,2,มกราคม,บาท,ราคาต่ำสุด ,30
4,2,มกราคม,บาท,ราคาสูงสุด,33
5,3,มกราคม,บาท,ราคาต่ำสุด ,29
6,3,มกราคม,บาท,ราคาสูงสุด,29
7,4,มกราคม,บาท,ราคาต่ำสุด ,28
8,4,มกราคม,บาท,ราคาสูงสุด,30
9,5,มกราคม,บาท,ราคาต่ำสุด ,29
10,5,มกราคม,บาท,ราคาสูงสุด,32
11,1,กุมภาพันธ์,บาท,ราคาต่ำสุด ,29
12,1,กุมภาพันธ์,บาท,ราคาสูงสุด,32
13,2,กุมภาพันธ์,บาท,ราคาต่ำสุด ,30
14,2,กุมภาพันธ์,บาท,ราคาสูงสุด,32
15,3,กุมภาพันธ์,บาท,ราคาต่ำสุด ,32
16,3,กุมภาพันธ์,บาท,ราคาสูงสุด,35
17,4,กุมภาพันธ์,บาท,ราคาต่ำสุด ,34
18,4,กุมภาพันธ์,บาท,ราคาสูงสุด,37
19,5,กุมภาพันธ์,บาท,ราคาต่ำสุด ,-
20,5,กุมภาพันธ์,บาท,ราคาสูงสุด,-
21,1,มีนาคม,บาท,ราคาต่ำสุด ,36
22,1,มีนาคม,บาท,ราคาสูงสุด,39
23,2,มีนาคม,บาท,ราคาต่ำสุด ,37
24,2,มีนาคม,บาท,ราคาสูงสุด,39
25,3,มีนาคม,บาท,ราคาต่ำสุด ,35
26,3,มีนาคม,บาท,ราคาสูงสุด,37
27,4,มีนาคม,บาท,ราคาต่ำสุด ,34
28,4,มีนาคม,บาท,ราคาสูงสุด,37
29,5,มีนาคม,บาท,ราคาต่ำสุด ,-
30,5,มีนาคม,บาท,ราคาสูงสุด,-
31,1,เมษายน,บาท,ราคาต่ำสุด ,35
32,1,เมษายน,บาท,ราคาสูงสุด,37
33,2,เมษายน,บาท,ราคาต่ำสุด ,35
34,2,เมษายน,บาท,ราคาสูงสุด,37
35,3,เมษายน,บาท,ราคาต่ำสุด ,29
36,3,เมษายน,บาท,ราคาสูงสุด,32
37,4,เมษายน,บาท,ราคาต่ำสุด ,29
38,4,เมษายน,บาท,ราคาสูงสุด,32
39,5,เมษายน,บาท,ราคาต่ำสุด ,-
40,5,เมษายน,บาท,ราคาสูงสุด,-
41,1,พฤษภาคม,บาท,ราคาต่ำสุด ,30
42,1,พฤษภาคม,บาท,ราคาสูงสุด,31
43,2,พฤษภาคม,บาท,ราคาต่ำสุด ,30
44,2,พฤษภาคม,บาท,ราคาสูงสุด,31
45,3,พฤษภาคม,บาท,ราคาต่ำสุด ,28
46,3,พฤษภาคม,บาท,ราคาสูงสุด,33
47,4,พฤษภาคม,บาท,ราคาต่ำสุด ,29
48,4,พฤษภาคม,บาท,ราคาสูงสุด,33
49,5,พฤษภาคม,บาท,ราคาต่ำสุด ,-
50,5,พฤษภาคม,บาท,ราคาสูงสุด,-
51,1,มิถุนายน,บาท,ราคาต่ำสุด ,30
52,1,มิถุนายน,บาท,ราคาสูงสุด,33
53,2,มิถุนายน,บาท,ราคาต่ำสุด ,30
54,2,มิถุนายน,บาท,ราคาสูงสุด,33
55,3,มิถุนายน,บาท,ราคาต่ำสุด ,29
56,3,มิถุนายน,บาท,ราคาสูงสุด,32
57,4,มิถุนายน,บาท,ราคาต่ำสุด ,27
58,4,มิถุนายน,บาท,ราคาสูงสุด,30
59,5,มิถุนายน,บาท,ราคาต่ำสุด ,27
60,5,มิถุนายน,บาท,ราคาสูงสุด,30
61,1,กรกฎาคม,บาท,ราคาต่ำสุด ,28
62,1,กรกฎาคม,บาท,ราคาสูงสุด,30
63,2,กรกฎาคม,บาท,ราคาต่ำสุด ,28
64,2,กรกฎาคม,บาท,ราคาสูงสุด,30
65,3,กรกฎาคม,บาท,ราคาต่ำสุด ,28
66,3,กรกฎาคม,บาท,ราคาสูงสุด,30
67,4,กรกฎาคม,บาท,ราคาต่ำสุด ,28
68,4,กรกฎาคม,บาท,ราคาสูงสุด,30
69,5,กรกฎาคม,บาท,ราคาต่ำสุด ,28
70,5,กรกฎาคม,บาท,ราคาสูงสุด,30
71,1,สิงหาคม,บาท,ราคาต่ำสุด ,28
72,1,สิงหาคม,บาท,ราคาสูงสุด,30
73,2,สิงหาคม,บาท,ราคาต่ำสุด ,29
74,2,สิงหาคม,บาท,ราคาสูงสุด,31
75,3,สิงหาคม,บาท,ราคาต่ำสุด ,29
76,3,สิงหาคม,บาท,ราคาสูงสุด,31
77,4,สิงหาคม,บาท,ราคาต่ำสุด ,29
78,4,สิงหาคม,บาท,ราคาสูงสุด,31
79,5,สิงหาคม,บาท,ราคาต่ำสุด ,-
80,5,สิงหาคม,บาท,ราคาสูงสุด,-
81,1,กันยายน,บาท,ราคาต่ำสุด ,29
82,1,กันยายน,บาท,ราคาสูงสุด,31
83,2,กันยายน,บาท,ราคาต่ำสุด ,28
84,2,กันยายน,บาท,ราคาสูงสุด,30
85,3,กันยายน,บาท,ราคาต่ำสุด ,29
86,3,กันยายน,บาท,ราคาสูงสุด,32
87,4,กันยายน,บาท,ราคาต่ำสุด ,29
88,4,กันยายน,บาท,ราคาสูงสุด,32
89,5,กันยายน,บาท,ราคาต่ำสุด ,-
90,5,กันยายน,บาท,ราคาสูงสุด,-
91,1,ตุลาคม,บาท,ราคาต่ำสุด ,24
92,1,ตุลาคม,บาท,ราคาสูงสุด,25
93,2,ตุลาคม,บาท,ราคาต่ำสุด ,23
94,2,ตุลาคม,บาท,ราคาสูงสุด,23
95,3,ตุลาคม,บาท,ราคาต่ำสุด ,24
96,3,ตุลาคม,บาท,ราคาสูงสุด,24
97,4,ตุลาคม,บาท,ราคาต่ำสุด ,25
98,4,ตุลาคม,บาท,ราคาสูงสุด,25
99,5,ตุลาคม,บาท,ราคาต่ำสุด ,-
100,5,ตุลาคม,บาท,ราคาสูงสุด,-
101,1,พฤศจิกายน,บาท,ราคาต่ำสุด ,25
102,1,พฤศจิกายน,บาท,ราคาสูงสุด,25
103,2,พฤศจิกายน,บาท,ราคาต่ำสุด ,26
104,2,พฤศจิกายน,บาท,ราคาสูงสุด,26
105,3,พฤศจิกายน,บาท,ราคาต่ำสุด ,25
106,3,พฤศจิกายน,บาท,ราคาสูงสุด,25
107,4,พฤศจิกายน,บาท,ราคาต่ำสุด ,25
108,4,พฤศจิกายน,บาท,ราคาสูงสุด,25
109,5,พฤศจิกายน,บาท,ราคาต่ำสุด ,-
110,5,พฤศจิกายน,บาท,ราคาสูงสุด,-
111,1,ธันวาคม,บาท,ราคาต่ำสุด ,22
112,1,ธันวาคม,บาท,ราคาสูงสุด,22
113,2,ธันวาคม,บาท,ราคาต่ำสุด ,21
114,2,ธันวาคม,บาท,ราคาสูงสุด,21
115,3,ธันวาคม,บาท,ราคาต่ำสุด ,22
116,3,ธันวาคม,บาท,ราคาสูงสุด,23
117,4,ธันวาคม,บาท,ราคาต่ำสุด ,22
118,4,ธันวาคม,บาท,ราคาสูงสุด,23
119,5,ธันวาคม,บาท,ราคาต่ำสุด ,-
120,5,ธันวาคม,บาท,ราคาสูงสุด,-
