หน่วยผลผลิต,จังหวัด,มูลค่า,_id,ผลผลิตเฉลี่ย,ผลผลิตรวม,ชนิดพืช,ราคาเฉลี่ย,หน่วยมูลค่า,หน่วยราคาเฉลี่ย,ปี,หน่วยผลผลิตเฉลี่ย
กิโลกรัม,สมุทรสาคร,11951195.47,1,687,1749809,ข้าวนาปรัง 63/64,6.83,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,1926799335,2,703,2709985,ข้าวนาปี 64/65,711.0,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,1823059988.64,3,4639,204608304,มะพร้าวน้ำหอม,8.91,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,16158283,4,1083,1599830,มะพร้าวแก่,10.1,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,326235456,5,2041,14025600,มะม่วง,23.26,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,611296700,6,3109,20596250,มะนาว,29.68,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,1147373193.84,7,5394,40131976,ฝรั่ง,28.59,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,31135550,8,1395,622711,ลำไย,50.0,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,74026738.3,9,2078,1581430,ชมพู่,46.81,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,35895330,10,2322,3589533,กล้วยน้ำว้า,10.0,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,29610000,11,610,423000,มะขามเทศ,70.0,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,24438060,12,1909,991000,แก้วมังกร,24.66,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,14089500,13,2302,469650,พุทรา,30.0,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,80316000,14,2300,1338600,องุ่น,60.0,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,502886020,15,2600,8918000,กล้วยไม้ ,56.39,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,186546672,16,6357,11710400,พืชผัก ,15.93,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,11226000,17,3478,187100,สมุนไพร,60.0,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,104360000,18,1508,1419000,ไม้ดอกอื่นๆ,50-80,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,358310000,19,16404,1191000,ไม้ประดับ,30-100,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,537216000,20,16000,213760000,นาเกลือ,2.0,บาท/ปี,บาท/กิโลกรัม,2565,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,17854045,21,686,1623095,ข้าวนาปรัง 64/65,11.0,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,29522568.4,22,713,2545049,ข้าวนาปี 65/66,11.6,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,2611715093.6800003,23,4460,201210716,มะพร้าวน้ำหอม,12.98,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,19848140,24,1111,1526780,มะพร้าวแก่,13.0,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,446559342,25,2158,15398598,มะม่วง,29.0,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,1073477254.07,26,3108,21227551,มะนาว,50.57,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,994508298.86,27,5391,41403343,ฝรั่ง,24.02,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,274370000,28,1440,5487400,ลำไย,50.0,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,50206656,29,2081,1473200,ชมพู่,34.08,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,36907339.82,30,2189,3462227,กล้วยน้ำว้า,10.66,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,26854740,31,600,363000,มะขามเทศ,73.98,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,19587500,32,1981,783500,แก้วมังกร,25.0,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,8860216.75,33,2286,384725,พุทรา,23.03,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,77220000,34,2200,1287000,องุ่น,60.0,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,287664772,35,2074,6253582,กล้วยไม้ ,46.0,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,108417225,36,5902,8901250,พืชผัก ,12.18,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,202968251.2,37,3263,1753960,สมุนไพร,115.72,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,104358000,38,863,728225,ไม้ดอกอื่นๆ,68.0,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,358305000,39,1262,839000,ไม้ประดับ,26.12,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,241088000,40,16000,301360000,นาเกลือ,0.8,บาท/ปี,บาท/กิโลกรัม,2566,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,15822548.7375,41,704.27,1695878.75,ข้าวนาปรัง 65/66,9.33,บาท/ปี,บาท/กิโลกรัม,2567,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,20013451.8325,42,708.44,2402575.25,ข้าวนาปี 66/67,8.33,บาท/ปี,บาท/กิโลกรัม,2567,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,2571325248,43,2605.14,141592800,มะพร้าวน้ำหอม,18.16,บาท/ปี,บาท/กิโลกรัม,2567,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,19572305.1,44,1114.77,1304820.34,มะพร้าวแก่,15.0,บาท/ปี,บาท/กิโลกรัม,2567,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,423399666.05,45,2172.88,15446905,มะม่วง,27.41,บาท/ปี,บาท/กิโลกรัม,2567,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,996831182.56,46,3104.65,20032781,มะนาว,49.76,บาท/ปี,บาท/กิโลกรัม,2567,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,1070078025.21,47,5384.67,41443765.5,ฝรั่ง,25.82,บาท/ปี,บาท/กิโลกรัม,2567,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,296417500,48,1439.71,5928350,ลำไย,50.0,บาท/ปี,บาท/กิโลกรัม,2567,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,52526310,49,2080.7909604519773,1461500,ชมพู่,35.94,บาท/ปี,บาท/กิโลกรัม,2567,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,36043152.36,50,2189.218395310751,3374827,กล้วยน้ำว้า,10.68,บาท/ปี,บาท/กิโลกรัม,2567,กิโลกรัม/ไร่/ปี/รอบ
กิโลกรัม,สมุทรสาคร,28992000,51,600,362400,มะขามเทศ,80.0,บาท/ปี,บาท/กิโลกรัม,2567,กิโลกรัม/ไร่/ปี/รอบ
