ADM0_PCODE,ADM0_EN,_id,REGION4,ปี,ผู้มีงานทำ,ADM1_EN,เพศ,ไตรมาส,ADM0_TH,ADM1_TH,อาชีพ
TH,Thailand,1,ภาคตะวันออกเฉียงเหนือ,2566,3042.23,Chaiyaphum,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ,เจ้าหน้าที่เทคนิกและผู้ประกอบการวิชาชีพที่เกี่ยวข้องฯ
TH,Thailand,2,ภาคตะวันออกเฉียงเหนือ,2566,4193.04,Chaiyaphum,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ,เจ้าหน้าที่เทคนิกและผู้ประกอบการวิชาชีพที่เกี่ยวข้องฯ
TH,Thailand,3,ภาคตะวันออกเฉียงเหนือ,2566,27091.87,Chaiyaphum,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ,ช่างฝีมือและผู้ปฎิบัติงานที่เกี่ยวข้องฯ
TH,Thailand,4,ภาคตะวันออกเฉียงเหนือ,2566,8673.21,Chaiyaphum,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ,ช่างฝีมือและผู้ปฎิบัติงานที่เกี่ยวข้องฯ
TH,Thailand,5,ภาคตะวันออกเฉียงเหนือ,2566,79644.75,Chaiyaphum,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ,ผุ้ประกอบอาชีพงานพื้นฐาน
TH,Thailand,6,ภาคตะวันออกเฉียงเหนือ,2566,50357.15,Chaiyaphum,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ,ผุ้ประกอบอาชีพงานพื้นฐาน
TH,Thailand,7,ภาคตะวันออกเฉียงเหนือ,2566,14776.48,Chaiyaphum,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักรฯ
TH,Thailand,8,ภาคตะวันออกเฉียงเหนือ,2566,5349.86,Chaiyaphum,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักรฯ
TH,Thailand,9,ภาคตะวันออกเฉียงเหนือ,2566,11924.54,Chaiyaphum,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ,ผู้จัดการ ข้าราชการอาวุโส และผู้บัญญัติกฎหมาย
TH,Thailand,10,ภาคตะวันออกเฉียงเหนือ,2566,6135.66,Chaiyaphum,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ,ผู้จัดการ ข้าราชการอาวุโส และผู้บัญญัติกฎหมาย
TH,Thailand,11,ภาคตะวันออกเฉียงเหนือ,2566,79895.41,Chaiyaphum,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้และการประมง
TH,Thailand,12,ภาคตะวันออกเฉียงเหนือ,2566,62892.12,Chaiyaphum,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้และการประมง
TH,Thailand,13,ภาคตะวันออกเฉียงเหนือ,2566,4200.67,Chaiyaphum,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
TH,Thailand,14,ภาคตะวันออกเฉียงเหนือ,2566,14003.19,Chaiyaphum,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
TH,Thailand,15,ภาคตะวันออกเฉียงเหนือ,2566,24781.51,Chaiyaphum,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ,พนักงานบริการและผู้จำหน่ายสินค้า
TH,Thailand,16,ภาคตะวันออกเฉียงเหนือ,2566,49139.2,Chaiyaphum,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ,พนักงานบริการและผู้จำหน่ายสินค้า
TH,Thailand,17,ภาคตะวันออกเฉียงเหนือ,2566,535.75,Chaiyaphum,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ,เสมียน
TH,Thailand,18,ภาคตะวันออกเฉียงเหนือ,2566,6463.99,Chaiyaphum,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ,เสมียน
TH,Thailand,19,ภาคตะวันออกเฉียงเหนือ,2566,2351.2,Chaiyaphum,       ชาย                         ,2,ประเทศไทย,ชัยภูมิ,เจ้าหน้าที่เทคนิกและผู้ประกอบการวิชาชีพที่เกี่ยวข้องฯ
