VALUE,SOURCE,_id,UNIT,YEAR,LF_STATUS
777129,สำนักงานสถิติแห่งชาติ,1,คน,2557,กำลังคนดิจิทัล (Digital Human Capital)
818543,สำนักงานสถิติแห่งชาติ,2,คน,2558,กำลังคนดิจิทัล (Digital Human Capital)
835067,สำนักงานสถิติแห่งชาติ,3,คน,2559,กำลังคนดิจิทัล (Digital Human Capital)
859475,สำนักงานสถิติแห่งชาติ,4,คน,2560,กำลังคนดิจิทัล (Digital Human Capital)
887969,สำนักงานสถิติแห่งชาติ,5,คน,2561,กำลังคนดิจิทัล (Digital Human Capital)
899927,สำนักงานสถิติแห่งชาติ,6,คน,2562,กำลังคนดิจิทัล (Digital Human Capital)
979661,สำนักงานสถิติแห่งชาติ,7,คน,2563,กำลังคนดิจิทัล (Digital Human Capital)
1044760,สำนักงานสถิติแห่งชาติ,8,คน,2564,กำลังคนดิจิทัล (Digital Human Capital)
1217204,สำนักงานสถิติแห่งชาติ,9,คน,2565,กำลังคนดิจิทัล (Digital Human Capital)
1230113,สำนักงานสถิติแห่งชาติ,10,คน,2566,กำลังคนดิจิทัล (Digital Human Capital)
1235553,สำนักงานสถิติแห่งชาติ,11,คน,2567,กำลังคนดิจิทัล (Digital Human Capital)
1205857,สำนักงานสถิติแห่งชาติ,12,คน,2568,กำลังคนดิจิทัล (Digital Human Capital)
