OCCUPATION,VALUE,SOURCE,_id,UNIT,YEAR
"ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์และวิศวกรรมศาสตร์ (ไม่รวม นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย 
 นักออกแบบภาพกราฟฟิกและสื่อผสม)",32005,สำนักงานสถิติแห่งชาติ,1,คน,2562
ผู้ประกอบวิชาชีพด้านสุขภาพ,14507,สำนักงานสถิติแห่งชาติ,2,คน,2562
ผู้ประกอบวิชาชีพด้านเทคโนโลยีสารสนเทศและการสื่อสาร,15510,สำนักงานสถิติแห่งชาติ,3,คน,2562
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านวิทยาศาสตร์และวิศวกรรมศาสตร์,48651,สำนักงานสถิติแห่งชาติ,4,คน,2562
"ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสุขภาพ (ไม่รวม เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม
 เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ ผู้ปฏิบัติงานด้านรถพยาบาล)",31358,สำนักงานสถิติแห่งชาติ,5,คน,2562
ช่างเทคนิคด้านเทคโนโลยีสารสนเทศและการสื่อสาร,20182,สำนักงานสถิติแห่งชาติ,6,คน,2562
ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรเพื่อการค้าขาย,259366,สำนักงานสถิติแห่งชาติ,7,คน,2562
ผู้ปฏิบัติงานที่มีฝีมือด้านการป่าไม้ ประมง และล่าสัตว์เพื่อการค้าขาย,12962,สำนักงานสถิติแห่งชาติ,8,คน,2562
ช่างก่อสร้างและผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวมช่างไฟฟ้า),13468,สำนักงานสถิติแห่งชาติ,9,คน,2562
ช่างโลหะ เครื่องจักร และผู้ปฏิบัติงานที่เกี่ยวข้อง,21644,สำนักงานสถิติแห่งชาติ,10,คน,2562
ช่างไฟฟ้าและอิเล็กทรอนิกส์,19185,สำนักงานสถิติแห่งชาติ,11,คน,2562
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรชนิดติดตั้งประจำที่,45819,สำนักงานสถิติแห่งชาติ,12,คน,2562
ผู้ปฏิบัติงานด้านการประกอบ,45213,สำนักงานสถิติแห่งชาติ,13,คน,2562
ช่างถ่ายภาพ,11367,สำนักงานสถิติแห่งชาติ,14,คน,2562
"ผู้ปฏิบัติงานใต้น้ำ ผู้ปฏิบัติงานด้านวัตถุระเบิดและผู้ปฏิบัติงานจุดระเบิด ผู้คัดคุณภาพและทดสอบผลิตภัณฑ์  
 (ยกเว้นอาหารและเครื่องดื่ม) ผู้รมยาและกำจัดแมลงและสัตว์ศัตรูพืช",18440,สำนักงานสถิติแห่งชาติ,15,คน,2562
รวม,1850870,สำนักงานสถิติแห่งชาติ,16,คน,2562
"ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์และวิศวกรรมศาสตร์ (ไม่รวม นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย 
 นักออกแบบภาพกราฟฟิกและสื่อผสม)",37655,สำนักงานสถิติแห่งชาติ,17,คน,2563
ผู้ประกอบวิชาชีพด้านสุขภาพ,19165,สำนักงานสถิติแห่งชาติ,18,คน,2563
ผู้ประกอบวิชาชีพด้านเทคโนโลยีสารสนเทศและการสื่อสาร,19118,สำนักงานสถิติแห่งชาติ,19,คน,2563
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านวิทยาศาสตร์และวิศวกรรมศาสตร์,53685,สำนักงานสถิติแห่งชาติ,20,คน,2563
"ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสุขภาพ (ไม่รวม เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม
 เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ ผู้ปฏิบัติงานด้านรถพยาบาล)",27190,สำนักงานสถิติแห่งชาติ,21,คน,2563
ช่างเทคนิคด้านเทคโนโลยีสารสนเทศและการสื่อสาร,20437,สำนักงานสถิติแห่งชาติ,22,คน,2563
ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรเพื่อการค้าขาย,270778,สำนักงานสถิติแห่งชาติ,23,คน,2563
ผู้ปฏิบัติงานที่มีฝีมือด้านการป่าไม้ ประมง และล่าสัตว์เพื่อการค้าขาย,15466,สำนักงานสถิติแห่งชาติ,24,คน,2563
ช่างก่อสร้างและผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวมช่างไฟฟ้า),14031,สำนักงานสถิติแห่งชาติ,25,คน,2563
ช่างโลหะ เครื่องจักร และผู้ปฏิบัติงานที่เกี่ยวข้อง,21019,สำนักงานสถิติแห่งชาติ,26,คน,2563
ช่างไฟฟ้าและอิเล็กทรอนิกส์,18343,สำนักงานสถิติแห่งชาติ,27,คน,2563
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรชนิดติดตั้งประจำที่,46230,สำนักงานสถิติแห่งชาติ,28,คน,2563
ผู้ปฏิบัติงานด้านการประกอบ,44767,สำนักงานสถิติแห่งชาติ,29,คน,2563
ช่างถ่ายภาพ,10326,สำนักงานสถิติแห่งชาติ,30,คน,2563
"ผู้ปฏิบัติงานใต้น้ำ ผู้ปฏิบัติงานด้านวัตถุระเบิดและผู้ปฏิบัติงานจุดระเบิด ผู้คัดคุณภาพและทดสอบผลิตภัณฑ์  
 (ยกเว้นอาหารและเครื่องดื่ม) ผู้รมยาและกำจัดแมลงและสัตว์ศัตรูพืช",23296,สำนักงานสถิติแห่งชาติ,31,คน,2563
รวม,641506,สำนักงานสถิติแห่งชาติ,32,คน,2563
"ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์และวิศวกรรมศาสตร์ (ไม่รวม นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย 
 นักออกแบบภาพกราฟฟิกและสื่อผสม)",35750,สำนักงานสถิติแห่งชาติ,33,คน,2564
ผู้ประกอบวิชาชีพด้านสุขภาพ,19039,สำนักงานสถิติแห่งชาติ,34,คน,2564
ผู้ประกอบวิชาชีพด้านเทคโนโลยีสารสนเทศและการสื่อสาร,23988,สำนักงานสถิติแห่งชาติ,35,คน,2564
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านวิทยาศาสตร์และวิศวกรรมศาสตร์,56327,สำนักงานสถิติแห่งชาติ,36,คน,2564
"ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสุขภาพ (ไม่รวม เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม
 เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ ผู้ปฏิบัติงานด้านรถพยาบาล)",31213,สำนักงานสถิติแห่งชาติ,37,คน,2564
ช่างเทคนิคด้านเทคโนโลยีสารสนเทศและการสื่อสาร,15546,สำนักงานสถิติแห่งชาติ,38,คน,2564
ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรเพื่อการค้าขาย,312947,สำนักงานสถิติแห่งชาติ,39,คน,2564
ผู้ปฏิบัติงานที่มีฝีมือด้านการป่าไม้ ประมง และล่าสัตว์เพื่อการค้าขาย,13184,สำนักงานสถิติแห่งชาติ,40,คน,2564
ช่างก่อสร้างและผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวมช่างไฟฟ้า),13778,สำนักงานสถิติแห่งชาติ,41,คน,2564
ช่างโลหะ เครื่องจักร และผู้ปฏิบัติงานที่เกี่ยวข้อง,20971,สำนักงานสถิติแห่งชาติ,42,คน,2564
ช่างไฟฟ้าและอิเล็กทรอนิกส์,21952,สำนักงานสถิติแห่งชาติ,43,คน,2564
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรชนิดติดตั้งประจำที่,50983,สำนักงานสถิติแห่งชาติ,44,คน,2564
ผู้ปฏิบัติงานด้านการประกอบ,51546,สำนักงานสถิติแห่งชาติ,45,คน,2564
ช่างถ่ายภาพ,13419,สำนักงานสถิติแห่งชาติ,46,คน,2564
"ผู้ปฏิบัติงานใต้น้ำ ผู้ปฏิบัติงานด้านวัตถุระเบิดและผู้ปฏิบัติงานจุดระเบิด ผู้คัดคุณภาพและทดสอบผลิตภัณฑ์  
 (ยกเว้นอาหารและเครื่องดื่ม) ผู้รมยาและกำจัดแมลงและสัตว์ศัตรูพืช",25744,สำนักงานสถิติแห่งชาติ,47,คน,2564
รวม,706387,สำนักงานสถิติแห่งชาติ,48,คน,2564
"ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์และวิศวกรรมศาสตร์ (ไม่รวม นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย 
นักออกแบบภาพกราฟฟิกและสื่อผสม)",40690,สำนักงานสถิติแห่งชาติ,49,คน,2565
ผู้ประกอบวิชาชีพด้านสุขภาพ,15638,สำนักงานสถิติแห่งชาติ,50,คน,2565
ผู้ประกอบวิชาชีพด้านเทคโนโลยีสารสนเทศและการสื่อสาร,20261,สำนักงานสถิติแห่งชาติ,51,คน,2565
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านวิทยาศาสตร์และวิศวกรรมศาสตร์,48353,สำนักงานสถิติแห่งชาติ,52,คน,2565
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสุขภาพ (ไม่รวม เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ ผู้ปฏิบัติงานด้านรถพยาบาล),31822,สำนักงานสถิติแห่งชาติ,53,คน,2565
ช่างเทคนิคด้านเทคโนโลยีสารสนเทศและการสื่อสาร,18000,สำนักงานสถิติแห่งชาติ,54,คน,2565
ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรเพื่อการค้าขาย,356661,สำนักงานสถิติแห่งชาติ,55,คน,2565
ผู้ปฏิบัติงานที่มีฝีมือด้านการป่าไม้ ประมง และล่าสัตว์เพื่อการค้าขาย,13984,สำนักงานสถิติแห่งชาติ,56,คน,2565
ช่างก่อสร้างและผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวมช่างไฟฟ้า),18013,สำนักงานสถิติแห่งชาติ,57,คน,2565
ช่างโลหะ เครื่องจักร และผู้ปฏิบัติงานที่เกี่ยวข้อง,25477,สำนักงานสถิติแห่งชาติ,58,คน,2565
ช่างไฟฟ้าและอิเล็กทรอนิกส์,20422,สำนักงานสถิติแห่งชาติ,59,คน,2565
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรชนิดติดตั้งประจำที่,52618,สำนักงานสถิติแห่งชาติ,60,คน,2565
ผู้ปฏิบัติงานด้านการประกอบ,64077,สำนักงานสถิติแห่งชาติ,61,คน,2565
ช่างถ่ายภาพ,12995,สำนักงานสถิติแห่งชาติ,62,คน,2565
"ผู้ปฏิบัติงานใต้น้ำ ผู้ปฏิบัติงานด้านวัตถุระเบิดและผู้ปฏิบัติงานจุดระเบิด ผู้คัดคุณภาพและทดสอบผลิตภัณฑ์ 
(ยกเว้นอาหารและเครื่องดื่ม) ผู้รมยาและกำจัดแมลงและสัตว์ศัตรูพืช",32259,สำนักงานสถิติแห่งชาติ,63,คน,2565
รวม,771270,สำนักงานสถิติแห่งชาติ,64,คน,2565
"ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์และวิศวกรรมศาสตร์ (ไม่รวม นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย 
นักออกแบบภาพกราฟฟิกและสื่อผสม)",37463,สำนักงานสถิติแห่งชาติ,65,คน,2566
ผู้ประกอบวิชาชีพด้านสุขภาพ,21427,สำนักงานสถิติแห่งชาติ,66,คน,2566
ผู้ประกอบวิชาชีพด้านเทคโนโลยีสารสนเทศและการสื่อสาร,27188,สำนักงานสถิติแห่งชาติ,67,คน,2566
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านวิทยาศาสตร์และวิศวกรรมศาสตร์,54261,สำนักงานสถิติแห่งชาติ,68,คน,2566
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสุขภาพ (ไม่รวม เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ ผู้ปฏิบัติงานด้านรถพยาบาล),41174,สำนักงานสถิติแห่งชาติ,69,คน,2566
ช่างเทคนิคด้านเทคโนโลยีสารสนเทศและการสื่อสาร,18409,สำนักงานสถิติแห่งชาติ,70,คน,2566
ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรเพื่อการค้าขาย,359419,สำนักงานสถิติแห่งชาติ,71,คน,2566
ผู้ปฏิบัติงานที่มีฝีมือด้านการป่าไม้ ประมง และล่าสัตว์เพื่อการค้าขาย,14733,สำนักงานสถิติแห่งชาติ,72,คน,2566
ช่างก่อสร้างและผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวมช่างไฟฟ้า),19358,สำนักงานสถิติแห่งชาติ,73,คน,2566
ช่างโลหะ เครื่องจักร และผู้ปฏิบัติงานที่เกี่ยวข้อง,25336,สำนักงานสถิติแห่งชาติ,74,คน,2566
ช่างไฟฟ้าและอิเล็กทรอนิกส์,14740,สำนักงานสถิติแห่งชาติ,75,คน,2566
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรชนิดติดตั้งประจำที่,64322,สำนักงานสถิติแห่งชาติ,76,คน,2566
ผู้ปฏิบัติงานด้านการประกอบ,67587,สำนักงานสถิติแห่งชาติ,77,คน,2566
ช่างถ่ายภาพ,20651,สำนักงานสถิติแห่งชาติ,78,คน,2566
"ผู้ปฏิบัติงานใต้น้ำ ผู้ปฏิบัติงานด้านวัตถุระเบิดและผู้ปฏิบัติงานจุดระเบิด ผู้คัดคุณภาพและทดสอบผลิตภัณฑ์ 
(ยกเว้นอาหารและเครื่องดื่ม) ผู้รมยาและกำจัดแมลงและสัตว์ศัตรูพืช",29860,สำนักงานสถิติแห่งชาติ,79,คน,2566
รวม,815928,สำนักงานสถิติแห่งชาติ,80,คน,2566
"ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์และวิศวกรรมศาสตร์ (ไม่รวม นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย 
นักออกแบบภาพกราฟฟิกและสื่อผสม)",48209,สำนักงานสถิติแห่งชาติ,81,คน,2567
ผู้ประกอบวิชาชีพด้านสุขภาพ,22758,สำนักงานสถิติแห่งชาติ,82,คน,2567
ผู้ประกอบวิชาชีพด้านเทคโนโลยีสารสนเทศและการสื่อสาร,18170,สำนักงานสถิติแห่งชาติ,83,คน,2567
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านวิทยาศาสตร์และวิศวกรรมศาสตร์,71480,สำนักงานสถิติแห่งชาติ,84,คน,2567
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสุขภาพ (ไม่รวม เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ ผู้ปฏิบัติงานด้านรถพยาบาล),36786,สำนักงานสถิติแห่งชาติ,85,คน,2567
ช่างเทคนิคด้านเทคโนโลยีสารสนเทศและการสื่อสาร,21375,สำนักงานสถิติแห่งชาติ,86,คน,2567
ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรเพื่อการค้าขาย,352625,สำนักงานสถิติแห่งชาติ,87,คน,2567
ผู้ปฏิบัติงานที่มีฝีมือด้านการป่าไม้ ประมง และล่าสัตว์เพื่อการค้าขาย,12919,สำนักงานสถิติแห่งชาติ,88,คน,2567
