﻿year,quarter,occupation,_id,region,value,unit,source
2557,ไตรมาสที่ 1,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,1,ภาคตะวันออกเฉียงเหนือ,3876.8,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,2,กรุงเทพมหานคร,668.1,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,3,ภาคเหนือ,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ผู้ประกอบวิชาชีพด้านต่างๆ,4,กรุงเทพมหานคร,605.93,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,พนักงานบริการและพนักงานในร้านค้าและตลาด,5,ภาคเหนือ,1086.77,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,6,ภาคใต้,2072.4,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,7,ภาคกลาง,2039.94,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,8,ภาคตะวันออกเฉียงเหนือ,0.41,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,ผู้ประกอบวิชาชีพด้านต่างๆ,9,ภาคกลาง,634.6,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,เสมียน,10,ภาคตะวันออกเฉียงเหนือ,176.0,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,11,กรุงเทพมหานคร,19.8,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,12,ภาคเหนือ,313.04,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,13,ภาคใต้,1.32,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ผู้ประกอบวิชาชีพด้านต่างๆ,14,ภาคเหนือ,291.44,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 1,เสมียน,15,ภาคใต้,186.51,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,16,ภาคกลาง,1759.79,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 4,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,17,ภาคตะวันออกเฉียงเหนือ,442.79,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,18,กรุงเทพมหานคร,26.7,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ผู้ประกอบวิชาชีพด้านต่างๆ,19,ภาคตะวันออกเฉียงเหนือ,379.8,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,20,ภาคตะวันออกเฉียงเหนือ,179.7,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,เสมียน,21,ภาคตะวันออกเฉียงเหนือ,209.7,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,พนักงานบริการและพนักงานในร้านค้าและตลาด,22,ภาคตะวันออกเฉียงเหนือ,1385.2,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,23,ภาคตะวันออกเฉียงเหนือ,5384.5,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,24,ภาคตะวันออกเฉียงเหนือ,698.2,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,25,ภาคตะวันออกเฉียงเหนือ,390.2,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,26,ภาคตะวันออกเฉียงเหนือ,691.5,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,27,ภาคตะวันออกเฉียงเหนือ,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,28,ภาคใต้,131.4,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ผู้ประกอบวิชาชีพด้านต่างๆ,29,ภาคใต้,215.8,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,30,ภาคใต้,149.7,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,เสมียน,31,ภาคใต้,178.6,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,พนักงานบริการและพนักงานในร้านค้าและตลาด,32,ภาคใต้,1125.6,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,33,ภาคใต้,1975.7,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,34,ภาคใต้,492.3,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,35,ภาคใต้,224.1,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,36,ภาคกลาง,1556.92,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,37,ภาคกลาง,1997.79,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,38,ภาคกลาง,1507.25,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,39,ภาคกลาง,18.94,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,40,ภาคเหนือ,130.78,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ผู้ประกอบวิชาชีพด้านต่างๆ,41,ภาคเหนือ,261.95,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,42,ภาคเหนือ,165.17,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,เสมียน,43,ภาคเหนือ,195.34,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,พนักงานบริการและพนักงานในร้านค้าและตลาด,44,ภาคเหนือ,1094.96,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,45,ภาคเหนือ,2649.32,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,46,ภาคเหนือ,646.18,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,47,ภาคเหนือ,274.11,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,48,ภาคเหนือ,693.0,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,49,ภาคเหนือ,0.0,พันคน,สำนักงานสถิติแห่งชาติ
