VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
2770.55,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,1,ชาย,พันคน,กรุงเทพมหานคร,2563
2517.04,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,2,หญิง,พันคน,กรุงเทพมหานคร,2563
6435.45,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,3,ชาย,พันคน,ภาคกลาง,2563
5452.32,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,4,หญิง,พันคน,ภาคกลาง,2563
3253.02,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,5,ชาย,พันคน,ภาคเหนือ,2563
2784.22,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,6,หญิง,พันคน,ภาคเหนือ,2563
4934.23,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,7,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
4061.91,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,8,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
2870.83,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,9,ชาย,พันคน,ภาคใต้,2563
2344.66,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,10,หญิง,พันคน,ภาคใต้,2563
2741.2,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,11,ชาย,พันคน,กรุงเทพมหานคร,2563
2479.89,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,12,หญิง,พันคน,กรุงเทพมหานคร,2563
6353.76,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,13,ชาย,พันคน,ภาคกลาง,2563
5346.19,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,14,หญิง,พันคน,ภาคกลาง,2563
3202.88,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,15,ชาย,พันคน,ภาคเหนือ,2563
2637.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,16,หญิง,พันคน,ภาคเหนือ,2563
5119.47,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,17,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
4069.92,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,18,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
2842.19,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,19,ชาย,พันคน,ภาคใต้,2563
2287.78,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,20,หญิง,พันคน,ภาคใต้,2563
