﻿year,quarter,_id,area,region,value,unit,source
2555,ไตรมาส 1,1,ในเขตเทศบาล,กรุงเทพมหานคร,28.04,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 1,2,ในเขตเทศบาล,ภาคกลาง,26.98,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 1,3,นอกเขตเทศบาล,ภาคกลาง,36.97,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 1,4,ในเขตเทศบาล,ภาคเหนือ,11.93,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 1,5,นอกเขตเทศบาล,ภาคเหนือ,36.83,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 1,6,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,16.13,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 1,7,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,90.18,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 1,8,ในเขตเทศบาล,ภาคใต้,8.32,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 1,9,นอกเขตเทศบาล,ภาคใต้,23.78,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 2,10,ในเขตเทศบาล,กรุงเทพมหานคร,28.1,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 2,11,ในเขตเทศบาล,ภาคกลาง,31.71,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 2,12,นอกเขตเทศบาล,ภาคกลาง,45.45,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 2,13,ในเขตเทศบาล,ภาคเหนือ,14.37,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 2,14,นอกเขตเทศบาล,ภาคเหนือ,50.63,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 2,15,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,22.8,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 2,16,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,92.4,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 2,17,ในเขตเทศบาล,ภาคใต้,17.8,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 2,18,นอกเขตเทศบาล,ภาคใต้,35.1,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 3,19,ในเขตเทศบาล,กรุงเทพมหานคร,25.7,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 3,20,ในเขตเทศบาล,ภาคกลาง,27.7,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 3,21,นอกเขตเทศบาล,ภาคกลาง,34.6,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 3,22,ในเขตเทศบาล,ภาคเหนือ,11.3,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 3,23,นอกเขตเทศบาล,ภาคเหนือ,30.3,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 3,24,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,14.5,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 3,25,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,47.8,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 3,26,ในเขตเทศบาล,ภาคใต้,12.4,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 3,27,นอกเขตเทศบาล,ภาคใต้,26.5,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 4,28,ในเขตเทศบาล,กรุงเทพมหานคร,17.0,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 4,29,ในเขตเทศบาล,ภาคกลาง,24.38,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 4,30,นอกเขตเทศบาล,ภาคกลาง,34.14,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 4,31,ในเขตเทศบาล,ภาคเหนือ,9.96,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 4,32,นอกเขตเทศบาล,ภาคเหนือ,15.73,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 4,33,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,18.0,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 4,34,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,41.1,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 4,35,ในเขตเทศบาล,ภาคใต้,10.0,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาส 4,36,นอกเขตเทศบาล,ภาคใต้,17.7,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,37,ในเขตเทศบาล,กรุงเทพมหานคร,28.96,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,38,ในเขตเทศบาล,ภาคกลาง,23.67,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,39,นอกเขตเทศบาล,ภาคกลาง,35.17,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,40,ในเขตเทศบาล,ภาคเหนือ,11.36,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,41,นอกเขตเทศบาล,ภาคเหนือ,19.41,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,42,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,18.43,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,43,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,88.66,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,44,ในเขตเทศบาล,ภาคใต้,14.12,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,45,นอกเขตเทศบาล,ภาคใต้,40.67,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,46,ในเขตเทศบาล,กรุงเทพมหานคร,28.2,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,47,ในเขตเทศบาล,ภาคกลาง,31.43,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,48,นอกเขตเทศบาล,ภาคกลาง,47.27,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,49,ในเขตเทศบาล,ภาคเหนือ,9.94,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,50,นอกเขตเทศบาล,ภาคเหนือ,29.64,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,51,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,15.63,พันคน,สำนักงานสถิติแห่งชาติ
