VALUE,QUARTER,SOURCE,_id,SEX,UNIT,YEAR,LAVEL_EDUCATIONAL
85.56,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,1,ชาย,ร้อยละ,2567,อุดมศึกษา สายวิชาการ
89.26,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,2,ชาย,ร้อยละ,2567,อุดมศึกษา สายวิชาชีพ
63.62,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,3,ชาย,ร้อยละ,2567,อุดมศึกษา สายวิชาการศึกษา
97.08,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,4,ชาย,ร้อยละ,2567,อื่น ๆ
85.36,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,5,ชาย,ร้อยละ,2567,ไม่ทราบ
59.72,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,6,หญิง,ร้อยละ,2567,ยอดรวม
39.96,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,7,หญิง,ร้อยละ,2567,ไม่มีการศึกษา
34.94,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,8,หญิง,ร้อยละ,2567,ต่ำกว่าประถมศึกษา
66.64,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,9,หญิง,ร้อยละ,2567,ประถมศึกษา
54.55,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,10,หญิง,ร้อยละ,2567,มัธยมศึกษาตอนต้น
63.97,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,11,หญิง,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายสามัญ
63.86,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,12,หญิง,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
55.48,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,13,หญิง,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
82.59,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,14,หญิง,ร้อยละ,2567,อุดมศึกษา สายวิชาการ
77.99,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,15,หญิง,ร้อยละ,2567,อุดมศึกษา สายวิชาชีพ
68.21,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,16,หญิง,ร้อยละ,2567,อุดมศึกษา สายวิชาการศึกษา
91.51,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,17,หญิง,ร้อยละ,2567,อื่น ๆ
76.15,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,18,หญิง,ร้อยละ,2567,ไม่ทราบ
68.34,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,19,ยอดรวม,ร้อยละ,2567,ยอดรวม
49.59,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,20,ยอดรวม,ร้อยละ,2567,ไม่มีการศึกษา
45.43,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,21,ยอดรวม,ร้อยละ,2567,ต่ำกว่าประถมศึกษา
75.78,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,22,ยอดรวม,ร้อยละ,2567,ประถมศึกษา
65.57,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,23,ยอดรวม,ร้อยละ,2567,มัธยมศึกษาตอนต้น
71.93,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,24,ยอดรวม,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายสามัญ
70.99,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,25,ยอดรวม,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
61.22,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,26,ยอดรวม,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
83.54,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,27,ยอดรวม,ร้อยละ,2567,อุดมศึกษา สายวิชาการ
85.8,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,28,ยอดรวม,ร้อยละ,2567,อุดมศึกษา สายวิชาชีพ
67.43,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,29,ยอดรวม,ร้อยละ,2567,อุดมศึกษา สายวิชาการศึกษา
95.37,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,30,ยอดรวม,ร้อยละ,2567,อื่น ๆ
85.89,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,31,ยอดรวม,ร้อยละ,2567,ไม่ทราบ
76.88,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,32,ชาย,ร้อยละ,2567,ยอดรวม
65.52,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,33,ชาย,ร้อยละ,2567,ไม่มีการศึกษา
58.74,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,34,ชาย,ร้อยละ,2567,ต่ำกว่าประถมศึกษา
83.87,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,35,ชาย,ร้อยละ,2567,ประถมศึกษา
73.15,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,36,ชาย,ร้อยละ,2567,มัธยมศึกษาตอนต้น
80.41,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,37,ชาย,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายสามัญ
75.41,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,38,ชาย,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
81.12,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,39,ชาย,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
85.39,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,40,ชาย,ร้อยละ,2567,อุดมศึกษา สายวิชาการ
90.08,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,41,ชาย,ร้อยละ,2567,อุดมศึกษา สายวิชาชีพ
65.36,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,42,ชาย,ร้อยละ,2567,อุดมศึกษา สายวิชาการศึกษา
96.91,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,43,ชาย,ร้อยละ,2567,อื่น ๆ
89.8,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,44,ชาย,ร้อยละ,2567,ไม่ทราบ
60.58,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,45,หญิง,ร้อยละ,2567,ยอดรวม
40.57,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,46,หญิง,ร้อยละ,2567,ไม่มีการศึกษา
36.63,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,47,หญิง,ร้อยละ,2567,ต่ำกว่าประถมศึกษา
67.2,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,48,หญิง,ร้อยละ,2567,ประถมศึกษา
56.64,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,49,หญิง,ร้อยละ,2567,มัธยมศึกษาตอนต้น
63.88,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,50,หญิง,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายสามัญ
64.87,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,51,หญิง,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
54.77,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,52,หญิง,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
82.29,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,53,หญิง,ร้อยละ,2567,อุดมศึกษา สายวิชาการ
80.18,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,54,หญิง,ร้อยละ,2567,อุดมศึกษา สายวิชาชีพ
68.27,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,55,หญิง,ร้อยละ,2567,อุดมศึกษา สายวิชาการศึกษา
93.76,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,56,หญิง,ร้อยละ,2567,อื่น ๆ
80.62,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,57,หญิง,ร้อยละ,2567,ไม่ทราบ
68.36,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,58,ยอดรวม,ร้อยละ,2567,ยอดรวม
51.28,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,59,ยอดรวม,ร้อยละ,2567,ไม่มีการศึกษา
45.51,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,60,ยอดรวม,ร้อยละ,2567,ต่ำกว่าประถมศึกษา
74.68,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,61,ยอดรวม,ร้อยละ,2567,ประถมศึกษา
65.87,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,62,ยอดรวม,ร้อยละ,2567,มัธยมศึกษาตอนต้น
72.42,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,63,ยอดรวม,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายสามัญ
72.22,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,64,ยอดรวม,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
63.61,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,65,ยอดรวม,ร้อยละ,2567,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
83.58,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,66,ยอดรวม,ร้อยละ,2567,อุดมศึกษา สายวิชาการ
84.91,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,67,ยอดรวม,ร้อยละ,2567,อุดมศึกษา สายวิชาชีพ
65.89,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,68,ยอดรวม,ร้อยละ,2567,อุดมศึกษา สายวิชาการศึกษา
94.53,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,69,ยอดรวม,ร้อยละ,2567,อื่น ๆ
84.88,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,70,ยอดรวม,ร้อยละ,2567,ไม่ทราบ
77.15,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,71,ชาย,ร้อยละ,2567,ยอดรวม
66.08,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,72,ชาย,ร้อยละ,2567,ไม่มีการศึกษา
58.95,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,73,ชาย,ร้อยละ,2567,ต่ำกว่าประถมศึกษา
83.32,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,74,ชาย,ร้อยละ,2567,ประถมศึกษา
73.78,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,75,ชาย,ร้อยละ,2567,มัธยมศึกษาตอนต้น
