AGE_GROUP,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
50-59 ปี,75.78,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,1,หญิง,ร้อยละ,ภาคเหนือ,2567
60 ปีขึ้นไป,32.18,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,2,หญิง,ร้อยละ,ภาคเหนือ,2567
ยอดรวม,63.9,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,3,ยอดรวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2567
15-19 ปี,8.71,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,4,ยอดรวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2567
20-24 ปี,61.83,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,5,ยอดรวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2567
25-29 ปี,84.53,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,6,ยอดรวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2567
30-34 ปี,87.57,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,7,ยอดรวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2567
35-39 ปี,87.24,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,8,ยอดรวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2567
40-49 ปี,88.79,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,9,ยอดรวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2567
50-59 ปี,84.63,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,10,ยอดรวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2567
60 ปีขึ้นไป,40.31,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,11,ยอดรวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2567
ยอดรวม,73.07,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,12,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2567
15-19 ปี,13.61,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,13,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2567
20-24 ปี,69.59,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,14,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2567
25-29 ปี,92.82,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,15,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2567
