﻿year,sex,quarter,_id,area,region,value,unit,age_group,source
2556,รวม,ไตรมาส 1,1,รวม,ทั่วประเทศ,71.4,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2556,รวม,ไตรมาส 3,2,นอกเขตเทศบาล,ภาคใต้,74.2,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,รวม,ไตรมาส 2,3,ในเขตเทศบาล,ภาคใต้,69.5,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,รวม,ไตรมาส 1,4,รวม,ภาคใต้,71.7,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,รวม,ไตรมาส 4,5,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,68.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2559,รวม,ไตรมาส 3,6,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,68.3,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2560,รวม,ไตรมาส 2,7,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,65.4,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,8,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,64.2,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 4,9,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,65.7,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2562,รวม,ไตรมาส 3,10,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,64.7,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2563,รวม,ไตรมาส 2,11,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,64.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2556,รวม,ไตรมาส 2,12,รวม,ภาคตะวันออกเฉียงเหนือ,23.7,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2557,รวม,ไตรมาส 1,13,รวม,ภาคเหนือ,21.3,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2557,รวม,ไตรมาส 4,14,รวม,ภาคกลาง,20.3,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2558,รวม,ไตรมาส 3,15,ในเขตเทศบาล,ทั่วประเทศ,16.9,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2559,รวม,ไตรมาส 1,16,ในเขตเทศบาล,ภาคใต้,24.6,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2559,รวม,ไตรมาส 4,17,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,12.7,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2560,รวม,ไตรมาส 3,18,ในเขตเทศบาล,ภาคเหนือ,14.5,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 2,19,ในเขตเทศบาล,ภาคกลาง,15.2,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2562,รวม,ไตรมาส 1,20,นอกเขตเทศบาล,ทั่วประเทศ,18.6,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2562,รวม,ไตรมาส 3,21,นอกเขตเทศบาล,ภาคใต้,20.0,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2563,รวม,ไตรมาส 2,22,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,17.7,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,รวม,ไตรมาส 2,23,นอกเขตเทศบาล,ภาคเหนือ,68.1,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2557,รวม,ไตรมาส 1,24,นอกเขตเทศบาล,ภาคกลาง,69.2,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2557,รวม,ไตรมาส 4,25,ในเขตเทศบาล,กรุงเทพมหานคร,57.9,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2558,รวม,ไตรมาส 3,26,รวม,ทั่วประเทศ,65.6,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2559,รวม,ไตรมาส 1,27,รวม,ภาคใต้,68.4,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2559,รวม,ไตรมาส 4,28,รวม,ภาคตะวันออกเฉียงเหนือ,61.5,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2560,รวม,ไตรมาส 3,29,รวม,ภาคเหนือ,61.8,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 2,30,รวม,ภาคกลาง,66.1,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2562,รวม,ไตรมาส 1,31,ในเขตเทศบาล,ทั่วประเทศ,57.5,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2562,รวม,ไตรมาส 3,32,ในเขตเทศบาล,ภาคใต้,63.7,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2563,รวม,ไตรมาส 2,33,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,51.6,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,รวม,ไตรมาส 2,34,ในเขตเทศบาล,ภาคเหนือ,87.6,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2557,รวม,ไตรมาส 1,35,ในเขตเทศบาล,ภาคกลาง,89.9,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2557,รวม,ไตรมาส 4,36,นอกเขตเทศบาล,ทั่วประเทศ,85.5,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2558,รวม,ไตรมาส 2,37,นอกเขตเทศบาล,ภาคใต้,83.9,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2559,รวม,ไตรมาส 1,38,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,84.2,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2559,รวม,ไตรมาส 4,39,นอกเขตเทศบาล,ภาคเหนือ,87.9,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2560,รวม,ไตรมาส 3,40,นอกเขตเทศบาล,ภาคกลาง,87.6,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 2,41,ในเขตเทศบาล,กรุงเทพมหานคร,90.7,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2562,รวม,ไตรมาส 1,42,รวม,ทั่วประเทศ,87.2,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2562,รวม,ไตรมาส 3,43,รวม,ภาคใต้,81.9,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2563,รวม,ไตรมาส 2,44,รวม,ภาคตะวันออกเฉียงเหนือ,80.2,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,รวม,ไตรมาส 2,45,รวม,ภาคเหนือ,88.9,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2557,รวม,ไตรมาส 1,46,รวม,ภาคกลาง,90.9,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2557,รวม,ไตรมาส 4,47,ในเขตเทศบาล,ทั่วประเทศ,90.5,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2558,รวม,ไตรมาส 2,48,ในเขตเทศบาล,ภาคใต้,88.6,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2559,รวม,ไตรมาส 1,49,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,88.2,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2559,รวม,ไตรมาส 4,50,ในเขตเทศบาล,ภาคเหนือ,88.7,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2560,รวม,ไตรมาส 3,51,ในเขตเทศบาล,ภาคกลาง,87.9,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 2,52,นอกเขตเทศบาล,ทั่วประเทศ,86.7,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 4,53,นอกเขตเทศบาล,ภาคใต้,84.6,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2562,รวม,ไตรมาส 3,54,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,86.2,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2563,รวม,ไตรมาส 2,55,นอกเขตเทศบาล,ภาคเหนือ,85.2,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,รวม,ไตรมาส 2,56,นอกเขตเทศบาล,ภาคกลาง,92.0,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2557,รวม,ไตรมาส 1,57,ในเขตเทศบาล,กรุงเทพมหานคร,90.3,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2557,รวม,ไตรมาส 4,58,รวม,ทั่วประเทศ,90.5,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2558,รวม,ไตรมาส 2,59,รวม,ภาคใต้,89.1,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2559,รวม,ไตรมาส 1,60,รวม,ภาคตะวันออกเฉียงเหนือ,86.2,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2559,รวม,ไตรมาส 4,61,รวม,ภาคเหนือ,90.4,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2560,รวม,ไตรมาส 3,62,รวม,ภาคกลาง,89.5,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 2,63,ในเขตเทศบาล,ทั่วประเทศ,89.5,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 4,64,ในเขตเทศบาล,ภาคใต้,87.9,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2562,รวม,ไตรมาส 3,65,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,87.6,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2563,รวม,ไตรมาส 2,66,ในเขตเทศบาล,ภาคเหนือ,87.1,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,รวม,ไตรมาส 2,67,ในเขตเทศบาล,ภาคกลาง,88.8,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2557,รวม,ไตรมาส 1,68,นอกเขตเทศบาล,ทั่วประเทศ,89.2,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
