﻿year,sex,quarter,_id,area,region,value,unit,age_group,source
2561,รวม,ไตรมาส 1,1,รวม,ทั่วประเทศ,66.53,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,2,รวม,ทั่วประเทศ,16.46,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,3,รวม,ทั่วประเทศ,59.31,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,4,รวม,ทั่วประเทศ,83.83,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,5,รวม,ทั่วประเทศ,87.02,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,6,รวม,ทั่วประเทศ,87.69,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,7,รวม,ทั่วประเทศ,86.91,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,8,รวม,ทั่วประเทศ,78.86,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,9,รวม,ทั่วประเทศ,35.25,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,10,รวม,ทั่วประเทศ,75.19,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,11,รวม,ทั่วประเทศ,22.43,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,12,รวม,ทั่วประเทศ,68.19,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,13,รวม,ทั่วประเทศ,90.54,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,14,รวม,ทั่วประเทศ,93.67,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,15,รวม,ทั่วประเทศ,93.85,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,16,รวม,ทั่วประเทศ,94.27,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,17,รวม,ทั่วประเทศ,89.66,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,18,รวม,ทั่วประเทศ,45.5,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,19,รวม,ทั่วประเทศ,58.44,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,20,รวม,ทั่วประเทศ,10.31,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,21,รวม,ทั่วประเทศ,50.27,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,22,รวม,ทั่วประเทศ,77.01,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,23,รวม,ทั่วประเทศ,80.36,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,24,รวม,ทั่วประเทศ,81.71,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,25,รวม,ทั่วประเทศ,79.99,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,26,รวม,ทั่วประเทศ,69.07,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,27,รวม,ทั่วประเทศ,26.9,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,28,ในเขตเทศบาล,ทั่วประเทศ,66.69,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,29,ในเขตเทศบาล,ทั่วประเทศ,13.79,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,30,ในเขตเทศบาล,ทั่วประเทศ,52.92,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,31,ในเขตเทศบาล,ทั่วประเทศ,85.85,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,32,ในเขตเทศบาล,ทั่วประเทศ,88.52,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,33,ในเขตเทศบาล,ทั่วประเทศ,87.6,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,34,ในเขตเทศบาล,ทั่วประเทศ,87.01,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,35,ในเขตเทศบาล,ทั่วประเทศ,77.47,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,36,ในเขตเทศบาล,ทั่วประเทศ,30.59,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,37,ในเขตเทศบาล,ทั่วประเทศ,74.33,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,38,ในเขตเทศบาล,ทั่วประเทศ,17.52,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,39,ในเขตเทศบาล,ทั่วประเทศ,59.44,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,40,ในเขตเทศบาล,ทั่วประเทศ,89.91,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,41,ในเขตเทศบาล,ทั่วประเทศ,93.92,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,42,ในเขตเทศบาล,ทั่วประเทศ,94.6,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,43,ในเขตเทศบาล,ทั่วประเทศ,94.7,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,44,ในเขตเทศบาล,ทั่วประเทศ,88.13,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,45,ในเขตเทศบาล,ทั่วประเทศ,38.53,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,46,ในเขตเทศบาล,ทั่วประเทศ,59.69,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,47,ในเขตเทศบาล,ทั่วประเทศ,10.08,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,48,ในเขตเทศบาล,ทั่วประเทศ,46.5,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,49,ในเขตเทศบาล,ทั่วประเทศ,81.89,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,50,ในเขตเทศบาล,ทั่วประเทศ,83.33,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,51,ในเขตเทศบาล,ทั่วประเทศ,80.92,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,52,ในเขตเทศบาล,ทั่วประเทศ,79.82,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,53,ในเขตเทศบาล,ทั่วประเทศ,67.94,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,54,ในเขตเทศบาล,ทั่วประเทศ,24.28,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,55,นอกเขตเทศบาล,ทั่วประเทศ,66.39,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,56,นอกเขตเทศบาล,ทั่วประเทศ,18.3,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,57,นอกเขตเทศบาล,ทั่วประเทศ,64.44,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,58,นอกเขตเทศบาล,ทั่วประเทศ,81.77,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,59,นอกเขตเทศบาล,ทั่วประเทศ,85.43,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
