﻿year,sex,quarter,_id,region,value,unit,age_group,source
2567,2. หญิง,ไตรมาส 1,1,2) ภาคกลาง,2.79,ร้อยละ,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,2,2) ภาคกลาง,2.5,ร้อยละ,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,3,2) ภาคกลาง,1.5,ร้อยละ,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,4,2) ภาคกลาง,1.92,ร้อยละ,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,5,2) ภาคกลาง,3.91,ร้อยละ,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,6,3) ภาคเหนือ,0.79,ร้อยละ,Total,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,7,3) ภาคเหนือ,53.98,ร้อยละ,1. 15-19 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,8,3) ภาคเหนือ,9.82,ร้อยละ,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,9,3) ภาคเหนือ,7.3,ร้อยละ,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,10,3) ภาคเหนือ,6.11,ร้อยละ,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,11,3) ภาคเหนือ,8.09,ร้อยละ,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,12,3) ภาคเหนือ,3.47,ร้อยละ,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,13,3) ภาคเหนือ,3.43,ร้อยละ,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
