VALUE,SOURCE,_id,SEX,UNIT,YEAR
1.78,สำนักงานสถิติแห่งชาติ,1,รวม,ร้อยละ,2563
1.83,สำนักงานสถิติแห่งชาติ,2,ชาย,ร้อยละ,2563
1.73,สำนักงานสถิติแห่งชาติ,3,หญิง,ร้อยละ,2563
2.05,สำนักงานสถิติแห่งชาติ,4,รวม,ร้อยละ,2564
2.06,สำนักงานสถิติแห่งชาติ,5,ชาย,ร้อยละ,2564
2.03,สำนักงานสถิติแห่งชาติ,6,หญิง,ร้อยละ,2564
1.4,สำนักงานสถิติแห่งชาติ,7,รวม,ร้อยละ,2565
1.33,สำนักงานสถิติแห่งชาติ,8,ชาย,ร้อยละ,2565
1.48,สำนักงานสถิติแห่งชาติ,9,หญิง,ร้อยละ,2565
1.04,สำนักงานสถิติแห่งชาติ,10,รวม,ร้อยละ,2566
0.98,สำนักงานสถิติแห่งชาติ,11,ชาย,ร้อยละ,2566
1.1,สำนักงานสถิติแห่งชาติ,12,หญิง,ร้อยละ,2566
1.06,สำนักงานสถิติแห่งชาติ,13,รวม,ร้อยละ,2567
1.04,สำนักงานสถิติแห่งชาติ,14,ชาย,ร้อยละ,2567
1.04,สำนักงานสถิติแห่งชาติ,15,รวม,ร้อยละ,2566
1.08,สำนักงานสถิติแห่งชาติ,16,หญิง,ร้อยละ,2567
0.87,สำนักงานสถิติแห่งชาติ,17,รวม,ร้อยละ,2568
0.83,สำนักงานสถิติแห่งชาติ,18,ชาย,ร้อยละ,2568
0.92,สำนักงานสถิติแห่งชาติ,19,หญิง,ร้อยละ,2568
