quarter,_id,year,value,unit,source
ไตรมาส 1,1,2561,42.0,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 2,2,2561,43.2,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 3,3,2561,43.3,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 4,4,2561,43.5,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 1,5,2562,41.3,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 2,6,2562,43.1,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 3,7,2562,43.5,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 4,8,2562,43.1,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 1,9,2563,40.8,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 2,10,2563,38.2,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 3,11,2563,41.6,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 4,12,2563,42.5,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 1,13,2564,40.1,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 2,14,2564,41.6,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 3,15,2564,40.2,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 4,16,2564,41.7,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 1,17,2565,40.8,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 2,18,2565,42.3,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 3,19,2565,43.1,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 4,20,2565,42.6,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 1,21,2566,41.4,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 2,22,2566,42.7,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 3,23,2566,42.4,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 4,24,2566,42.6,ชั่วโมง/สัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 1,25,2567,42.4,ชั่วโมงต่อสัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 2,26,2567,44.0,ชั่วโมงต่อสัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 3,27,2567,44.9,ชั่วโมงต่อสัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 4,28,2567,44.7,ชั่วโมงต่อสัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 1,29,2568,42.3,ชั่วโมงต่อสัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 2,30,2568,44.1,ชั่วโมงต่อสัปดาห์,สำนักงานสถิติแห่งชาติ
ไตรมาส 3,31,2568,44.8,ชั่วโมงต่อสัปดาห์,สำนักงานสถิติแห่งชาติ
