ชั่วโมงการทำงาน,ADM0_PCODE,ADM0_EN,_id,REGION4,ปี,ผู้มีงานทำ,เพศ,ไตรมาส,ADM0_TH,ADM1_TH
 1 - 9 ชั่วโมง,TH,Thailand,1,ภาคตะวันออกเฉียงเหนือ,2566,1275.1,       ชาย                         ,1,ประเทศไทย,นครราชสีมา
 1 - 9 ชั่วโมง,TH,Thailand,2,ภาคตะวันออกเฉียงเหนือ,2566,1710.87,       ชาย                         ,1,ประเทศไทย,บุรีรัมย์
 1 - 9 ชั่วโมง,TH,Thailand,3,ภาคตะวันออกเฉียงเหนือ,2566,752.21,       ชาย                         ,1,ประเทศไทย,สุรินทร์
 1 - 9 ชั่วโมง,TH,Thailand,4,ภาคตะวันออกเฉียงเหนือ,2566,1879.97,       ชาย                         ,1,ประเทศไทย,ศรีสะเกษ
 1 - 9 ชั่วโมง,TH,Thailand,5,ภาคตะวันออกเฉียงเหนือ,2566,0,       ชาย                         ,1,ประเทศไทย,อุบลราชธานี
 1 - 9 ชั่วโมง,TH,Thailand,6,ภาคตะวันออกเฉียงเหนือ,2566,0,       ชาย                         ,1,ประเทศไทย,ยโสธร
 1 - 9 ชั่วโมง,TH,Thailand,7,ภาคตะวันออกเฉียงเหนือ,2566,89.1,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ
 1 - 9 ชั่วโมง,TH,Thailand,8,ภาคตะวันออกเฉียงเหนือ,2566,0,       ชาย                         ,1,ประเทศไทย,อำนาจเจริญ
 1 - 9 ชั่วโมง,TH,Thailand,9,ภาคตะวันออกเฉียงเหนือ,2566,158.05,       ชาย                         ,1,ประเทศไทย,บึงกาฬ
 1 - 9 ชั่วโมง,TH,Thailand,10,ภาคตะวันออกเฉียงเหนือ,2566,0,       ชาย                         ,1,ประเทศไทย,หนองบัวลำภู
 1 - 9 ชั่วโมง,TH,Thailand,11,ภาคตะวันออกเฉียงเหนือ,2566,447.43,       ชาย                         ,1,ประเทศไทย,ขอนแก่น
 1 - 9 ชั่วโมง,TH,Thailand,12,ภาคตะวันออกเฉียงเหนือ,2566,0,       ชาย                         ,1,ประเทศไทย,อุดรธานี
 1 - 9 ชั่วโมง,TH,Thailand,13,ภาคตะวันออกเฉียงเหนือ,2566,1163.45,       ชาย                         ,1,ประเทศไทย,เลย
 1 - 9 ชั่วโมง,TH,Thailand,14,ภาคตะวันออกเฉียงเหนือ,2566,0,       ชาย                         ,1,ประเทศไทย,หนองคาย
 1 - 9 ชั่วโมง,TH,Thailand,15,ภาคตะวันออกเฉียงเหนือ,2566,0,       ชาย                         ,1,ประเทศไทย,มหาสารคาม
 1 - 9 ชั่วโมง,TH,Thailand,16,ภาคตะวันออกเฉียงเหนือ,2566,395.48,       ชาย                         ,1,ประเทศไทย,ร้อยเอ็ด
 1 - 9 ชั่วโมง,TH,Thailand,17,ภาคตะวันออกเฉียงเหนือ,2566,0,       ชาย                         ,1,ประเทศไทย,กาฬสินธุ์
 1 - 9 ชั่วโมง,TH,Thailand,18,ภาคตะวันออกเฉียงเหนือ,2566,0,       ชาย                         ,1,ประเทศไทย,สกลนคร
 1 - 9 ชั่วโมง,TH,Thailand,19,ภาคตะวันออกเฉียงเหนือ,2566,697.87,       ชาย                         ,1,ประเทศไทย,นครพนม
 1 - 9 ชั่วโมง,TH,Thailand,20,ภาคตะวันออกเฉียงเหนือ,2566,0,       ชาย                         ,1,ประเทศไทย,มุกดาหาร
 1 - 9 ชั่วโมง,TH,Thailand,21,ภาคตะวันออกเฉียงเหนือ,2566,982.16,       หญิง                        ,1,ประเทศไทย,นครราชสีมา
 1 - 9 ชั่วโมง,TH,Thailand,22,ภาคตะวันออกเฉียงเหนือ,2566,1796.6,       หญิง                        ,1,ประเทศไทย,บุรีรัมย์
 1 - 9 ชั่วโมง,TH,Thailand,23,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,สุรินทร์
 1 - 9 ชั่วโมง,TH,Thailand,24,ภาคตะวันออกเฉียงเหนือ,2566,2535.36,       หญิง                        ,1,ประเทศไทย,ศรีสะเกษ
 1 - 9 ชั่วโมง,TH,Thailand,25,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,อุบลราชธานี
