เดือน,จำนวน,ที่มา,_id,ปี,ลำดับ,หน่วย
มกราคม,"2,686",สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1,แห่ง
กุมภาพันธ์,"2,692",สำนักงานประกันสังคมจังหวัดลพบุรี,2,2565,2,แห่ง
มีนาคม,"2,695",สำนักงานประกันสังคมจังหวัดลพบุรี,3,2565,3,แห่ง
เมษายน,"2,694",สำนักงานประกันสังคมจังหวัดลพบุรี,4,2565,4,แห่ง
พฤษภาคม,"2,698",สำนักงานประกันสังคมจังหวัดลพบุรี,5,2565,5,แห่ง
มิถุนายน,"2,691",สำนักงานประกันสังคมจังหวัดลพบุรี,6,2565,6,แห่ง
กรกฎาคม,"2,692",สำนักงานประกันสังคมจังหวัดลพบุรี,7,2565,7,แห่ง
สิงหาคม,"2,700",สำนักงานประกันสังคมจังหวัดลพบุรี,8,2565,8,แห่ง
กันยายน,"2,704",สำนักงานประกันสังคมจังหวัดลพบุรี,9,2565,9,แห่ง
ตุลาคม,"2,700",สำนักงานประกันสังคมจังหวัดลพบุรี,10,2565,10,แห่ง
พฤศจิกายน,"2,703",สำนักงานประกันสังคมจังหวัดลพบุรี,11,2565,11,แห่ง
ธันวาคม,"2,705",สำนักงานประกันสังคมจังหวัดลพบุรี,12,2565,12,แห่ง
มกราคม,"2,703",สำนักงานประกันสังคมจังหวัดลพบุรี,13,2566,13,แห่ง
กุมภาพันธ์,"2,714",สำนักงานประกันสังคมจังหวัดลพบุรี,14,2566,14,แห่ง
มีนาคม,"2,712",สำนักงานประกันสังคมจังหวัดลพบุรี,15,2566,15,แห่ง
เมษายน,"2,720",สำนักงานประกันสังคมจังหวัดลพบุรี,16,2566,16,แห่ง
พฤษภาคม,"2,725",สำนักงานประกันสังคมจังหวัดลพบุรี,17,2566,17,แห่ง
มิถุนายน,"2,726",สำนักงานประกันสังคมจังหวัดลพบุรี,18,2566,18,แห่ง
กรกฎาคม,"2,761",สำนักงานประกันสังคมจังหวัดลพบุรี,19,2566,19,แห่ง
สิงหาคม,"2,767",สำนักงานประกันสังคมจังหวัดลพบุรี,20,2566,20,แห่ง
กันยายน,"2,771",สำนักงานประกันสังคมจังหวัดลพบุรี,21,2566,21,แห่ง
ตุลาคม,"2,784",สำนักงานประกันสังคมจังหวัดลพบุรี,22,2566,22,แห่ง
พฤศจิกายน,"2,785",สำนักงานประกันสังคมจังหวัดลพบุรี,23,2566,23,แห่ง
ธันวาคม,"2,783",สำนักงานประกันสังคมจังหวัดลพบุรี,24,2566,24,แห่ง
มกราคม,"2,782",สำนักงานประกันสังคมจังหวัดลพบุรี,25,2567,25,แห่ง
กุมภาพันธ์,"2,781",สำนักงานประกันสังคมจังหวัดลพบุรี,26,2567,26,แห่ง
มีนาคม,"2,783",สำนักงานประกันสังคมจังหวัดลพบุรี,27,2567,27,แห่ง
เมษายน,"2,782",สำนักงานประกันสังคมจังหวัดลพบุรี,28,2567,28,แห่ง
พฤษภาคม,"2,791",สำนักงานประกันสังคมจังหวัดลพบุรี,29,2567,29,แห่ง
มิถุนายน,"2,799",สำนักงานประกันสังคมจังหวัดลพบุรี,30,2567,30,แห่ง
กรกฎาคม,"2,800",สำนักงานประกันสังคมจังหวัดลพบุรี,31,2567,31,แห่ง
สิงหาคม,"2,804",สำนักงานประกันสังคมจังหวัดลพบุรี,32,2567,32,แห่ง
กันยายน,"2,791",สำนักงานประกันสังคมจังหวัดลพบุรี,33,2567,33,แห่ง
ตุลาคม,"2,799",สำนักงานประกันสังคมจังหวัดลพบุรี,34,2567,34,แห่ง
พฤศจิกายน,"2,799",สำนักงานประกันสังคมจังหวัดลพบุรี,35,2567,35,แห่ง
ธันวาคม,"2,795",สำนักงานประกันสังคมจังหวัดลพบุรี,36,2567,36,แห่ง
มกราคม,"2,791",สำนักงานประกันสังคมจังหวัดลพบุรี,37,2568,37,แห่ง
กุมภาพันธ์,"2,791",สำนักงานประกันสังคมจังหวัดลพบุรี,38,2568,38,แห่ง
มีนาคม,"2,790",สำนักงานประกันสังคมจังหวัดลพบุรี,39,2568,39,แห่ง
เมษายน,"2,791",สำนักงานประกันสังคมจังหวัดลพบุรี,40,2568,40,แห่ง
พฤษภาคม,"2,793",สำนักงานประกันสังคมจังหวัดลพบุรี,41,2568,41,แห่ง
มิถุนายน,"2,797",สำนักงานประกันสังคมจังหวัดลพบุรี,42,2568,42,แห่ง
กรกฎาคม,"2,790",สำนักงานประกันสังคมจังหวัดลพบุรี,43,2568,43,แห่ง
สิงหาคม,"2,790",สำนักงานประกันสังคมจังหวัดลพบุรี,44,2568,44,แห่ง
กันยายน,"2,788",สำนักงานประกันสังคมจังหวัดลพบุรี,45,2568,45,แห่ง
ตุลาคม,"2,799",สำนักงานประกันสังคมจังหวัดลพบุรี,46,2568,46,แห่ง
พฤศจิกายน,"2,803",สำนักงานประกันสังคมจังหวัดลพบุรี,47,2568,47,แห่ง
ธันวาคม,"2,804",สำนักงานประกันสังคมจังหวัดลพบุรี,48,2568,48,แห่ง
