เดือน,ที่มา,_id,ปี,ลำดับ,ผู้ประกันตน,หน่วย
มกราคม,สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1,"14,182",ราย
กุมภาพันธ์,สำนักงานประกันสังคมจังหวัดลพบุรี,2,2565,2,"14,179",ราย
มีนาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,3,2565,3,"14,084",ราย
เมษายน,สำนักงานประกันสังคมจังหวัดลพบุรี,4,2565,4,"13,939",ราย
พฤษภาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,5,2565,5,"13,939",ราย
มิถุนายน,สำนักงานประกันสังคมจังหวัดลพบุรี,6,2565,6,"13,959",ราย
กรกฎาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,7,2565,7,"13,959",ราย
สิงหาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,8,2565,8,"13,908",ราย
กันยายน,สำนักงานประกันสังคมจังหวัดลพบุรี,9,2565,9,"13,814",ราย
ตุลาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,10,2565,10,"13,738",ราย
พฤศจิกายน,สำนักงานประกันสังคมจังหวัดลพบุรี,11,2565,11,"13,664",ราย
ธันวาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,12,2565,12,"13,511",ราย
มกราคม,สำนักงานประกันสังคมจังหวัดลพบุรี,13,2566,13,"13,541",ราย
กุมภาพันธ์,สำนักงานประกันสังคมจังหวัดลพบุรี,14,2566,14,"13,492",ราย
มีนาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,15,2566,15,"13,435",ราย
เมษายน,สำนักงานประกันสังคมจังหวัดลพบุรี,16,2566,16,"13,258",ราย
พฤษภาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,17,2566,17,"13,235",ราย
มิถุนายน,สำนักงานประกันสังคมจังหวัดลพบุรี,18,2566,18,"13,153",ราย
กรกฎาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,19,2566,19,"13,065",ราย
สิงหาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,20,2566,20,"12,944",ราย
กันยายน,สำนักงานประกันสังคมจังหวัดลพบุรี,21,2566,21,"12,853",ราย
ตุลาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,22,2566,22,"12,733",ราย
พฤศจิกายน,สำนักงานประกันสังคมจังหวัดลพบุรี,23,2566,23,"12,568",ราย
ธันวาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,24,2566,24,"12,474",ราย
มกราคม,สำนักงานประกันสังคมจังหวัดลพบุรี,25,2567,25,"12,351",ราย
กุมภาพันธ์,สำนักงานประกันสังคมจังหวัดลพบุรี,26,2567,26,"12,249",ราย
มีนาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,27,2567,27,"12,161",ราย
เมษายน,สำนักงานประกันสังคมจังหวัดลพบุรี,28,2567,28,"12,051",ราย
พฤษภาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,29,2567,29,"11,890",ราย
มิถุนายน,สำนักงานประกันสังคมจังหวัดลพบุรี,30,2567,30,"11,734",ราย
กรกฎาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,31,2567,31,"11,734",ราย
สิงหาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,32,2567,32,"11,487",ราย
กันยายน,สำนักงานประกันสังคมจังหวัดลพบุรี,33,2567,33,"11,407",ราย
ตุลาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,34,2567,34,"11,469",ราย
พฤศจิกายน,สำนักงานประกันสังคมจังหวัดลพบุรี,35,2567,35,"11,268",ราย
ธันวาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,36,2567,36,"11,209",ราย
มกราคม,สำนักงานประกันสังคมจังหวัดลพบุรี,37,2568,37,"11,162",ราย
กุมภาพันธ์,สำนักงานประกันสังคมจังหวัดลพบุรี,38,2568,38,"11,067",ราย
มีนาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,39,2568,39,"10,982",ราย
เมษายน,สำนักงานประกันสังคมจังหวัดลพบุรี,40,2568,40,"10,847",ราย
พฤษภาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,41,2568,41,"10,754",ราย
มิถุนายน,สำนักงานประกันสังคมจังหวัดลพบุรี,42,2568,42,"10,690",ราย
กรกฎาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,43,2568,43,"10,650",ราย
สิงหาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,44,2568,44,"10,592",ราย
กันยายน,สำนักงานประกันสังคมจังหวัดลพบุรี,45,2568,45,"10,538",ราย
ตุลาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,46,2568,46,"10,511",ราย
พฤศจิกายน,สำนักงานประกันสังคมจังหวัดลพบุรี,47,2568,47,"10,513",ราย
ธันวาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,48,2568,48,"10,569",ราย
