จำนวน,_id,ปี,ระดับการศึกษา,เพศ,ไตรมาส,หน่วย
3059,1,2563,ไม่มีการศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
35255,2,2563,ต่ำกว่าประถมศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
48481,3,2563,ประถมศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
61299,4,2563,มัธยมศึกษาตอนต้น,       ชาย                         , ไตรมาสที่ 1 ,คน
34858,5,2563,มัธยมศึกษาตอนปลาย สายสามัญ,       ชาย                         , ไตรมาสที่ 1 ,คน
16256,6,2563,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
406,7,2563,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
24458,8,2563,อุดมศึกษาสายวิชาการ,       ชาย                         , ไตรมาสที่ 1 ,คน
20785,9,2563,อุดมศึกษาสายวิชาชีพ,       ชาย                         , ไตรมาสที่ 1 ,คน
1594,10,2563,อุดมศึกษาสายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
-,11,2563,อื่น ๆ,       ชาย                         , ไตรมาสที่ 1 ,คน
2026,12,2563,ไม่ทราบ,       ชาย                         , ไตรมาสที่ 1 ,คน
8149,13,2563,ไม่มีการศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
29334,14,2563,ต่ำกว่าประถมศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
42138,15,2563,ประถมศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
38755,16,2563,มัธยมศึกษาตอนต้น,       หญิง                        , ไตรมาสที่ 1 ,คน
29561,17,2563,มัธยมศึกษาตอนปลาย สายสามัญ,       หญิง                        , ไตรมาสที่ 1 ,คน
4828,18,2563,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
,19,2563,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
31727,20,2563,อุดมศึกษาสายวิชาการ,       หญิง                        , ไตรมาสที่ 1 ,คน
8909,21,2563,อุดมศึกษาสายวิชาชีพ,       หญิง                        , ไตรมาสที่ 1 ,คน
2778,22,2563,อุดมศึกษาสายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
-,23,2563,อื่น ๆ,       หญิง                        , ไตรมาสที่ 1 ,คน
2223,24,2563,ไม่ทราบ,       หญิง                        , ไตรมาสที่ 1 ,คน
1356,25,2563,ไม่มีการศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
29898,26,2563,ต่ำกว่าประถมศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
54625,27,2563,ประถมศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
60100,28,2563,มัธยมศึกษาตอนต้น,       ชาย                         , ไตรมาสที่ 2,คน
41980,29,2563,มัธยมศึกษาตอนปลาย สายสามัญ,       ชาย                         , ไตรมาสที่ 2,คน
14708,30,2563,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
,31,2563,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
19272,32,2563,อุดมศึกษาสายวิชาการ,       ชาย                         , ไตรมาสที่ 2,คน
21869,33,2563,อุดมศึกษาสายวิชาชีพ,       ชาย                         , ไตรมาสที่ 2,คน
1690,34,2563,อุดมศึกษาสายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
-,35,2563,อื่น ๆ,       ชาย                         , ไตรมาสที่ 2,คน
144,36,2563,ไม่ทราบ,       ชาย                         , ไตรมาสที่ 2,คน
4563,37,2563,ไม่มีการศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
23717,38,2563,ต่ำกว่าประถมศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
48393,39,2563,ประถมศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
31333,40,2563,มัธยมศึกษาตอนต้น,       หญิง                        , ไตรมาสที่ 2,คน
28425,41,2563,มัธยมศึกษาตอนปลาย สายสามัญ,       หญิง                        , ไตรมาสที่ 2,คน
7020,42,2563,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
617,43,2563,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
27293,44,2563,อุดมศึกษาสายวิชาการ,       หญิง                        , ไตรมาสที่ 2,คน
15319,45,2563,อุดมศึกษาสายวิชาชีพ,       หญิง                        , ไตรมาสที่ 2,คน
5424,46,2563,อุดมศึกษาสายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
-,47,2563,อื่น ๆ,       หญิง                        , ไตรมาสที่ 2,คน
676,48,2563,ไม่ทราบ,       หญิง                        , ไตรมาสที่ 2,คน
2509,49,2563,ไม่มีการศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
27168,50,2563,ต่ำกว่าประถมศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
65802,51,2563,ประถมศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
67343,52,2563,มัธยมศึกษาตอนต้น,       ชาย                         , ไตรมาสที่ 3,คน
37516,53,2563,มัธยมศึกษาตอนปลาย สายสามัญ,       ชาย                         , ไตรมาสที่ 3,คน
12052,54,2563,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
,55,2563,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
15819,56,2563,อุดมศึกษาสายวิชาการ,       ชาย                         , ไตรมาสที่ 3,คน
16934,57,2563,อุดมศึกษาสายวิชาชีพ,       ชาย                         , ไตรมาสที่ 3,คน
2115,58,2563,อุดมศึกษาสายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
-,59,2563,อื่น ๆ,       ชาย                         , ไตรมาสที่ 3,คน
995,60,2563,ไม่ทราบ,       ชาย                         , ไตรมาสที่ 3,คน
3261,61,2563,ไม่มีการศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
21998,62,2563,ต่ำกว่าประถมศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
47504,63,2563,ประถมศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
37016,64,2563,มัธยมศึกษาตอนต้น,       หญิง                        , ไตรมาสที่ 3,คน
26895,65,2563,มัธยมศึกษาตอนปลาย สายสามัญ,       หญิง                        , ไตรมาสที่ 3,คน
