sex,_id,provice,Working status,year,Source,unit,Value
รวม,1, กรุงเทพมหานคร,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,5121254
รวม,2,ภาคกลาง,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,11292423
รวม,3, สมุทรปราการ,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,1143032
รวม,4, นนทบุรี,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,832535
รวม,5, ปทุมธานี,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,846557
รวม,6, พระนครศรีอยุธยา,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,511469
รวม,7, อ่างทอง,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,141929
รวม,8, ลพบุรี,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,457429
รวม,9, สิงห์บุรี,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,114486
รวม,10, ชัยนาท,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,172678
รวม,11,สระบุรี,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,415962
รวม,12,ชลบุรี,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,1059237
รวม,13, ระยอง,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,528460
รวม,14,จันทบุรี,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,301170
รวม,15, ตราด,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,159880
รวม,16,ฉะเชิงเทรา,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,431702
รวม,17, ปราจีนบุรี,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,337035
รวม,18, นครนายก,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,144547
รวม,19,สระแก้ว,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,327982
รวม,20, ราชบุรี,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,462493
รวม,21, กาญจนบุรี,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,470915
รวม,22, สุพรรณบุรี,ผู้มีงานทำทั้งหมด,2555,สำนักงานสถิติแห่งชาติ,คน,500069
