ที่มา,_id,ปี,กรณี,เบิกจ่าย,รายการ,จังหวัด,หน่วย
สำนักงานประกันสังคมจังหวัดกำแพงเพชร,1,2561,เจ็บป่วย,100034217.5,ยอดเงินเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,บาท
สำนักงานประกันสังคมจังหวัดกำแพงเพชร,2,2561,คลอดบุตร,36745265,ยอดเงินเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,บาท
สำนักงานประกันสังคมจังหวัดกำแพงเพชร,3,2561,ทุพพลภาพ,6476902.3,ยอดเงินเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,บาท
สำนักงานประกันสังคมจังหวัดกำแพงเพชร,4,2561,ตาย,15980040.4,ยอดเงินเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,บาท
สำนักงานประกันสังคมจังหวัดกำแพงเพชร,5,2561,สงเคราะห์บุตร,34479400,ยอดเงินเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,บาท
สำนักงานประกันสังคมจังหวัดกำแพงเพชร,6,2561,ชราภาพ,73884019.63,ยอดเงินเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,บาท
สำนักงานประกันสังคมจังหวัดกำแพงเพชร,7,2561,ว่างงาน,2820770.55,ยอดเงินเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,บาท
สำนักงานประกันสังคมจังหวัดกำแพงเพชร,8,2562,เจ็บป่วย,75048268,ยอดเงินเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,บาท
สำนักงานประกันสังคมจังหวัดกำแพงเพชร,9,2562,คลอดบุตร,38408725,ยอดเงินเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,บาท
สำนักงานประกันสังคมจังหวัดกำแพงเพชร,10,2562,ทุพพลภาพ,6273190.9,ยอดเงินเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,บาท
