เดือน,สาขา,ที่มา,จำนวนผู้ประกันตน,_id,ปี,หน่วย
มกราคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6145,1,2563,คน
กุมภาพันธ์,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6176,2,2563,คน
มีนาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6202,3,2563,คน
เมษายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6331,4,2563,คน
พฤษภาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6484,5,2563,คน
มิถุนายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6613,6,2563,คน
กรกฎาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6671,7,2563,คน
สิงหาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6754,8,2563,คน
กันยายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6521,9,2563,คน
ตุลาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6580,10,2563,คน
พฤศจิกายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6620,11,2563,คน
ธันวาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6710,12,2563,คน
มกราคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6870,13,2564,คน
กุมภาพันธ์,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6933,14,2564,คน
มีนาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6941,15,2564,คน
เมษายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7079,16,2564,คน
พฤษภาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7229,17,2564,คน
มิถุนายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7194,18,2564,คน
กรกฎาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7215,19,2564,คน
สิงหาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7589,20,2564,คน
กันยายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7722,21,2564,คน
ตุลาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7726,22,2564,คน
พฤศจิกายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7746,23,2564,คน
ธันวาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7709,24,2564,คน
มกราคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7722,25,2565,คน
กุมภาพันธ์,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7691,26,2565,คน
มีนาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7640,27,2565,คน
เมษายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7576,28,2565,คน
พฤษภาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7570,29,2565,คน
มิถุนายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7559,30,2565,คน
กรกฎาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7514,31,2565,คน
สิงหาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7495,32,2565,คน
กันยายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7466,33,2565,คน
ตุลาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7418,34,2565,คน
พฤศจิกายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7339,35,2565,คน
ธันวาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7201,36,2565,คน
มกราคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6620,37,2566,คน
กุมภาพันธ์,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7130,38,2566,คน
