จำนวน,ที่มา,หน่วย1,_id,ปี,ร้อยละ,เพศ,อุตสาหกรรม,หน่วย2
49151,สำนักงานสถิติจังหวัดอุทัยธานี,คน,1,2565,60.8,ชาย,"เกษตรกรรม,การป่าไม้ และการประมง",เปอร์เซ็นต์
0,สำนักงานสถิติจังหวัดอุทัยธานี,คน,2,2565,0,ชาย,การทำเหมืองแร่และเหมืองหิน,เปอร์เซ็นต์
3390,สำนักงานสถิติจังหวัดอุทัยธานี,คน,3,2565,4.2,ชาย,การผลิตอุตสาหกรรม,เปอร์เซ็นต์
118,สำนักงานสถิติจังหวัดอุทัยธานี,คน,4,2565,0.1,ชาย,ไฟฟ้า ก๊าซ และระบบปรับอากาศ,เปอร์เซ็นต์
105,สำนักงานสถิติจังหวัดอุทัยธานี,คน,5,2565,0.1,ชาย,การประปาและการจัดการของเสีย,เปอร์เซ็นต์
6314,สำนักงานสถิติจังหวัดอุทัยธานี,คน,6,2565,7.8,ชาย,การก่อสร้าง,เปอร์เซ็นต์
7472,สำนักงานสถิติจังหวัดอุทัยธานี,คน,7,2565,9.2,ชาย,การขายส่ง การขายปลีก การซ่อมแซ่มยานยนต์ และจักรยานยนต์,เปอร์เซ็นต์
2052,สำนักงานสถิติจังหวัดอุทัยธานี,คน,8,2565,2.5,ชาย,การขนส่ง และสถานที่เก็บสินค้า,เปอร์เซ็นต์
1808,สำนักงานสถิติจังหวัดอุทัยธานี,คน,9,2565,2.2,ชาย,ที่พักแรมและบริการด้านอาหาร,เปอร์เซ็นต์
238,สำนักงานสถิติจังหวัดอุทัยธานี,คน,10,2565,0.3,ชาย,ข้อมูลข่าวสารและการสื่อสาร,เปอร์เซ็นต์
361,สำนักงานสถิติจังหวัดอุทัยธานี,คน,11,2565,0.5,ชาย,การเงินและการประกันภัย,เปอร์เซ็นต์
0,สำนักงานสถิติจังหวัดอุทัยธานี,คน,12,2565,0,ชาย,กิจกรรมเกี่ยวกับอสังหาริมทรัพย์,เปอร์เซ็นต์
208,สำนักงานสถิติจังหวัดอุทัยธานี,คน,13,2565,0.3,ชาย,กิจกรรมวิชาชีพ วิทยาศาสตร์ และกิจกรรมทางวิชาการ,เปอร์เซ็นต์
398,สำนักงานสถิติจังหวัดอุทัยธานี,คน,14,2565,0.5,ชาย,กิจกรรมการบริหารและบริการสนับสนุนอื่น ๆ,เปอร์เซ็นต์
5899,สำนักงานสถิติจังหวัดอุทัยธานี,คน,15,2565,7.3,ชาย,การบริหารราชการ การป้องกันประเทศฯ,เปอร์เซ็นต์
