กลุ่มอายุ (ปี),_id,ปี,หญิง,ชาย,รวม
รวม,1,2562,"14,375","4,496","18,871"
15-24,2,2562,"2,885",515,"3,400"
25-34,3,2562,"2,740","1,354","4,095"
35-44,4,2562,"3,041","2,177","5,219"
45-54,5,2562,"4,834",170,"5,004"
55-59,6,2562,672,280,951
60 ปีขึ้นไป,7,2562,203,-,203
รวม,8,2563,"15,195","5,939","21,133"
15-24,9,2563,"2,391",754,"3,145"
25-34,10,2563,"2,306","1,014","3,320"
35-44,11,2563,"4,503","3,090","7,593"
45-54,12,2563,"3,830",420,"4,250"
55-59,13,2563,"1,555",-,"1,555"
60 ปีขึ้นไป,14,2563,610,660,"1,271"
รวม,15,2564,"7,410","7,779","15,190"
15-24,16,2564,759,"3,039","3,798"
25-34,17,2564,"2,211","1,784","3,994"
35-44,18,2564,"1,451",904,"2,356"
45-54,19,2564,"2,046","2,052","4,098"
55-59,20,2564,503,-,503
60 ปีขึ้นไป,21,2564,441,-,441
