กลุ่มอายุ (ปี),_id,ปี,หญิง,ชาย,รวม
รวม,1,2562,14375,4496.0,18871
15-24,2,2562,2885,515.0,3400
25-34,3,2562,2740,1354.0,4095
35-44,4,2562,3041,2177.0,5219
45-54,5,2562,4834,170.0,5004
55-59,6,2562,672,280.0,951
60 ปีขึ้นไป,7,2562,203,-,203
รวม,8,2563,15195,5939.0,21133
15-24,9,2563,2391,754.0,3145
25-34,10,2563,2306,1014.0,3320
35-44,11,2563,4503,3090.0,7593
45-54,12,2563,3830,420.0,4250
55-59,13,2563,1555,-,1555
60 ปีขึ้นไป,14,2563,610,660.0,1271
รวม,15,2564,7410,7779.0,15190
15-24,16,2564,759,3039.0,3798
25-34,17,2564,2211,1784.0,3994
35-44,18,2564,1451,904.0,2356
45-54,19,2564,2046,2052.0,4098
55-59,20,2564,503,-,503
60 ปีขึ้นไป,21,2564,441,-,441
